q	seed	cluster	registry_status	job_id	output_root	main_csv_count	bytes	validation
0.8	0	0	completed	12764658	andrea/runs_oracle_hard_full_q08_c0	1	7390870	PASS
0.8	0	1	completed	12764659	andrea/runs_oracle_hard_full_q08_c1	1	7386845	PASS
0.8	0	2	completed	12764660	andrea/runs_oracle_hard_full_q08_c2	1	7393929	PASS
0.8	0	3	completed	12764661	andrea/runs_oracle_hard_full_q08_c3	1	7384537	PASS
0.2	0	0	submitted	12764876	andrea/runs_oracle_hard_postala_q02_s0_c0	1	7339345	PASS
0.2	0	1	submitted	12764877	andrea/runs_oracle_hard_postala_q02_s0_c1	1	7336358	PASS
0.2	0	2	submitted	12764878	andrea/runs_oracle_hard_postala_q02_s0_c2	1	7379390	PASS
0.2	0	3	submitted	12764879	andrea/runs_oracle_hard_postala_q02_s0_c3	1	7358368	PASS
0.2	1	0	submitted	12764880	andrea/runs_oracle_hard_postala_q02_s1_c0	1	7334303	PASS
0.2	1	1	submitted	12764881	andrea/runs_oracle_hard_postala_q02_s1_c1	1	7330007	PASS
0.2	1	2	submitted	12764882	andrea/runs_oracle_hard_postala_q02_s1_c2	1	7373826	PASS
0.2	1	3	submitted	12764883	andrea/runs_oracle_hard_postala_q02_s1_c3	1	7350150	PASS
0.2	2	0	submitted	12764884	andrea/runs_oracle_hard_postala_q02_s2_c0	1	7345293	PASS
0.2	2	1	submitted	12764885	andrea/runs_oracle_hard_postala_q02_s2_c1	1	7338139	PASS
0.2	2	2	submitted	12764886	andrea/runs_oracle_hard_postala_q02_s2_c2	1	7375607	PASS
0.2	2	3	submitted	12764887	andrea/runs_oracle_hard_postala_q02_s2_c3	1	7351911	PASS
0.5	0	0	submitted	12764888	andrea/runs_oracle_hard_postala_q05_s0_c0	1	7347523	PASS
0.5	0	1	submitted	12764889	andrea/runs_oracle_hard_postala_q05_s0_c1	1	7346946	PASS
0.5	0	2	submitted	12764890	andrea/runs_oracle_hard_postala_q05_s0_c2	1	7385926	PASS
0.5	0	3	submitted	12764891	andrea/runs_oracle_hard_postala_q05_s0_c3	1	7373085	PASS
0.5	1	0	submitted	12764892	andrea/runs_oracle_hard_postala_q05_s1_c0	1	7345242	PASS
0.5	1	1	submitted	12764893	andrea/runs_oracle_hard_postala_q05_s1_c1	1	7344703	PASS
0.5	1	2	submitted	12764894	andrea/runs_oracle_hard_postala_q05_s1_c2	1	7379803	PASS
0.5	1	3	submitted	12764895	andrea/runs_oracle_hard_postala_q05_s1_c3	1	7371988	PASS
0.5	2	0	submitted	12764896	andrea/runs_oracle_hard_postala_q05_s2_c0	1	7361016	PASS
0.5	2	1	submitted	12764897	andrea/runs_oracle_hard_postala_q05_s2_c1	1	7354219	PASS
0.5	2	2	submitted	12764898	andrea/runs_oracle_hard_postala_q05_s2_c2	1	7386451	PASS
0.5	2	3	submitted	12764899	andrea/runs_oracle_hard_postala_q05_s2_c3	1	7368643	PASS
0.8	1	0	submitted	12764900	andrea/runs_oracle_hard_postala_q08_s1_c0	1	7366385	PASS
0.8	1	1	submitted	12764901	andrea/runs_oracle_hard_postala_q08_s1_c1	1	7385926	PASS
0.8	1	2	submitted	12764902	andrea/runs_oracle_hard_postala_q08_s1_c2	1	7408894	PASS
0.8	1	3	submitted	12764903	andrea/runs_oracle_hard_postala_q08_s1_c3	1	7409791	PASS
0.8	2	0	submitted	12764904	andrea/runs_oracle_hard_postala_q08_s2_c0	1	7390105	PASS
0.8	2	1	submitted	12764905	andrea/runs_oracle_hard_postala_q08_s2_c1	1	7391465	PASS
0.8	2	2	submitted	12764906	andrea/runs_oracle_hard_postala_q08_s2_c2	1	7394364	PASS
0.8	2	3	submitted	12764907	andrea/runs_oracle_hard_postala_q08_s2_c3	1	7395466	PASS
