method,q,eval_loss_mean,eval_loss_std,macro_f1_mean,macro_f1_std,macro_minority_f1_mean,macro_minority_f1_std,macro_pos_f1_mean,macro_pos_f1_std,macro_pr_auc_mean,macro_pr_auc_std,micro_f1_mean,micro_f1_std,micro_pr_auc_mean,micro_pr_auc_std,pair_acc_mean,pair_acc_std,subset_acc_mean,subset_acc_std,rank_all
APPLE,0.2,0.6151723430191419,0.1016687961376824,0.3151826148231824,0.03626707684076947,0.3151826148231824,0.03626707684076947,0.3151826148231824,0.03626707684076947,0.4281191463271776,0.04362411559160444,0.26014333665655714,0.027045447435483514,0.37877848123510677,0.037262992814387344,0.8794416864847526,0.019152660938325516,0.7015068878635292,0.03349125036947808,7
APPLE,0.5,0.7424174362359693,0.12073314137955558,0.21479467141131556,0.08336172208063972,0.21479467141131556,0.08336172208063972,0.21479467141131556,0.08336172208063972,0.2950230864187081,0.10495865504622147,0.20427766807775063,0.06811587648527738,0.2653866657366355,0.11048893479116939,0.8283206459380538,0.07921310103451853,0.6825545015721649,0.0428894233080141,7
APPLE,0.8,1.0687123093669901,0.1544996578202688,0.11639229469001289,0.010182139050300925,0.11639229469001289,0.010182139050300925,0.11639229469001289,0.010182139050300925,0.14852119113008178,0.004290938731793203,0.18319862866323133,0.02914028490287562,0.17309770993888374,0.029153792778098826,0.8246989356985189,0.055637516686800226,0.6999068393204063,0.05573204909536135,7
APPLE-ALA,0.2,0.3501403892626367,0.008864046412338683,0.4032715725402038,0.010766688866376347,0.4032715725402038,0.010766688866376347,0.4032715725402038,0.010766688866376347,0.5711392770210902,0.013115117174448385,0.3299362150318974,0.002248389645245107,0.5190803656975428,0.014288417464679922,0.9124115200173741,0.00019156017233719542,0.7463617194922102,0.006429576602460979,6
APPLE-ALA,0.5,0.39062667358810305,0.021687715655556595,0.3555258813003699,0.025014116893702632,0.3555258813003699,0.025014116893702632,0.3555258813003699,0.025014116893702632,0.5231503834327061,0.029666351937081437,0.3186898237974422,0.02350899335587159,0.5016776815056802,0.04607937784224983,0.9063128202101258,0.008332383921108272,0.7383250070623987,0.009337914057376497,5
APPLE-ALA,0.8,0.8552591510785007,0.3129532896047829,0.20685690964261685,0.02546113320040128,0.20685690964261685,0.02546113320040128,0.20685690964261685,0.02546113320040128,0.31736127634843186,0.026947987200290884,0.2655911831793422,0.02437817219267866,0.39213002882897857,0.016705863506585678,0.8801764635329312,0.014442130675749393,0.7003552349860906,0.013271285178460655,2
APPLE-PostALA,0.2,0.33574893784619303,0.008482908784335727,0.4180755650003751,0.01478964485104647,0.4180755650003751,0.01478964485104647,0.4180755650003751,0.01478964485104647,0.6014807154734929,0.012459366560471686,0.335583726611173,0.016555170012652828,0.5498464033007622,0.004834030526246595,0.9138646637002289,0.007007374013102776,0.7499686528701696,0.015199248567667167,4
APPLE-PostALA,0.5,0.33474141917352046,0.014097964140459182,0.37266225417455034,0.02270659988848637,0.37266225417455034,0.02270659988848637,0.37266225417455034,0.02270659988848637,0.565608931084474,0.01563030645098117,0.32875298494407995,0.015761676464177216,0.5522493173678716,0.00864485426605458,0.9097743389364211,0.005119472897386608,0.741317788260257,0.011332729855667833,4
APPLE-PostALA,0.8,0.487921723198097,0.06287732540407978,0.25323622251550354,0.01263572536505177,0.25323622251550354,0.01263572536505177,0.25323622251550354,0.01263572536505177,0.40138801236947375,0.027316024067645116,0.3059917590375134,0.019661696105375392,0.495473463088274,0.032899590746498134,0.9030575852167376,0.008070478518885616,0.7278046289535091,0.010620753707705021,1
FedALA,0.2,0.3789136252426572,0.02750924775136318,0.4071856995423635,0.017507665461338317,0.4071856995423635,0.017507665461338317,0.4071856995423635,0.017507665461338317,0.577552463610967,0.021549238740648985,0.32989506771176536,0.01219925475068627,0.5244099453091621,0.018634025855992185,0.9101361484110201,0.004856641068245321,0.7456414507970246,0.005889186465801567,5
FedALA,0.5,0.4046577978725329,0.0458816280698446,0.3433351760109265,0.04204186509145014,0.3433351760109265,0.04204186509145014,0.3433351760109265,0.04204186509145014,0.49174653987089795,0.057246510683851906,0.3048233683046308,0.04091621856581622,0.4768212092419466,0.06052829104179993,0.9006343340652797,0.01913556069968547,0.7382981788835083,0.02982949965462106,6
FedALA,0.8,0.7328111590112698,0.07108427486560391,0.1768495328724384,0.03865134489313328,0.1768495328724384,0.03865134489313328,0.1768495328724384,0.03865134489313328,0.2673577930778265,0.07293819941626964,0.23596701018834162,0.038619130404786324,0.34143806484838324,0.09648601256518637,0.8521505266156432,0.0286808113966509,0.6983789356209337,0.026400365358459466,5
