method,q,seed,eval_loss,macro_f1,macro_minority_f1,macro_pos_f1,macro_pr_auc,micro_f1,micro_pr_auc,pair_acc,subset_acc
APPLE,0.2,0,0.651701427833443,0.2980319142341613,0.2980319142341613,0.2980319142341613,0.38117820024490356,0.2350151075039399,0.33966643735766405,0.8600672680976427,0.6631545921339895
APPLE,0.2,1,0.5002860454009737,0.2906718507409095,0.2906718507409095,0.2906718507409095,0.43576324433088304,0.2566486436268923,0.3828033521771431,0.8798931848156089,0.716383046133369
APPLE,0.2,2,0.693529555823009,0.3568440794944763,0.3568440794944763,0.3568440794944763,0.46741599440574644,0.28876625883883916,0.41386565417051313,0.8983646065410064,0.7249830253232294
APPLE,0.5,0,0.6414737904376349,0.283734867721796,0.283734867721796,0.283734867721796,0.3648331500589847,0.2652427256375586,0.36036124303936956,0.892764930514262,0.7294856317547516
APPLE,0.5,1,0.709616954573049,0.23850200623273846,0.23850200623273846,0.23850200623273846,0.3459156975150108,0.21683255263676085,0.2916738778352737,0.8523116339186009,0.6727858119104305
APPLE,0.5,2,0.876161563697224,0.12214714027941223,0.12214714027941223,0.12214714027941223,0.17432041168212886,0.13075772595893256,0.14412487633526322,0.7398853733812983,0.6453920610513127
APPLE,0.8,0,0.9028632358194486,0.10630657710134979,0.10630657710134979,0.10630657710134979,0.14970159344375128,0.15119929609307312,0.14083896614611144,0.7646516359495722,0.6443758235976695
APPLE,0.8,1,1.2085640616808413,0.12666819095611567,0.12666819095611567,0.12666819095611567,0.15209838040173052,0.20820874668610193,0.18089199215173718,0.8745032480421585,0.7558377695284862
APPLE,0.8,2,1.0947096306006803,0.1162021160125732,0.1162021160125732,0.1162021160125732,0.14376359954476353,0.19018784321051893,0.1975621715188026,0.834941923103826,0.699506924835063
APPLE-ALA,0.2,0,0.3527776192961267,0.3927144378423691,0.3927144378423691,0.3927144378423691,0.5620705127716065,0.32743525867704654,0.5079976454377174,0.9123122041916781,0.7522815794334395
APPLE-ALA,0.2,1,0.3402570160991056,0.40286403670907023,0.40286403670907023,0.40286403670907023,0.5651701152324676,0.33058322905944026,0.5140368849039078,0.9126323432733866,0.7472819826861282
APPLE-ALA,0.2,2,0.35738653239267765,0.4142362430691719,0.4142362430691719,0.4142362430691719,0.5861772030591965,0.33179015735920553,0.5352065667510033,0.9122900125870578,0.739521596357063
APPLE-ALA,0.5,0,0.40085509612408465,0.3274976179003716,0.3274976179003716,0.3274976179003716,0.4926980912685394,0.29333915489200013,0.4533410221338272,0.897164400384522,0.7290840239335628
APPLE-ALA,0.5,1,0.3657162116732008,0.3634969688951969,0.3634969688951969,0.3634969688951969,0.5247902914881706,0.3229579911802517,0.5065850511193275,0.9083066361937728,0.7381340734686773
APPLE-ALA,0.5,2,0.4053087129670237,0.3755830571055412,0.3755830571055412,0.3755830571055412,0.5519627675414085,0.33977232532007473,0.5451069712638855,0.9134674240520825,0.7477569237849561
APPLE-ALA,0.8,0,0.6489195734446807,0.23607035428285594,0.23607035428285594,0.23607035428285594,0.3479793533682823,0.29371745790432086,0.4109592720866203,0.8968526767646697,0.7156295007503739
APPLE-ALA,0.8,1,1.2153486656871018,0.18938657194375988,0.18938657194375988,0.18938657194375988,0.3068578630685806,0.2505382064222223,0.3863459132611752,0.8718937883396901,0.6937903027892518
APPLE-ALA,0.8,2,0.7015092141037198,0.1951138027012348,0.1951138027012348,0.1951138027012348,0.29724661260843277,0.25251788521148355,0.3790849011391401,0.8717829254944339,0.6916459014186463
