method,q,seed,graph_id,schema,source_csv,eval_loss,macro_f1,macro_minority_f1,macro_pos_f1,macro_pr_auc,micro_f1,micro_pr_auc,pair_acc,subset_acc
Fully Local,0.2,0,4000009,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_19c930cecd_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,1.6693474829266226,0.1123660653829574,0.1123660653829574,0.1123660653829574,0.0887559950351715,0.1128107074569789,0.0792054235935211,0.9030201692966872,0.8104052026013007
Fully Local,0.2,1,4000009,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_19c930cecd_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,0.9572105177213236,0.1128087043762207,0.1128087043762207,0.1128087043762207,0.1176604032516479,0.1128775834658187,0.1032274141907692,0.8833733932490333,0.8119059529764883
Fully Local,0.2,2,4000009,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_19c930cecd_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,0.7115575719781649,0.0893258824944496,0.0893258824944496,0.0893258824944496,0.126702070236206,0.0888888888888888,0.1083107963204383,0.7943358762671126,0.7218609304652326
Fully Local,0.2,0,4000015,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_1fedf54d5b_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,0.6169445326261355,0.239646628499031,0.239646628499031,0.239646628499031,0.3361614346504211,0.2323390894819466,0.2759347558021545,0.8378826389656315,0.6124186279419128
Fully Local,0.2,1,4000015,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_1fedf54d5b_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,0.5919907721930122,0.3044910132884979,0.3044910132884979,0.3044910132884979,0.3259862065315246,0.249570692615913,0.2886055409908294,0.8551221129406564,0.6269404106159239
Fully Local,0.2,2,4000015,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_1fedf54d5b_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,1.0719525866487931,0.123249627649784,0.123249627649784,0.123249627649784,0.1746685206890106,0.1242270938729623,0.1726381778717041,0.6556525582937341,0.5368052078117176
Fully Local,0.2,0,4000005,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_2c1ec35489_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,0.7360702413638707,0.0920121222734451,0.0920121222734451,0.0920121222734451,0.1527251452207565,0.0918417195896433,0.1251946240663528,0.8058080016713673,0.734
Fully Local,0.2,1,4000005,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_2c1ec35489_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,0.8882461431400537,0.0723567083477974,0.0723567083477974,0.0723567083477974,0.1139166727662086,0.0724441435341909,0.099528282880783,0.7137783349002402,0.6435
Fully Local,0.2,2,4000005,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_2c1ec35489_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,0.8951056679858815,0.104841873049736,0.104841873049736,0.104841873049736,0.0893878564238548,0.1048387096774193,0.0735019221901893,0.8608586649952993,0.7885
Fully Local,0.2,0,4000002,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_2f749fbac4_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,0.9030260407931072,0.1078943759202957,0.1078943759202957,0.1078943759202957,0.1987088024616241,0.1068211068211068,0.1686329394578933,0.701023155627356,0.6119178768152228
Fully Local,0.2,1,4000002,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_2f749fbac4_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,1.2813240544283715,0.0791113004088401,0.0791113004088401,0.0791113004088401,0.1780283004045486,0.0783705999557228,0.148153007030487,0.5516424340333872,0.4737105658487731
Fully Local,0.2,2,4000002,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_2f749fbac4_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,1.1599126185148585,0.0723889619112014,0.0723889619112014,0.0723889619112014,0.1750842630863189,0.0714285714285714,0.1357952952384948,0.512762520193861,0.3905858788182273
Fully Local,0.2,0,4000006,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_31be0ca00c_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,0.8250169009406149,0.0854346230626106,0.0854346230626106,0.0854346230626106,0.1219676360487937,0.085397096498719,0.1063903421163559,0.7762223150856665,0.714
Fully Local,0.2,1,4000006,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_31be0ca00c_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,0.7815810093727014,0.0715918466448783,0.0715918466448783,0.0715918466448783,0.1158257275819778,0.0710014947683109,0.088030993938446,0.7402841621395737,0.6465
Fully Local,0.2,2,4000006,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_31be0ca00c_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,0.9639630958296256,0.113679215312004,0.113679215312004,0.113679215312004,0.138493463397026,0.1133720930232558,0.1121102347970008,0.8725449226911827,0.806
Fully Local,0.2,0,4000004,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_32c5e00933_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,0.8543734339853738,0.1355574876070022,0.1355574876070022,0.1355574876070022,0.1940639168024063,0.1337792642140468,0.1555738598108291,0.7768443726440496,0.6848424212106053
