split,task,motif_count,pos_nodes,pos_rate
train,cycle2,836,1522,0.185791015625
train,cycle3,1274,2756,0.33642578125
train,cycle4,2321,4197,0.5123291015625
train,cycle5,4353,5565,0.6793212890625
train,cycle6,8363,6391,0.7801513671875
val,cycle2,890,1609,0.1964111328125
val,cycle3,1334,2831,0.3455810546875
val,cycle4,2301,4320,0.52734375
val,cycle5,4389,5585,0.6817626953125
val,cycle6,8812,6463,0.7889404296875
test,cycle2,912,1625,0.1983642578125
test,cycle3,1334,2796,0.34130859375
test,cycle4,2303,4274,0.521728515625
test,cycle5,4300,5483,0.6693115234375
test,cycle6,8686,6369,0.7774658203125
