graph_id,dataset_id,data_dir,n,d,r,type,seed_train,seed_val,seed_test,train_num_nodes,train_num_edges_raw,train_num_edges_unique,train_density_raw,train_density_unique,train_duplicate_edge_fraction,train_reciprocity_unique,train_mean_in_degree_raw,train_mean_out_degree_raw,train_std_in_degree_raw,train_std_out_degree_raw,train_max_in_degree_raw,train_max_out_degree_raw,train_mean_in_degree_unique,train_mean_out_degree_unique,train_std_in_degree_unique,train_std_out_degree_unique,train_max_in_degree_unique,train_max_out_degree_unique,train_cycle2_motif_count,train_cycle2_pos_nodes,train_cycle2_pos_rate,train_cycle2_all_zero,train_cycle3_motif_count,train_cycle3_pos_nodes,train_cycle3_pos_rate,train_cycle3_all_zero,train_cycle4_motif_count,train_cycle4_pos_nodes,train_cycle4_pos_rate,train_cycle4_all_zero,train_cycle5_motif_count,train_cycle5_pos_nodes,train_cycle5_pos_rate,train_cycle5_all_zero,train_cycle6_motif_count,train_cycle6_pos_nodes,train_cycle6_pos_rate,train_cycle6_all_zero,val_num_nodes,val_num_edges_raw,val_num_edges_unique,val_density_raw,val_density_unique,val_duplicate_edge_fraction,val_reciprocity_unique,val_mean_in_degree_raw,val_mean_out_degree_raw,val_std_in_degree_raw,val_std_out_degree_raw,val_max_in_degree_raw,val_max_out_degree_raw,val_mean_in_degree_unique,val_mean_out_degree_unique,val_std_in_degree_unique,val_std_out_degree_unique,val_max_in_degree_unique,val_max_out_degree_unique,val_cycle2_motif_count,val_cycle2_pos_nodes,val_cycle2_pos_rate,val_cycle2_all_zero,val_cycle3_motif_count,val_cycle3_pos_nodes,val_cycle3_pos_rate,val_cycle3_all_zero,val_cycle4_motif_count,val_cycle4_pos_nodes,val_cycle4_pos_rate,val_cycle4_all_zero,val_cycle5_motif_count,val_cycle5_pos_nodes,val_cycle5_pos_rate,val_cycle5_all_zero,val_cycle6_motif_count,val_cycle6_pos_nodes,val_cycle6_pos_rate,val_cycle6_all_zero,test_num_nodes,test_num_edges_raw,test_num_edges_unique,test_density_raw,test_density_unique,test_duplicate_edge_fraction,test_reciprocity_unique,test_mean_in_degree_raw,test_mean_out_degree_raw,test_std_in_degree_raw,test_std_out_degree_raw,test_max_in_degree_raw,test_max_out_degree_raw,test_mean_in_degree_unique,test_mean_out_degree_unique,test_std_in_degree_unique,test_std_out_degree_unique,test_max_in_degree_unique,test_max_out_degree_unique,test_cycle2_motif_count,test_cycle2_pos_nodes,test_cycle2_pos_rate,test_cycle2_all_zero,test_cycle3_motif_count,test_cycle3_pos_nodes,test_cycle3_pos_rate,test_cycle3_all_zero,test_cycle4_motif_count,test_cycle4_pos_nodes,test_cycle4_pos_rate,test_cycle4_all_zero,test_cycle5_motif_count,test_cycle5_pos_nodes,test_cycle5_pos_rate,test_cycle5_all_zero,test_cycle6_motif_count,test_cycle6_pos_nodes,test_cycle6_pos_rate,test_cycle6_all_zero,cycle2_pos_nodes_mean,cycle2_pos_nodes_std,cycle2_pos_nodes_max_diff_from_mean,cycle2_pos_rate_mean,cycle2_pos_rate_std,cycle2_pos_rate_max_diff_from_mean,cycle2_all_splits_have_pos,cycle2_motif_count_mean,cycle2_motif_count_std,cycle3_pos_nodes_mean,cycle3_pos_nodes_std,cycle3_pos_nodes_max_diff_from_mean,cycle3_pos_rate_mean,cycle3_pos_rate_std,cycle3_pos_rate_max_diff_from_mean,cycle3_all_splits_have_pos,cycle3_motif_count_mean,cycle3_motif_count_std,cycle4_pos_nodes_mean,cycle4_pos_nodes_std,cycle4_pos_nodes_max_diff_from_mean,cycle4_pos_rate_mean,cycle4_pos_rate_std,cycle4_pos_rate_max_diff_from_mean,cycle4_all_splits_have_pos,cycle4_motif_count_mean,cycle4_motif_count_std,cycle5_pos_nodes_mean,cycle5_pos_nodes_std,cycle5_pos_nodes_max_diff_from_mean,cycle5_pos_rate_mean,cycle5_pos_rate_std,cycle5_pos_rate_max_diff_from_mean,cycle5_all_splits_have_pos,cycle5_motif_count_mean,cycle5_motif_count_std,cycle6_pos_nodes_mean,cycle6_pos_nodes_std,cycle6_pos_nodes_max_diff_from_mean,cycle6_pos_rate_mean,cycle6_pos_rate_std,cycle6_pos_rate_max_diff_from_mean,cycle6_all_splits_have_pos,cycle6_motif_count_mean,cycle6_motif_count_std
0,data_4100_4_6.5_chordal,./andrea/cluster_data/data_4100_4_6.5_chordal,4100,4,6.5,chordal,1515765671,632108932,1716337434,4100,8200,7881,0.00048792388387411563,0.0004689424547331592,0.03890243902439028,0.07790889481030326,2.0,2.0,1.402436903497866,1.4143860169267968,8,8,1.9221951219512194,1.9221951219512194,1.31651611977778,1.331987351062629,7,8,307,570,0.1390243902439024,0,332,842,0.2053658536585365,0,296,869,0.2119512195121951,0,400,1107,0.27,0,469,1216,0.2965853658536585,0,4100,8200,7858,0.00048792388387411563,0.00046757388774180497,0.04170731707317077,0.0814456604734029,2.0,2.0,1.4308448808905638,1.4076446336466268,10,9,1.9165853658536585,1.9165853658536585,1.3426831705101572,1.3218125208491736,10,8,320,598,0.1458536585365853,0,312,760,0.1853658536585365,0,318,882,0.2151219512195122,0,359,1029,0.2509756097560975,0,487,1253,0.3056097560975609,0,4100,8200,7849,0.00048792388387411563,0.00046703836152779676,0.042804878048780526,0.08128424003057715,2.0,2.0,1.3884541324972821,1.3870481026353736,8,9,1.914390243902439,1.914390243902439,1.305424982254845,1.3011206216565552,7,8,319,598,0.1458536585365853,0,322,786,0.1917073170731707,0,362,968,0.2360975609756097,0,369,1088,0.2653658536585366,0,429,1243,0.303170731707317,0,588.6666666666666,13.199326582148888,18.66666666666663,0.14357723577235768,0.0032193479468655716,0.004552845528455279,1,315.3333333333333,5.90668171555645,796.0,34.215006454283575,46.0,0.19414634146341456,0.008345123525435007,0.011219512195121933,1,322.0,8.16496580927726,906.3333333333334,43.926706632247715,61.66666666666663,0.22105691056910567,0.010713830885914056,0.015040650406504014,1,325.3333333333333,27.438820836342238,1074.6666666666667,33.209770985191824,45.66666666666674,0.2621138211382114,0.008099944142729746,0.011138211382113905,1,376.0,17.45470328211473,1237.3333333333333,15.627610892974724,21.333333333333258,0.3017886178861788,0.0038116124129206424,0.005203252032520256,1,461.6666666666667,24.239545283597124
1,data_3800_3_8.0_chordal,./andrea/cluster_data/data_3800_3_8.0_chordal,3800,3,8.0,chordal,316464609,2093870074,1306735420,3800,5700,5559,0.0003948407475651487,0.00038507363433590557,0.024736842105263168,0.04677100197877316,1.5,1.5,1.2133034505670437,1.2111325712997558,7,7,1.4628947368421052,1.4628947368421052,1.1707811335189333,1.1692066763740114,7,6,130,252,0.0663157894736842,0,100,281,0.0739473684210526,0,85,301,0.0792105263157894,0,76,295,0.0776315789473684,0,62,288,0.0757894736842105,0,3800,5700,5554,0.0003948407475651487,0.0003847272828029537,0.02561403508771931,0.05041411595246669,1.5,1.5,1.227106137905035,1.2394820650068659,7,7,1.461578947368421,1.461578947368421,1.1841486533543824,1.1956489678386497,7,7,140,272,0.071578947368421,0,119,323,0.085,0,97,311,0.0818421052631579,0,81,310,0.081578947368421,0,87,390,0.1026315789473684,0,3800,5700,5541,0.0003948407475651487,0.0003838267688172788,0.027894736842105305,0.05414185165132648,1.5,1.5,1.2074331189933898,1.2339495852535338,7,8,1.458157894736842,1.458157894736842,1.1595538054358803,1.1835881112847138,7,7,150,286,0.0752631578947368,0,107,302,0.0794736842105263,0,88,301,0.0792105263157894,0,63,264,0.0694736842105263,0,76,322,0.0847368421052631,0,270.0,13.9522996909709,18.0,0.07105263157894733,0.003671657813413378,0.004736842105263123,1,140.0,8.16496580927726,302.0,17.146428199482248,21.0,0.07947368421052631,0.0045122179472321874,0.0055263157894737125,1,108.66666666666667,7.845734863959881,304.3333333333333,4.714045207910317,6.666666666666686,0.08008771929824555,0.0012405382126080148,0.0017543859649123417,1,90.0,5.0990195135927845,289.6666666666667,19.154343864744856,25.666666666666686,0.07622807017543858,0.005040616806511792,0.006754385964912277,1,73.33333333333333,7.586537784494029,333.3333333333333,42.405450383438,56.666666666666686,0.08771929824561399,0.01115932904827316,0.014912280701754405,1,75.0,10.23067283548187
2,data_3800_3_3.5_chordal,./andrea/cluster_data/data_3800_3_3.5_chordal,3800,3,3.5,chordal,776960103,508696732,1283704497,3800,5700,5343,0.0003948407475651487,0.00037011124811238416,0.06263157894736837,0.12614635972300206,1.5,1.5,1.2221637412909596,1.2458351669293553,7,7,1.4060526315789474,1.4060526315789474,1.109345562111863,1.1349079245603657,7,6,337,618,0.1626315789473684,0,192,495,0.1302631578947368,0,150,464,0.1221052631578947,0,101,367,0.096578947368421,0,80,312,0.0821052631578947,0,3800,5700,5339,0.0003948407475651487,0.0003698341668860226,0.06333333333333335,0.11725042142723356,1.5,1.5,1.2313877494411272,1.2256040401197668,8,7,1.405,1.405,1.1170573419763006,1.118940405731667,6,6,313,581,0.1528947368421052,0,223,550,0.1447368421052631,0,149,449,0.1181578947368421,0,111,385,0.1013157894736842,0,66,281,0.0739473684210526,0,3800,5700,5345,0.0003948407475651487,0.0003702497887255649,0.062280701754385936,0.12198316183348924,1.5,1.5,1.2232398740531982,1.221948401012433,7,7,1.4065789473684212,1.4065789473684212,1.1167192935601222,1.1041590663338834,7,6,326,599,0.1576315789473684,0,194,505,0.1328947368421052,0,168,508,0.1336842105263158,0,116,411,0.1081578947368421,0,73,322,0.0847368421052631,0,599.3333333333334,15.107025591499546,18.66666666666663,0.157719298245614,0.003975533050394639,0.004912280701754396,1,325.3333333333333,9.809292646374773,516.6666666666666,23.921166824012204,33.33333333333337,0.1359649122807017,0.006295043901055843,0.008771929824561403,1,203.0,14.165686240583852,473.6666666666667,25.037749277618563,34.333333333333314,0.12464912280701752,0.006588881388846999,0.009035087719298271,1,155.66666666666666,8.73053390247253,387.6666666666667,18.06162291219209,23.333333333333314,0.1020175438596491,0.004753058661103202,0.0061403508771930015,1,109.33333333333333,6.236095644623236,305.0,17.45470328211473,24.0,0.0802631578947368,0.004593342968977551,0.006315789473684205,1,73.0,5.715476066494082
3,data_4000_3_6.5_chordal,./andrea/cluster_data/data_4000_3_6.5_chordal,4000,3,6.5,chordal,1060362703,1105861466,2112455805,4000,6000,5787,0.00037509377344336085,0.0003617779444861215,0.035499999999999976,0.06773803352341455,1.5,1.5,1.2359207094308275,1.213672113875902,7,8,1.44675,1.44675,1.169685614812801,1.1478956561900564,7,7,196,374,0.0935,0,131,349,0.08725,0,122,398,0.0995,0,100,373,0.09325,0,77,329,0.08225,0,4000,6000,5806,0.00037509377344336085,0.00036296574143535883,0.032333333333333325,0.059593523940750945,1.5,1.5,1.2387493693237548,1.2403628501370072,8,8,1.4515,1.4515,1.1767105633927146,1.1824329790732326,7,8,173,329,0.08225,0,127,343,0.08575,0,116,377,0.09425,0,86,334,0.0835,0,94,403,0.10075,0,4000,6000,5805,0.00037509377344336085,0.00036290322580645164,0.03249999999999997,0.05478036175710594,1.5,1.5,1.2208603523745047,1.2206555615733703,7,8,1.45125,1.45125,1.1593633759525095,1.1593633759525095,7,7,159,308,0.077,0,126,338,0.0845,0,102,362,0.0905,0,91,372,0.093,0,79,354,0.0885,0,337.0,27.53179979587241,37.0,0.08425,0.006882949948968102,0.009249999999999994,1,176.0,15.253414918196734,343.3333333333333,4.4969125210773475,5.666666666666686,0.08583333333333333,0.001124228130269332,0.0014166666666666633,1,128.0,2.160246899469287,379.0,14.7648230602334,19.0,0.09475,0.0036912057650583534,0.004750000000000004,1,113.33333333333333,8.379870059984357,359.6666666666667,18.153665072253467,25.666666666666686,0.08991666666666669,0.004538416268063365,0.006416666666666682,1,92.33333333333333,5.792715732327589,362.0,30.735430152621365,41.0,0.09049999999999998,0.007683857538155345,0.010250000000000023,1,83.33333333333333,7.586537784494029
4,data_4100_3_4.5_chordal,./andrea/cluster_data/data_4100_3_4.5_chordal,4100,3,4.5,chordal,486584097,242407339,1466238024,4100,6150,5843,0.00036594291290558675,0.0003476755187166412,0.04991869918699188,0.1013178161903132,1.5,1.5,1.217454361342231,1.2496828866049061,7,8,1.4251219512195121,1.4251219512195121,1.1365343597892492,1.1620012634878727,6,8,296,545,0.1329268292682927,0,169,448,0.1092682926829268,0,124,395,0.0963414634146341,0,106,398,0.0970731707317073,0,84,350,0.0853658536585365,0,4100,6150,5857,0.00036594291290558675,0.00034850855949398725,0.047642276422764196,0.09253884241079051,1.5,1.5,1.2140438373569507,1.2246452945898154,8,9,1.4285365853658536,1.4285365853658536,1.1266247042699122,1.1401819730149834,6,7,271,514,0.1253658536585365,0,186,480,0.1170731707317073,0,145,456,0.1112195121951219,0,121,406,0.0990243902439024,0,99,379,0.0924390243902439,0,4100,6150,5856,0.00036594291290558675,0.0003484490565813197,0.04780487804878053,0.08743169398907104,1.5,1.5,1.2387050673596354,1.2226520554845062,7,8,1.4282926829268292,1.4282926829268292,1.1489038305696782,1.1360949428699845,7,6,256,485,0.1182926829268292,0,207,531,0.1295121951219512,0,152,499,0.1217073170731707,0,120,410,0.1,0,96,377,0.0919512195121951,0,514.6666666666666,24.499433100017278,30.33333333333337,0.12552845528455278,0.005975471487809121,0.007398373983739909,1,274.3333333333333,16.49915822768611,486.3333333333333,34.179265969622904,44.666666666666686,0.11861788617886176,0.008336406334054369,0.010894308943089431,1,187.33333333333334,15.542057635833023,450.0,42.66927075386533,55.0,0.10975609756097555,0.010407139208259844,0.013414634146341461,1,140.33333333333334,11.897712198383164,404.6666666666667,4.988876515698588,6.666666666666686,0.0986991869918699,0.0012167991501703908,0.0016260162601625938,1,115.66666666666667,6.847546194724712,368.6666666666667,13.224556283251582,18.666666666666686,0.08991869918699184,0.003225501532500425,0.004552845528455349,1,93.0,6.48074069840786
5,data_4100_4_1.0_chordal,./andrea/cluster_data/data_4100_4_1.0_chordal,4100,4,1.0,chordal,145695319,1002457848,1194515461,4100,8200,6051,0.00048792388387411563,0.0003600521245514968,0.26207317073170733,0.4369525698231697,2.0,2.0,1.4140410867870676,1.413350973965687,9,9,1.4758536585365853,1.4758536585365853,0.9077726039793201,0.8884913923015417,6,5,1322,2195,0.5353658536585366,0,459,1170,0.2853658536585365,0,103,372,0.0907317073170731,0,31,147,0.0358536585365853,0,3,18,0.004390243902439,0,4100,8200,6130,0.00048792388387411563,0.00036475285465223525,0.2524390243902439,0.43132137030995105,2.0,2.0,1.3898587399707822,1.3982567543979583,8,9,1.4951219512195122,1.4951219512195122,0.9078119552547818,0.9061984974801146,5,5,1322,2194,0.5351219512195122,0,483,1203,0.2934146341463414,0,117,412,0.1004878048780487,0,23,104,0.0253658536585365,0,8,48,0.0117073170731707,0,4100,8200,6051,0.00048792388387411563,0.0003600521245514968,0.26207317073170733,0.4290199966947612,2.0,2.0,1.413696072487242,1.4124878587865852,8,8,1.4758536585365853,1.4758536585365853,0.9200489796340408,0.9109910861649422,5,5,1298,2151,0.5246341463414634,0,443,1137,0.2773170731707317,0,95,344,0.0839024390243902,0,32,134,0.0326829268292682,0,8,38,0.0092682926829268,0,2180.0,20.51016008388688,29.0,0.5317073170731708,0.005002478069240706,0.007073170731707323,1,1314.0,11.313708498984761,1170.0,26.94438717061496,33.0,0.28536585365853656,0.0065718017489304606,0.008048780487804885,1,461.6666666666667,16.438437341250605,376.0,27.9045993819418,36.0,0.09170731707317066,0.006805999849254087,0.008780487804878043,1,105.0,9.092121131323903,128.33333333333334,18.00617178142601,24.333333333333343,0.03130081300813,0.004391749214981959,0.0059349593495935,1,28.666666666666668,4.0276819911981905,34.666666666666664,12.472191289246473,16.666666666666664,0.0084552845528455,0.003041997875425966,0.004065040650406501,1,6.333333333333333,2.357022603955158
6,data_4200_4_2.0_chordal,./andrea/cluster_data/data_4200_4_2.0_chordal,4200,4,2.0,chordal,1298396502,1624101935,370603868,4200,8400,7252,0.0004763038818766373,0.00041120901802016354,0.13666666666666671,0.2606177606177606,2.0,2.0,1.378577596828046,1.378404875209022,8,8,1.7266666666666666,1.7266666666666666,1.1122920708130803,1.1114355082004932,6,6,945,1608,0.3828571428571428,0,612,1375,0.3273809523809524,0,431,1136,0.2704761904761905,0,316,957,0.2278571428571428,0,223,687,0.1635714285714285,0,4200,8400,7237,0.0004763038818766373,0.00041035847537395525,0.138452380952381,0.25120906452950115,2.0,2.0,1.4037365103452253,1.4042452641560739,8,12,1.723095238095238,1.723095238095238,1.1329438856680247,1.1325234951735796,6,8,909,1524,0.3628571428571429,0,644,1393,0.3316666666666666,0,449,1182,0.2814285714285714,0,287,863,0.2054761904761904,0,166,598,0.1423809523809523,0,4200,8400,7276,0.0004763038818766373,0.0004125698862540968,0.13380952380952382,0.2462891698735569,2.0,2.0,1.3986387940388598,1.4040757000349275,8,8,1.7323809523809524,1.7323809523809524,1.1333889542173727,1.1285469155465222,7,7,896,1501,0.3573809523809523,0,596,1287,0.3064285714285714,0,415,1085,0.2583333333333333,0,303,913,0.2173809523809523,0,188,635,0.1511904761904761,0,1544.3333333333333,45.98792111945145,63.66666666666674,0.36769841269841264,0.010949505028440812,0.01515873015873015,1,916.6666666666666,20.725722075613085,1351.6666666666667,46.31294515455575,64.66666666666674,0.3218253968253968,0.01102689170346566,0.015396825396825409,1,617.3333333333334,19.955506062794353,1134.3333333333333,39.617616732402716,49.33333333333326,0.2700793650793651,0.00943276588866732,0.011746031746031782,1,431.6666666666667,13.888444437333106,911.0,38.40138886377245,48.0,0.21690476190476185,0.00914318782470774,0.011428571428571455,1,302.0,11.86029791643813,640.0,36.5057073163453,47.0,0.1523809523809523,0.008691835075320316,0.011190476190476195,1,192.33333333333334,23.471022323045258
7,data_3900_3_3.5_chordal,./andrea/cluster_data/data_3900_3_3.5_chordal,3900,3,3.5,chordal,1425912049,850148061,2134353906,3900,5850,5517,0.00038471402923826624,0.0003628149229585495,0.056923076923076965,0.11818017038245424,1.5,1.5,1.2221250932657195,1.2300719178474577,7,9,1.4146153846153846,1.4146153846153846,1.1234752542636623,1.1195886290173065,6,7,326,607,0.1556410256410256,0,205,524,0.1343589743589743,0,148,460,0.1179487179487179,0,114,407,0.1043589743589743,0,94,343,0.0879487179487179,0,3900,5850,5481,0.00038471402923826624,0.000360447452009391,0.06307692307692303,0.11895639481846379,1.5,1.5,1.2254774056647768,1.2277768109212266,6,8,1.4053846153846155,1.4053846153846155,1.1149435909701284,1.1124109786424885,6,7,326,604,0.1548717948717948,0,204,515,0.132051282051282,0,130,433,0.111025641025641,0,94,357,0.0915384615384615,0,73,318,0.0815384615384615,0,3900,5850,5506,0.00038471402923826624,0.00036209152905741776,0.05880341880341877,0.1147838721394842,1.5,1.5,1.2153927296061497,1.2172899703007791,7,8,1.4117948717948718,1.4117948717948718,1.1184533088494422,1.1131679712789952,7,7,316,593,0.152051282051282,0,217,560,0.1435897435897435,0,138,400,0.1025641025641025,0,102,352,0.0902564102564102,0,70,303,0.0776923076923076,0,601.3333333333334,6.018490028422596,8.333333333333371,0.15418803418803415,0.0015432025713904194,0.002136752136752157,1,322.6666666666667,4.714045207910317,533.0,19.44222209522358,27.0,0.1366666666666666,0.004985185152621415,0.006923076923076893,1,208.66666666666666,5.9066817155564495,431.0,24.535688292770594,31.0,0.11051282051282048,0.0062912021263514415,0.007948717948717973,1,138.66666666666666,7.363574011458174,372.0,24.8327740429189,35.0,0.09538461538461533,0.006367377959722793,0.00897435897435897,1,103.33333333333333,8.219218670625303,321.3333333333333,16.49915822768611,21.666666666666686,0.08239316239316234,0.004230553391714404,0.005555555555555564,1,79.0,10.677078252031311
8,data_3900_4_6.0_chordal,./andrea/cluster_data/data_3900_4_6.0_chordal,3900,4,6.0,chordal,1060887325,578045004,671856398,3900,7800,7457,0.0005129520389843549,0.0004903953018854276,0.043974358974358974,0.09253050824728443,2.0,2.0,1.4098554208472256,1.4181967604257355,11,8,1.912051282051282,1.912051282051282,1.320919802855298,1.328661712434019,9,8,345,635,0.1628205128205128,0,359,838,0.2148717948717948,0,407,1018,0.261025641025641,0,431,1093,0.2802564102564102,0,536,1281,0.3284615384615384,0,3900,7800,7423,0.0005129520389843549,0.00048815935710011115,0.04833333333333334,0.0848713458170551,2.0,2.0,1.398350676827746,1.3909966911793121,9,8,1.9033333333333333,1.9033333333333333,1.299759017769642,1.294421627765602,8,8,315,575,0.1474358974358974,0,330,822,0.2107692307692307,0,307,876,0.2246153846153846,0,375,1077,0.2761538461538461,0,403,1113,0.2853846153846154,0,3900,7800,7412,0.0005129520389843549,0.0004874359631989794,0.04974358974358972,0.0871559633027523,2.0,2.0,1.4063956477281625,1.3909966911793121,8,8,1.9005128205128206,1.9005128205128206,1.3067280507257748,1.2986579832765601,8,8,323,600,0.1538461538461538,0,341,839,0.2151282051282051,0,357,988,0.2533333333333333,0,408,1111,0.2848717948717948,0,437,1159,0.2971794871794871,0,603.3333333333334,24.608038433722335,31.66666666666663,0.15470085470085468,0.00630975344454419,0.008119658119658119,1,327.6666666666667,12.684198393626966,833.0,7.788880963698615,11.0,0.21358974358974356,0.001997148965050935,0.0028205128205128494,1,343.3333333333333,11.953614051360738,960.6666666666666,61.108282762831934,84.66666666666663,0.2463247863247863,0.015668790452008186,0.021709401709401693,1,357.0,40.824829046386306,1093.6666666666667,13.888444437333106,17.333333333333258,0.28042735042735034,0.0035611395993161866,0.004444444444444473,1,404.6666666666667,22.983085567917602,1184.3333333333333,70.88645067210581,96.66666666666674,0.30367521367521366,0.018176012992847625,0.024786324786324754,1,458.6666666666667,56.417097487276756
9,data_4100_3_6.5_chordal,./andrea/cluster_data/data_4100_3_6.5_chordal,4100,3,6.5,chordal,6886606,2116580164,1781429945,4100,6150,5951,0.00036594291290558675,0.0003541018332847393,0.032357723577235764,0.06452697025709965,1.5,1.5,1.2240476636662598,1.2208553578856296,8,8,1.4514634146341463,1.4514634146341463,1.1617208870435352,1.1633992687025416,7,7,192,370,0.0902439024390243,0,132,365,0.0890243902439024,0,92,324,0.0790243902439024,0,69,285,0.0695121951219512,0,82,325,0.0792682926829268,0,4100,6150,5934,0.00036594291290558675,0.0003530902837693905,0.035121951219512226,0.06201550387596899,1.5,1.5,1.230407428059661,1.206385449870205,7,7,1.4473170731707317,1.4473170731707317,1.168031540649656,1.1448314912540811,7,6,184,348,0.0848780487804878,0,126,344,0.0839024390243902,0,104,348,0.0848780487804878,0,76,273,0.0665853658536585,0,55,250,0.0609756097560975,0,4100,6150,5944,0.00036594291290558675,0.0003536853128960663,0.03349593495934955,0.058546433378196504,1.5,1.5,1.2351557618768416,1.2308038222155828,7,8,1.4497560975609756,1.4497560975609756,1.1675124437731954,1.1629073905725191,7,7,174,332,0.0809756097560975,0,125,323,0.078780487804878,0,115,369,0.09,0,106,392,0.0956097560975609,0,96,377,0.0919512195121951,0,350.0,15.57776192739723,20.0,0.08536585365853654,0.00379945412863346,0.004878048780487768,1,183.33333333333334,7.363574011458174,344.0,17.146428199482248,21.0,0.0839024390243902,0.004182055658410308,0.0051219512195122,1,127.66666666666667,3.0912061651652345,347.0,18.384776310850235,23.0,0.08463414634146339,0.004484091783134219,0.0056097560975609945,1,103.66666666666667,9.392668535736915,316.6666666666667,53.49350947129526,75.33333333333331,0.07723577235772354,0.013047197432023209,0.018373983739837355,1,83.66666666666667,16.048537489614297,317.3333333333333,52.13017893270227,67.33333333333331,0.07739837398373979,0.012714677788463987,0.016422764227642293,1,77.66666666666667,17.01633202413362
