graph_id,dataset_id,data_dir,n,type,planted_community_id,base_dataset_id,global_dataset_id,global_data_dir,global_num_nodes,global_num_edges_raw,bridge_mode,label_semantics,train_num_nodes,train_num_edges_raw,train_boundary_edges_raw,train_cycle2_pos_nodes,train_cycle2_pos_rate,train_cycle3_pos_nodes,train_cycle3_pos_rate,train_cycle4_pos_nodes,train_cycle4_pos_rate,train_cycle5_pos_nodes,train_cycle5_pos_rate,train_cycle6_pos_nodes,train_cycle6_pos_rate,val_num_nodes,val_num_edges_raw,val_boundary_edges_raw,val_cycle2_pos_nodes,val_cycle2_pos_rate,val_cycle3_pos_nodes,val_cycle3_pos_rate,val_cycle4_pos_nodes,val_cycle4_pos_rate,val_cycle5_pos_nodes,val_cycle5_pos_rate,val_cycle6_pos_nodes,val_cycle6_pos_rate,test_num_nodes,test_num_edges_raw,test_boundary_edges_raw,test_cycle2_pos_nodes,test_cycle2_pos_rate,test_cycle3_pos_nodes,test_cycle3_pos_rate,test_cycle4_pos_nodes,test_cycle4_pos_rate,test_cycle5_pos_nodes,test_cycle5_pos_rate,test_cycle6_pos_nodes,test_cycle6_pos_rate,base_graph_id,base_rank,structural_cluster_id,mask_mode,assigned_task,mask_task,masked_tasks_json,q_value,q_iid,q_other_share,q_assigned_share,q_allocation_mode,mask_fraction,mask_seed,mask_apply_split,designed_heterogeneity,controlled_benchmark,target_family,community_task_family,true_train_cycle2_pos_rate,true_train_cycle2_pos_nodes,visible_train_cycle2_pos_rate,visible_train_cycle2_pos_nodes,q_share_cycle2,p_cycle2,true_train_cycle3_pos_rate,true_train_cycle3_pos_nodes,visible_train_cycle3_pos_rate,visible_train_cycle3_pos_nodes,q_share_cycle3,p_cycle3,true_train_cycle4_pos_rate,true_train_cycle4_pos_nodes,visible_train_cycle4_pos_rate,visible_train_cycle4_pos_nodes,q_share_cycle4,p_cycle4,true_train_cycle5_pos_rate,true_train_cycle5_pos_nodes,visible_train_cycle5_pos_rate,visible_train_cycle5_pos_nodes,q_share_cycle5,p_cycle5,true_train_cycle6_pos_rate,true_train_cycle6_pos_nodes,visible_train_cycle6_pos_rate,visible_train_cycle6_pos_nodes,q_share_cycle6,p_cycle6,p_sum,p_mean,p_min,p_max,p_spread,dominant_task
4000000,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community0_q20_cycle2,andrea/planted_community_clients/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0/community_0,2000,planted_chordal_community,0,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community0,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,andrea/planted_community_data/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,8000,13120,forward_dag,label_invariant_local_equals_global,2000,3000,40,31,0.0155,27,0.0135,27,0.0135,27,0.0135,20,0.01,2000,3000,40,160,0.08,177,0.0885,146,0.073,172,0.086,104,0.052,2000,3000,40,162,0.081,122,0.061,176,0.088,222,0.111,210,0.105,3900000,0,0,q_task_label_allocation,cycle2,cycle2,"[""cycle3"",""cycle4"",""cycle5"",""cycle6""]",0.2,0.2,0.2,0.2,deterministic_disjoint_positive_label_chunks,0.2,4000000,train,0.2,planted_community_q_task_label_heterogeneity,q_task_cycle2,community0_cycle2,0.0765,153,0.0155,31,0.2,0.0155,0.0655,131,0.0135,27,0.2,0.0135,0.067,134,0.0135,27,0.2,0.0135,0.0655,131,0.0135,27,0.2,0.0135,0.0485,97,0.01,20,0.2,0.01,0.06599999999999999,0.013199999999999998,0.01,0.0155,0.0055,cycle2
4000001,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community0_q20_cycle3,andrea/planted_community_clients/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0/community_0,2000,planted_chordal_community,0,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community0,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,andrea/planted_community_data/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,8000,13120,forward_dag,label_invariant_local_equals_global,2000,3000,40,31,0.0155,26,0.013,27,0.0135,26,0.013,20,0.01,2000,3000,40,160,0.08,177,0.0885,146,0.073,172,0.086,104,0.052,2000,3000,40,162,0.081,122,0.061,176,0.088,222,0.111,210,0.105,3900000,0,0,q_task_label_allocation,cycle3,cycle3,"[""cycle2"",""cycle4"",""cycle5"",""cycle6""]",0.2,0.2,0.2,0.2,deterministic_disjoint_positive_label_chunks,0.2,4000001,train,0.2,planted_community_q_task_label_heterogeneity,q_task_cycle3,community0_cycle3,0.0765,153,0.0155,31,0.2,0.0155,0.0655,131,0.013,26,0.2,0.013,0.067,134,0.0135,27,0.2,0.0135,0.0655,131,0.013,26,0.2,0.013,0.0485,97,0.01,20,0.2,0.01,0.06499999999999999,0.012999999999999998,0.01,0.0155,0.0055,cycle2
4000002,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community0_q20_cycle4,andrea/planted_community_clients/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0/community_0,2000,planted_chordal_community,0,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community0,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,andrea/planted_community_data/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,8000,13120,forward_dag,label_invariant_local_equals_global,2000,3000,40,31,0.0155,26,0.013,27,0.0135,26,0.013,19,0.0095,2000,3000,40,160,0.08,177,0.0885,146,0.073,172,0.086,104,0.052,2000,3000,40,162,0.081,122,0.061,176,0.088,222,0.111,210,0.105,3900000,0,0,q_task_label_allocation,cycle4,cycle4,"[""cycle2"",""cycle3"",""cycle5"",""cycle6""]",0.2,0.2,0.2,0.2,deterministic_disjoint_positive_label_chunks,0.2,4000002,train,0.2,planted_community_q_task_label_heterogeneity,q_task_cycle4,community0_cycle4,0.0765,153,0.0155,31,0.2,0.0155,0.0655,131,0.013,26,0.2,0.013,0.067,134,0.0135,27,0.2,0.0135,0.0655,131,0.013,26,0.2,0.013,0.0485,97,0.0095,19,0.2,0.0095,0.06449999999999999,0.012899999999999998,0.0095,0.0155,0.006,cycle2
4000003,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community0_q20_cycle5,andrea/planted_community_clients/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0/community_0,2000,planted_chordal_community,0,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community0,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,andrea/planted_community_data/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,8000,13120,forward_dag,label_invariant_local_equals_global,2000,3000,40,30,0.015,26,0.013,27,0.0135,26,0.013,19,0.0095,2000,3000,40,160,0.08,177,0.0885,146,0.073,172,0.086,104,0.052,2000,3000,40,162,0.081,122,0.061,176,0.088,222,0.111,210,0.105,3900000,0,0,q_task_label_allocation,cycle5,cycle5,"[""cycle2"",""cycle3"",""cycle4"",""cycle6""]",0.2,0.2,0.2,0.2,deterministic_disjoint_positive_label_chunks,0.2,4000003,train,0.2,planted_community_q_task_label_heterogeneity,q_task_cycle5,community0_cycle5,0.0765,153,0.015,30,0.2,0.015,0.0655,131,0.013,26,0.2,0.013,0.067,134,0.0135,27,0.2,0.0135,0.0655,131,0.013,26,0.2,0.013,0.0485,97,0.0095,19,0.2,0.0095,0.06399999999999999,0.012799999999999997,0.0095,0.015,0.0055,cycle2
4000004,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community0_q20_cycle6,andrea/planted_community_clients/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0/community_0,2000,planted_chordal_community,0,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community0,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,andrea/planted_community_data/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,8000,13120,forward_dag,label_invariant_local_equals_global,2000,3000,40,30,0.015,26,0.013,26,0.013,26,0.013,19,0.0095,2000,3000,40,160,0.08,177,0.0885,146,0.073,172,0.086,104,0.052,2000,3000,40,162,0.081,122,0.061,176,0.088,222,0.111,210,0.105,3900000,0,0,q_task_label_allocation,cycle6,cycle6,"[""cycle2"",""cycle3"",""cycle4"",""cycle5""]",0.2,0.2,0.2,0.2,deterministic_disjoint_positive_label_chunks,0.2,4000004,train,0.2,planted_community_q_task_label_heterogeneity,q_task_cycle6,community0_cycle6,0.0765,153,0.015,30,0.2,0.015,0.0655,131,0.013,26,0.2,0.013,0.067,134,0.013,26,0.2,0.013,0.0655,131,0.013,26,0.2,0.013,0.0485,97,0.0095,19,0.2,0.0095,0.06349999999999999,0.012699999999999998,0.0095,0.015,0.0055,cycle2
4000005,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community1_q20_cycle2,andrea/planted_community_clients/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0/community_1,2000,planted_chordal_community,1,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community1,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,andrea/planted_community_data/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,8000,13120,forward_dag,label_invariant_local_equals_global,2000,3000,80,20,0.01,26,0.013,29,0.0145,27,0.0135,33,0.0165,2000,3000,80,90,0.045,94,0.047,98,0.049,153,0.0765,182,0.091,2000,3000,80,97,0.0485,106,0.053,109,0.0545,100,0.05,124,0.062,3900001,1,1,q_task_label_allocation,cycle2,cycle2,"[""cycle3"",""cycle4"",""cycle5"",""cycle6""]",0.2,0.2,0.2,0.2,deterministic_disjoint_positive_label_chunks,0.2,4000005,train,0.2,planted_community_q_task_label_heterogeneity,q_task_cycle2,community1_cycle2,0.0495,99,0.01,20,0.2,0.01,0.0635,127,0.013,26,0.2,0.013,0.0725,145,0.0145,29,0.2,0.0145,0.067,134,0.0135,27,0.2,0.0135,0.0805,161,0.0165,33,0.2,0.0165,0.0675,0.013500000000000002,0.01,0.0165,0.006500000000000001,cycle6
4000006,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community1_q20_cycle3,andrea/planted_community_clients/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0/community_1,2000,planted_chordal_community,1,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community1,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,andrea/planted_community_data/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,8000,13120,forward_dag,label_invariant_local_equals_global,2000,3000,80,20,0.01,26,0.013,29,0.0145,27,0.0135,32,0.016,2000,3000,80,90,0.045,94,0.047,98,0.049,153,0.0765,182,0.091,2000,3000,80,97,0.0485,106,0.053,109,0.0545,100,0.05,124,0.062,3900001,1,1,q_task_label_allocation,cycle3,cycle3,"[""cycle2"",""cycle4"",""cycle5"",""cycle6""]",0.2,0.2,0.2,0.2,deterministic_disjoint_positive_label_chunks,0.2,4000006,train,0.2,planted_community_q_task_label_heterogeneity,q_task_cycle3,community1_cycle3,0.0495,99,0.01,20,0.2,0.01,0.0635,127,0.013,26,0.2,0.013,0.0725,145,0.0145,29,0.2,0.0145,0.067,134,0.0135,27,0.2,0.0135,0.0805,161,0.016,32,0.2,0.016,0.067,0.0134,0.01,0.016,0.006,cycle6
4000007,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community1_q20_cycle4,andrea/planted_community_clients/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0/community_1,2000,planted_chordal_community,1,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community1,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,andrea/planted_community_data/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,8000,13120,forward_dag,label_invariant_local_equals_global,2000,3000,80,20,0.01,25,0.0125,29,0.0145,27,0.0135,32,0.016,2000,3000,80,90,0.045,94,0.047,98,0.049,153,0.0765,182,0.091,2000,3000,80,97,0.0485,106,0.053,109,0.0545,100,0.05,124,0.062,3900001,1,1,q_task_label_allocation,cycle4,cycle4,"[""cycle2"",""cycle3"",""cycle5"",""cycle6""]",0.2,0.2,0.2,0.2,deterministic_disjoint_positive_label_chunks,0.2,4000007,train,0.2,planted_community_q_task_label_heterogeneity,q_task_cycle4,community1_cycle4,0.0495,99,0.01,20,0.2,0.01,0.0635,127,0.0125,25,0.2,0.0125,0.0725,145,0.0145,29,0.2,0.0145,0.067,134,0.0135,27,0.2,0.0135,0.0805,161,0.016,32,0.2,0.016,0.0665,0.013300000000000001,0.01,0.016,0.006,cycle6
4000008,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community1_q20_cycle5,andrea/planted_community_clients/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0/community_1,2000,planted_chordal_community,1,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community1,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,andrea/planted_community_data/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,8000,13120,forward_dag,label_invariant_local_equals_global,2000,3000,80,20,0.01,25,0.0125,29,0.0145,27,0.0135,32,0.016,2000,3000,80,90,0.045,94,0.047,98,0.049,153,0.0765,182,0.091,2000,3000,80,97,0.0485,106,0.053,109,0.0545,100,0.05,124,0.062,3900001,1,1,q_task_label_allocation,cycle5,cycle5,"[""cycle2"",""cycle3"",""cycle4"",""cycle6""]",0.2,0.2,0.2,0.2,deterministic_disjoint_positive_label_chunks,0.2,4000008,train,0.2,planted_community_q_task_label_heterogeneity,q_task_cycle5,community1_cycle5,0.0495,99,0.01,20,0.2,0.01,0.0635,127,0.0125,25,0.2,0.0125,0.0725,145,0.0145,29,0.2,0.0145,0.067,134,0.0135,27,0.2,0.0135,0.0805,161,0.016,32,0.2,0.016,0.0665,0.013300000000000001,0.01,0.016,0.006,cycle6
4000009,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community1_q20_cycle6,andrea/planted_community_clients/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0/community_1,2000,planted_chordal_community,1,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0_community1,planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,andrea/planted_community_data/planted_chordal_c4_n2000_d3p0_3p0_3p5_3p5_delta8p0_12p0_8p0_12p0_bridge40_seed0,8000,13120,forward_dag,label_invariant_local_equals_global,2000,3000,80,19,0.0095,25,0.0125,29,0.0145,26,0.013,32,0.016,2000,3000,80,90,0.045,94,0.047,98,0.049,153,0.0765,182,0.091,2000,3000,80,97,0.0485,106,0.053,109,0.0545,100,0.05,124,0.062,3900001,1,1,q_task_label_allocation,cycle6,cycle6,"[""cycle2"",""cycle3"",""cycle4"",""cycle5""]",0.2,0.2,0.2,0.2,deterministic_disjoint_positive_label_chunks,0.2,4000009,train,0.2,planted_community_q_task_label_heterogeneity,q_task_cycle6,community1_cycle6,0.0495,99,0.0095,19,0.2,0.0095,0.0635,127,0.0125,25,0.2,0.0125,0.0725,145,0.0145,29,0.2,0.0145,0.067,134,0.013,26,0.2,0.013,0.0805,161,0.016,32,0.2,0.016,0.0655,0.0131,0.0095,0.016,0.006500000000000001,cycle6
