run_type,algorithm,subset_id,subset_clients,graph_id,dataset_id,num_clients,client_fraction,out_csv,ckpt_path,rounds,local_epochs,selection_metric,mcw,num_layers,lr,weight_decay,dropout,hidden_dim,use_ego_ids,batch_size,seed,model_tag,family,fedprox_mu
fedavg,fedavg,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,all,data_4100_3_7.0_chordal|data_4200_3_6.0_chordal|data_4200_3_6.5_chordal|data_4200_3_7.5_chordal|data_4200_3_3.0_chordal|data_4100_3_3.0_chordal|data_4000_3_3.0_chordal|data_3800_3_3.5_chordal|data_3800_4_4.5_chordal|data_4200_4_4.5_chordal|data_4100_4_4.0_chordal|data_4100_4_4.5_chordal|data_3900_4_2.0_chordal|data_4200_4_2.0_chordal|data_4100_4_2.0_chordal|data_4000_4_2.0_chordal|data_4200_4_7.0_chordal|data_3800_4_7.5_chordal|data_4200_4_7.5_chordal|data_4100_4_6.5_chordal,20,1.0,andrea/runs/fedavg87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,,
fedavg,fedavg,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,all,data_4100_3_7.0_chordal|data_4200_3_6.0_chordal|data_4200_3_6.5_chordal|data_4200_3_7.5_chordal|data_4200_3_3.0_chordal|data_4100_3_3.0_chordal|data_4000_3_3.0_chordal|data_3800_3_3.5_chordal|data_3800_4_4.5_chordal|data_4200_4_4.5_chordal|data_4100_4_4.0_chordal|data_4100_4_4.5_chordal|data_3900_4_2.0_chordal|data_4200_4_2.0_chordal|data_4100_4_2.0_chordal|data_4000_4_2.0_chordal|data_4200_4_7.0_chordal|data_3800_4_7.5_chordal|data_4200_4_7.5_chordal|data_4100_4_6.5_chordal,20,1.0,andrea/runs/fedavg87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/runs/fedavg87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,,
fedavg,fedavg,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,all,data_4100_3_7.0_chordal|data_4200_3_6.0_chordal|data_4200_3_6.5_chordal|data_4200_3_7.5_chordal|data_4200_3_3.0_chordal|data_4100_3_3.0_chordal|data_4000_3_3.0_chordal|data_3800_3_3.5_chordal|data_3800_4_4.5_chordal|data_4200_4_4.5_chordal|data_4100_4_4.0_chordal|data_4100_4_4.5_chordal|data_3900_4_2.0_chordal|data_4200_4_2.0_chordal|data_4100_4_2.0_chordal|data_4000_4_2.0_chordal|data_4200_4_7.0_chordal|data_3800_4_7.5_chordal|data_4200_4_7.5_chordal|data_4100_4_6.5_chordal,20,1.0,andrea/runs/fedavg87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.csv,andrea/runs/fedavg87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,2,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,,
local,local,,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87,data_4100_3_7.0_chordal,1,1.0,andrea/runs/data_4100_3_7.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4100_3_7.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,flat_balanced,
local,local,,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,157,data_4200_3_6.0_chordal,1,1.0,andrea/runs/data_4200_3_6.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4200_3_6.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,flat_balanced,
local,local,,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,149,data_4200_3_6.5_chordal,1,1.0,andrea/runs/data_4200_3_6.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4200_3_6.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,flat_balanced,
local,local,,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,109,data_4200_3_7.5_chordal,1,1.0,andrea/runs/data_4200_3_7.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4200_3_7.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,flat_balanced,
local,local,,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,143,data_4200_3_3.0_chordal,1,1.0,andrea/runs/data_4200_3_3.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4200_3_3.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,mild_decreasing,
local,local,,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,114,data_4100_3_3.0_chordal,1,1.0,andrea/runs/data_4100_3_3.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4100_3_3.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,mild_decreasing,
local,local,,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,117,data_4000_3_3.0_chordal,1,1.0,andrea/runs/data_4000_3_3.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4000_3_3.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,mild_decreasing,
