dataset_id,n,d,r,type,split,method,split_id,seed_tag,seed,n_clients,louvain_res,metis_num_coms,client_assignment,alpha
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,components_label_imbalance_split,components_label_imbalance_split_c8,components_label_imbalance_split_c8,253826375,8,,,,
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,components_label_imbalance_split,components_label_imbalance_split_c32,components_label_imbalance_split_c32,158973900,32,,,,
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,components_original_split,components_original_split_equal_c8,components_original_split_equal_c8,1415635454,8,,,equal,
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,components_original_split,components_original_split_zipf0p4_c8,components_original_split_zipf0.4_c8,374441064,8,,,zipf,0.4
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,components_original_split,components_original_split_equal_c32,components_original_split_equal_c32,1188114645,32,,,equal,
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,components_original_split,components_original_split_zipf0p4_c32,components_original_split_zipf0.4_c32,614093927,32,,,zipf,0.4
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,louvain_label_imbalance,louvain_label_imbalance_res0p5_c8,louvain_label_imbalance_res0.5_c8,715593418,8,0.5,,,
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,louvain_label_imbalance,louvain_label_imbalance_res0p5_c32,louvain_label_imbalance_res0.5_c32,2022599112,32,0.5,,,
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,louvain_original,louvain_original_res0p5_equal_c8,louvain_original_res0.5_equal_c8,1637199216,8,0.5,,equal,
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,louvain_original,louvain_original_res0p5_zipf0p4_c8,louvain_original_res0.5_zipf0.4_c8,1330129233,8,0.5,,zipf,0.4
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,louvain_original,louvain_original_res0p5_equal_c32,louvain_original_res0.5_equal_c32,548647670,32,0.5,,equal,
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,louvain_original,louvain_original_res0p5_zipf0p4_c32,louvain_original_res0.5_zipf0.4_c32,360915291,32,0.5,,zipf,0.4
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,metis_label_imbalance,metis_label_imbalance_com8_c8,metis_label_imbalance_com8_c8,739707178,8,,8.0,,
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,metis_label_imbalance,metis_label_imbalance_com32_c32,metis_label_imbalance_com32_c32,142619966,32,,32.0,,
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,metis_original,metis_original_com8_equal_c8,metis_original_com8_equal_c8,748338072,8,,8.0,equal,
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,metis_original,metis_original_com8_zipf0p4_c8,metis_original_com8_zipf0.4_c8,948433623,8,,8.0,zipf,0.4
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,metis_original,metis_original_com32_equal_c32,metis_original_com32_equal_c32,1612678077,32,,32.0,equal,
data_10000_4_2.0_chordal,10000,4,2.0,chordal,train,metis_original,metis_original_com32_zipf0p4_c32,metis_original_com32_zipf0.4_c32,1206178457,32,,32.0,zipf,0.4
data_10000_4_3.0_chordal,10000,4,3.0,chordal,train,components_label_imbalance_split,components_label_imbalance_split_c8,components_label_imbalance_split_c8,172008408,8,,,,
data_10000_4_3.0_chordal,10000,4,3.0,chordal,train,components_label_imbalance_split,components_label_imbalance_split_c32,components_label_imbalance_split_c32,2107159076,32,,,,
data_10000_4_3.0_chordal,10000,4,3.0,chordal,train,components_original_split,components_original_split_equal_c8,components_original_split_equal_c8,1410667828,8,,,equal,
data_10000_4_3.0_chordal,10000,4,3.0,chordal,train,components_original_split,components_original_split_zipf0p4_c8,components_original_split_zipf0.4_c8,1600024634,8,,,zipf,0.4
data_10000_4_3.0_chordal,10000,4,3.0,chordal,train,components_original_split,components_original_split_equal_c32,components_original_split_equal_c32,1355265458,32,,,equal,
data_10000_4_3.0_chordal,10000,4,3.0,chordal,train,components_original_split,components_original_split_zipf0p4_c32,components_original_split_zipf0.4_c32,513533990,32,,,zipf,0.4
data_10000_4_3.0_chordal,10000,4,3.0,chordal,train,louvain_label_imbalance,louvain_label_imbalance_res0p5_c8,louvain_label_imbalance_res0.5_c8,1111808102,8,0.5,,,
