run_type,algorithm,subset_id,subset_clients,graph_id,dataset_id,num_clients,client_fraction,out_csv,ckpt_path,rounds,local_epochs,selection_metric,mcw,num_layers,lr,weight_decay,dropout,hidden_dim,use_ego_ids,batch_size,seed,model_tag,family
local,local,,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,174,data_4200_4_3.0_chordal_rep02,1,1.0,andrea/runs/data_4200_4_3.0_chordal_rep02_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.csv,andrea/runs/data_4200_4_3.0_chordal_rep02_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,2,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,mild_decreasing
local,local,,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,175,data_4200_4_3.0_chordal_rep03,1,1.0,andrea/runs/data_4200_4_3.0_chordal_rep03_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.csv,andrea/runs/data_4200_4_3.0_chordal_rep03_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,2,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,mild_decreasing
local,local,,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,172,data_4200_4_3.0_chordal_rep00,1,1.0,andrea/runs/data_4200_4_3.0_chordal_rep00_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.csv,andrea/runs/data_4200_4_3.0_chordal_rep00_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,2,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,mild_decreasing
local,local,,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,95,data_4000_4_3.0_chordal_rep03,1,1.0,andrea/runs/data_4000_4_3.0_chordal_rep03_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.csv,andrea/runs/data_4000_4_3.0_chordal_rep03_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,2,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,mild_decreasing
local,local,,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,101,data_4000_4_4.0_chordal_rep01,1,1.0,andrea/runs/data_4000_4_4.0_chordal_rep01_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.csv,andrea/runs/data_4000_4_4.0_chordal_rep01_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,2,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,mild_increasing
local,local,,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,103,data_4000_4_4.0_chordal_rep03,1,1.0,andrea/runs/data_4000_4_4.0_chordal_rep03_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.csv,andrea/runs/data_4000_4_4.0_chordal_rep03_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,2,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,mild_increasing
local,local,,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,22,data_3800_4_4.0_chordal_rep02,1,1.0,andrea/runs/data_3800_4_4.0_chordal_rep02_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.csv,andrea/runs/data_3800_4_4.0_chordal_rep02_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,2,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,mild_increasing
local,local,,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,29,data_3800_4_5.0_chordal_rep01,1,1.0,andrea/runs/data_3800_4_5.0_chordal_rep01_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.csv,andrea/runs/data_3800_4_5.0_chordal_rep01_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,2,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,mild_increasing
local,local,,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,8,data_3800_4_2.5_chordal_rep00,1,1.0,andrea/runs/data_3800_4_2.5_chordal_rep00_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.csv,andrea/runs/data_3800_4_2.5_chordal_rep00_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,2,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,strong_decreasing
local,local,,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,10,data_3800_4_2.5_chordal_rep02,1,1.0,andrea/runs/data_3800_4_2.5_chordal_rep02_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.csv,andrea/runs/data_3800_4_2.5_chordal_rep02_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,2,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,strong_decreasing
