n,d,r,type,seed_train,seed_val,seed_test,num_nodes_train,num_nodes_val,num_nodes_test,num_edges_train,num_edges_val,num_edges_test
2000,4,2.0,barabasi,750667099,1592444925,977647050,2000,2000,2000,3996,3996,3996
2000,4,2.0,random,1309688560,961740746,1228438611,2000,2000,2000,3996,4000,4000
2000,4,2.0,watts,1891045144,1635625654,2121502398,2000,2000,2000,4000,4000,4000
2000,4,3.0,barabasi,313379128,811878625,134292054,2000,2000,2000,3996,3996,3996
2000,4,3.0,random,13291273,657556580,217189079,2000,2000,1999,4000,3996,4000
2000,4,3.0,watts,6645689,1663498278,1317407378,2000,2000,2000,4000,4000,4000
2000,4,4.0,barabasi,1203811010,1159106630,1711439880,2000,2000,2000,3996,3996,3996
2000,4,4.0,random,452510427,1699815034,606040679,2000,2000,2000,3996,3996,4000
2000,4,4.0,watts,1219851085,829281613,1672026411,2000,2000,2000,4000,4000,4000
2000,6,2.0,barabasi,376379761,2062681820,315629579,2000,2000,2000,5991,5991,5991
2000,6,2.0,random,417393489,901362413,1212298834,2000,2000,2000,5991,6000,6000
2000,6,2.0,watts,1153077670,63100748,1293817381,2000,2000,2000,6000,6000,6000
2000,6,3.0,barabasi,1604113019,968498380,915254076,2000,2000,2000,5991,5991,5991
2000,6,3.0,random,1983821442,208018623,941743502,2000,2000,2000,6000,5991,6000
2000,6,3.0,watts,1145774120,1337366463,1200152530,2000,2000,2000,6000,6000,6000
2000,6,4.0,barabasi,1667638714,1032728933,1672462534,2000,2000,2000,5991,5991,5991
2000,6,4.0,random,1380259343,1199296322,1410730567,2000,2000,2000,5991,5991,6000
2000,6,4.0,watts,1176805802,526588710,666447466,2000,2000,2000,6000,6000,6000
2000,8,2.0,barabasi,1820524429,1716379607,480385816,2000,2000,2000,7984,7984,7984
2000,8,2.0,random,736874913,470608439,617199446,2000,2000,2000,7984,8000,7984
2000,8,2.0,watts,1731774866,2099657671,1993528250,2000,2000,2000,8000,8000,8000
2000,8,3.0,barabasi,851345440,1449190075,1043022386,2000,2000,2000,7984,7984,7984
2000,8,3.0,random,1101009868,1805324370,633962795,2000,2000,2000,8000,7984,7984
2000,8,3.0,watts,452873835,820079580,1429450539,2000,2000,2000,8000,8000,8000
2000,8,4.0,barabasi,739657139,29955493,1868503954,2000,2000,2000,7984,7984,7984
2000,8,4.0,random,1801063299,55477474,1810203092,2000,2000,2000,7984,8000,8000
2000,8,4.0,watts,258678279,1621856635,1668753954,2000,2000,2000,8000,8000,8000
4000,4,2.0,barabasi,2113153324,1188606654,720964919,4000,4000,4000,7996,7996,7996
4000,4,2.0,random,425091582,1413638123,1400114304,4000,4000,4000,8000,7996,8000
4000,4,2.0,watts,252788684,2060608577,1942242060,4000,4000,4000,8000,8000,8000
4000,4,3.0,barabasi,944345932,608924979,365876974,4000,4000,4000,7996,7996,7996
4000,4,3.0,random,1625545201,629806134,914516485,4000,4000,4000,8000,7996,8000
4000,4,3.0,watts,1185280282,1084426926,1930927700,4000,4000,4000,8000,8000,8000
4000,4,4.0,barabasi,2134505285,2035981669,1982687427,4000,4000,4000,7996,7996,7996
4000,4,4.0,random,1885468952,1115213142,62525145,4000,4000,4000,7996,7996,7996
4000,4,4.0,watts,111531688,442451628,1235748891,4000,4000,4000,8000,8000,8000
4000,6,2.0,barabasi,638869693,1825526616,1568380667,4000,4000,4000,11991,11991,11991
4000,6,2.0,random,417070120,1900691068,1891208905,4000,4000,4000,11991,11991,12000
4000,6,2.0,watts,1146980474,1886913890,574758847,4000,4000,4000,12000,12000,12000
4000,6,3.0,barabasi,1793549099,1072789822,1624490097,4000,4000,4000,11991,11991,11991
4000,6,3.0,random,450630531,1042758428,66554620,4000,4000,4000,12000,11991,12000
4000,6,3.0,watts,1682863535,1109057947,1500358507,4000,4000,4000,12000,12000,12000
4000,6,4.0,barabasi,384604043,1245818488,1076251593,4000,4000,4000,11991,11991,11991
4000,6,4.0,random,1805255029,2068896598,471200460,4000,4000,4000,11991,12000,12000
4000,6,4.0,watts,1201961015,475786144,352222865,4000,4000,4000,12000,12000,12000
4000,8,2.0,barabasi,2049977717,711515460,63931040,4000,4000,4000,15984,15984,15984
4000,8,2.0,random,1625532020,312636475,1433797573,4000,4000,4000,16000,15984,16000
4000,8,2.0,watts,1178355188,1668405138,1164836328,4000,4000,4000,16000,16000,16000
4000,8,3.0,barabasi,183327232,1495427411,1165870188,4000,4000,4000,15984,15984,15984
4000,8,3.0,random,1668180610,1444734031,505636611,4000,4000,4000,15984,16000,16000
4000,8,3.0,watts,1440334572,2053280431,634593370,4000,4000,4000,16000,16000,16000
4000,8,4.0,barabasi,1443489489,897734635,515470033,4000,4000,4000,15984,15984,15984
4000,8,4.0,random,208822451,1143632251,648946157,4000,4000,4000,16000,15984,15984
4000,8,4.0,watts,169052934,965378503,1063973847,4000,4000,4000,16000,16000,16000
6000,4,2.0,barabasi,1941520222,2092255759,989433673,6000,6000,6000,11996,11996,11996
6000,4,2.0,random,915528121,2079898429,135615229,6000,6000,6000,11996,11996,11996
6000,4,2.0,watts,1212532905,893534128,1178987867,6000,6000,6000,12000,12000,12000
6000,4,3.0,barabasi,721021646,436763858,462175207,6000,6000,6000,11996,11996,11996
6000,4,3.0,random,383246741,633697070,2005422694,6000,6000,6000,12000,12000,11996
6000,4,3.0,watts,1896394268,1514882554,301251401,6000,6000,6000,12000,12000,12000
6000,4,4.0,barabasi,1446958352,87798009,1065975167,6000,6000,6000,11996,11996,11996
6000,4,4.0,random,1084847109,1197615002,2109479065,6000,6000,6000,11996,11996,11996
6000,4,4.0,watts,698688200,1491474171,1346507625,6000,6000,6000,12000,12000,12000
6000,6,2.0,barabasi,1727383078,1393819845,1180458989,6000,6000,6000,17991,17991,17991
6000,6,2.0,random,453339286,341033556,268947417,6000,6000,6000,18000,18000,17991
6000,6,2.0,watts,1209878775,1952372776,481769139,6000,6000,6000,18000,18000,18000
6000,6,3.0,barabasi,188155420,374430543,373763032,6000,6000,6000,17991,17991,17991
6000,6,3.0,random,1944156436,1079781950,1730596126,6000,6000,6000,17991,18000,18000
6000,6,3.0,watts,1342831014,1111387987,1490097699,6000,6000,6000,18000,18000,18000
6000,6,4.0,barabasi,387907735,2124657618,274615554,6000,6000,6000,17991,17991,17991
6000,6,4.0,random,1615401538,29590281,244947653,6000,6000,6000,18000,18000,18000
6000,6,4.0,watts,190130728,2109145429,527006224,6000,6000,6000,18000,18000,18000
6000,8,2.0,barabasi,183040687,382010929,508839317,6000,6000,6000,23984,23984,23984
6000,8,2.0,random,1325049889,1935594019,1538906916,6000,6000,6000,23984,24000,23984
6000,8,2.0,watts,1102306608,2038767608,1295590975,6000,6000,6000,24000,24000,24000
6000,8,3.0,barabasi,1118128221,286671432,400493150,6000,6000,6000,23984,23984,23984
6000,8,3.0,random,134656485,1747953255,689869067,6000,6000,6000,23984,24000,24000
6000,8,3.0,watts,658014919,30079821,717967313,6000,6000,6000,24000,24000,24000
6000,8,4.0,barabasi,1133220905,24730747,1279094013,6000,6000,6000,23984,23984,23984
6000,8,4.0,random,989478335,1269535219,990318416,6000,6000,6000,23984,24000,24000
6000,8,4.0,watts,922632302,1786277170,498483286,6000,6000,6000,24000,24000,24000
8000,4,2.0,barabasi,223118886,262435543,1843771101,8000,8000,8000,15996,15996,15996
