run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,train_epoch,train,,,1,0.7392866750767356,,,,,,,,3800,,,,,,,,,,,
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch,val,,,1,,0.5707365585628309,0.8278947368421052,0.5628947615623474,0.7225521805531988,0.6864306330680847,0.6864306330680847,0.6864306330680847,3800,,,,,,,,,,,
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle2,,1,,,,,,,,,3800,1418.0,201.0,2181.0,0.0,0.8758492896849908,1.0,0.9338163137435913,0.9338163137435913,0.9338163137435913,1418.0,0.37315788865089417
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle3,,1,,,,,,,,,3800,1061.0,458.0,2114.0,167.0,0.6984858459512837,0.8640065146579805,0.7724790573120117,0.7724790573120117,0.7724790573120117,1228.0,0.3231579065322876
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle4,,1,,,,,,,,,3800,867.0,488.0,2273.0,172.0,0.6398523985239852,0.8344562078922041,0.7243107557296753,0.7243107557296753,0.7243107557296753,1039.0,0.273421049118042
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle5,,1,,,,,,,,,3800,545.0,771.0,2339.0,145.0,0.41413373860182373,0.7898550724637681,0.5433698892593384,0.5433698892593384,0.5433698892593384,690.0,0.18157894909381866
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle6,,1,,,,,,,,,3800,367.0,711.0,2565.0,157.0,0.3404452690166976,0.700381679389313,0.45817726850509644,0.45817726850509644,0.45817726850509644,524.0,0.13789473474025726
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,train_epoch,train,,,2,0.4582235004399952,,,,,,,,3800,,,,,,,,,,,
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch,val,,,2,,0.4739409170652691,0.9068421052631579,0.6957894563674927,0.8280551777734602,0.7834351658821106,0.7834351658821106,0.7834351658821106,3800,,,,,,,,,,,
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle2,,2,,,,,,,,,3800,1413.0,63.0,2319.0,5.0,0.9573170731707317,0.9964739069111425,0.9765031337738037,0.9765031337738037,0.9765031337738037,1418.0,0.37315788865089417
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle3,,2,,,,,,,,,3800,1224.0,385.0,2187.0,4.0,0.7607209446861405,0.996742671009772,0.8628832697868347,0.8628832697868347,0.8628832697868347,1228.0,0.3231579065322876
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle4,,2,,,,,,,,,3800,831.0,235.0,2526.0,208.0,0.7795497185741088,0.7998075072184793,0.7895486950874329,0.7895486950874329,0.7895486950874329,1039.0,0.273421049118042
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle5,,2,,,,,,,,,3800,447.0,131.0,2979.0,243.0,0.773356401384083,0.6478260869565218,0.7050473093986511,0.7050473093986511,0.7050473093986511,690.0,0.18157894909381866
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle6,,2,,,,,,,,,3800,347.0,319.0,2957.0,177.0,0.521021021021021,0.6622137404580153,0.583193302154541,0.583193302154541,0.583193302154541,524.0,0.13789473474025726
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,train_epoch,train,,,3,0.3695958020812587,,,,,,,,3800,,,,,,,,,,,
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch,val,,,3,,0.30355829621616165,0.8798947368421053,0.6465789675712585,0.8092611166833835,0.7877071499824524,0.7877071499824524,0.7877071499824524,3800,,,,,,,,,,,
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle2,,3,,,,,,,,,3800,1412.0,45.0,2337.0,6.0,0.9691146190803019,0.995768688293371,0.9822608232498169,0.9822608232498169,0.9822608232498169,1418.0,0.37315788865089417
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle3,,3,,,,,,,,,3800,1222.0,45.0,2527.0,6.0,0.9644830307813733,0.995114006514658,0.979559063911438,0.979559063911438,0.979559063911438,1228.0,0.3231579065322876
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle4,,3,,,,,,,,,3800,1026.0,349.0,2412.0,13.0,0.7461818181818182,0.987487969201155,0.8500415086746216,0.8500415086746216,0.8500415086746216,1039.0,0.273421049118042
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle5,,3,,,,,,,,,3800,678.0,774.0,2336.0,12.0,0.4669421487603306,0.9826086956521739,0.633053183555603,0.633053183555603,0.633053183555603,690.0,0.18157894909381866
local,local,,,1,5,data_3800_4_2.0_chordal_rep01,val_epoch_task,val,cycle6,,3,,,,,,,,,3800,503.0,1011.0,2265.0,21.0,0.3322324966974901,0.9599236641221374,0.49362117052078247,0.49362117052078247,0.49362117052078247,524.0,0.13789473474025726
