run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
local,local,,,2,65,data_3900_4_2.0_chordal,train_epoch,train,,,1,0.6949169779435183,,,,,,,,3900,,,,,,,,,,,
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch,val,,,1,,0.5783694499578231,0.8402051282051282,0.5484615564346313,0.7046445497630331,0.683548092842102,0.683548092842102,0.683548092842102,3900,,,,,,,,,,,
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle2,,1,,,,,,,,,3900,1328.0,610.0,1819.0,143.0,0.6852425180598555,0.902787219578518,0.7791141271591187,0.7791141271591187,0.7791141271591187,1471.0,0.37717947363853455
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle3,,1,,,,,,,,,3900,817.0,235.0,2383.0,465.0,0.776615969581749,0.6372854914196567,0.7000856399536133,0.7000856399536133,0.7000856399536133,1282.0,0.3287179470062256
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle4,,1,,,,,,,,,3900,630.0,266.0,2664.0,340.0,0.703125,0.6494845360824743,0.6752411127090454,0.6752411127090454,0.6752411127090454,970.0,0.24871794879436493
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle5,,1,,,,,,,,,3900,585.0,328.0,2790.0,197.0,0.6407447973713034,0.7480818414322251,0.6902655363082886,0.6902655363082886,0.6902655363082886,782.0,0.2005128264427185
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle6,,1,,,,,,,,,3900,357.0,338.0,3011.0,194.0,0.5136690647482014,0.647912885662432,0.5730336308479309,0.5730336308479309,0.5730336308479309,551.0,0.14128205180168152
local,local,,,2,65,data_3900_4_2.0_chordal,train_epoch,train,,,2,0.48156664120845305,,,,,,,,3900,,,,,,,,,,,
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch,val,,,2,,0.5648074567623628,0.8792307692307693,0.6299999952316284,0.7769675158632446,0.7424584627151489,0.7424584627151489,0.7424584627151489,3900,,,,,,,,,,,
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle2,,2,,,,,,,,,3900,1455.0,18.0,2411.0,16.0,0.9877800407331976,0.9891230455472467,0.9884510636329651,0.9884510636329651,0.9884510636329651,1471.0,0.37717947363853455
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle3,,2,,,,,,,,,3900,947.0,116.0,2502.0,335.0,0.8908748824082785,0.7386895475819033,0.807675838470459,0.807675838470459,0.807675838470459,1282.0,0.3287179470062256
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle4,,2,,,,,,,,,3900,705.0,236.0,2694.0,265.0,0.7492029755579172,0.7268041237113402,0.7378336191177368,0.7378336191177368,0.7378336191177368,970.0,0.24871794879436493
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle5,,2,,,,,,,,,3900,572.0,434.0,2684.0,210.0,0.5685884691848907,0.731457800511509,0.6398210525512695,0.6398210525512695,0.6398210525512695,782.0,0.2005128264427185
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle6,,2,,,,,,,,,3900,423.0,597.0,2752.0,128.0,0.4147058823529412,0.7676950998185118,0.5385105609893799,0.5385105609893799,0.5385105609893799,551.0,0.14128205180168152
local,local,,,2,65,data_3900_4_2.0_chordal,train_epoch,train,,,3,0.36398726845398927,,,,,,,,3900,,,,,,,,,,,
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch,val,,,3,,0.39949114750593134,0.9266666666666666,0.7317948937416077,0.8538728796239526,0.79918372631073,0.79918372631073,0.79918372631073,3900,,,,,,,,,,,
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle2,,3,,,,,,,,,3900,1462.0,12.0,2417.0,9.0,0.9918588873812755,0.9938817131203264,0.9928692579269409,0.9928692579269409,0.9928692579269409,1471.0,0.37717947363853455
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle3,,3,,,,,,,,,3900,1232.0,48.0,2570.0,50.0,0.9625,0.9609984399375975,0.9617486000061035,0.9617486000061035,0.9617486000061035,1282.0,0.3287179470062256
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle4,,3,,,,,,,,,3900,639.0,96.0,2834.0,331.0,0.8693877551020408,0.6587628865979381,0.7495601177215576,0.7495601177215576,0.7495601177215576,970.0,0.24871794879436493
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle5,,3,,,,,,,,,3900,530.0,158.0,2960.0,252.0,0.7703488372093024,0.6777493606138107,0.7210884094238281,0.7210884094238281,0.7210884094238281,782.0,0.2005128264427185
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle6,,3,,,,,,,,,3900,315.0,238.0,3111.0,236.0,0.569620253164557,0.5716878402903811,0.570652186870575,0.570652186870575,0.570652186870575,551.0,0.14128205180168152
local,local,,,2,65,data_3900_4_2.0_chordal,train_epoch,train,,,4,0.27716810799562014,,,,,,,,3900,,,,,,,,,,,
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch,val,,,4,,0.2602209222928072,0.9405641025641026,0.7833333611488342,0.8910816652570247,0.8571965098381042,0.8571965098381042,0.8571965098381042,3900,,,,,,,,,,,
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle2,,4,,,,,,,,,3900,1468.0,23.0,2406.0,3.0,0.9845741113346748,0.9979605710401088,0.9912222027778625,0.9912222027778625,0.9912222027778625,1471.0,0.37717947363853455
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle3,,4,,,,,,,,,3900,1235.0,22.0,2596.0,47.0,0.9824980111376292,0.9633385335413417,0.9728239178657532,0.9728239178657532,0.9728239178657532,1282.0,0.3287179470062256
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle4,,4,,,,,,,,,3900,940.0,136.0,2794.0,30.0,0.8736059479553904,0.9690721649484536,0.9188661575317383,0.9188661575317383,0.9188661575317383,970.0,0.24871794879436493
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle5,,4,,,,,,,,,3900,667.0,251.0,2867.0,115.0,0.7265795206971678,0.8529411764705882,0.7847058773040771,0.7847058773040771,0.7847058773040771,782.0,0.2005128264427185
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle6,,4,,,,,,,,,3900,431.0,412.0,2937.0,120.0,0.5112692763938316,0.7822141560798548,0.6183643937110901,0.6183643937110901,0.6183643937110901,551.0,0.14128205180168152
local,local,,,2,65,data_3900_4_2.0_chordal,train_epoch,train,,,5,0.24701254329620265,,,,,,,,3900,,,,,,,,,,,
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch,val,,,5,,0.27629680178104304,0.8816410256410256,0.6382051110267639,0.8132686084142395,0.7994875311851501,0.7994875311851501,0.7994875311851501,3900,,,,,,,,,,,
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle2,,5,,,,,,,,,3900,1468.0,13.0,2416.0,3.0,0.9912221471978393,0.9979605710401088,0.9945799112319946,0.9945799112319946,0.9945799112319946,1471.0,0.37717947363853455
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle3,,5,,,,,,,,,3900,1275.0,50.0,2568.0,7.0,0.9622641509433962,0.9945397815912637,0.9781357645988464,0.9781357645988464,0.9781357645988464,1282.0,0.3287179470062256
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle4,,5,,,,,,,,,3900,962.0,220.0,2710.0,8.0,0.8138747884940778,0.9917525773195877,0.8940520286560059,0.8940520286560059,0.8940520286560059,970.0,0.24871794879436493
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle5,,5,,,,,,,,,3900,779.0,848.0,2270.0,3.0,0.47879532882606024,0.9961636828644501,0.6467413902282715,0.6467413902282715,0.6467413902282715,782.0,0.2005128264427185
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle6,,5,,,,,,,,,3900,542.0,1147.0,2202.0,9.0,0.32089994079336887,0.9836660617059891,0.48392853140830994,0.48392853140830994,0.48392853140830994,551.0,0.14128205180168152
local,local,,,2,65,data_3900_4_2.0_chordal,train_epoch,train,,,6,0.23217011344738495,,,,,,,,3900,,,,,,,,,,,
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch,val,,,6,,0.2193860472471286,0.9200512820512821,0.7328205108642578,0.8648695501430181,0.8415542840957642,0.8415542840957642,0.8415542840957642,3900,,,,,,,,,,,
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle2,,6,,,,,,,,,3900,1470.0,42.0,2387.0,1.0,0.9722222222222222,0.9993201903467029,0.9855850338935852,0.9855850338935852,0.9855850338935852,1471.0,0.37717947363853455
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle3,,6,,,,,,,,,3900,1273.0,41.0,2577.0,9.0,0.9687975646879756,0.9929797191887676,0.9807395935058594,0.9807395935058594,0.9807395935058594,1282.0,0.3287179470062256
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle4,,6,,,,,,,,,3900,947.0,147.0,2783.0,23.0,0.8656307129798904,0.9762886597938144,0.9176356196403503,0.9176356196403503,0.9176356196403503,970.0,0.24871794879436493
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle5,,6,,,,,,,,,3900,765.0,559.0,2559.0,17.0,0.5777945619335347,0.9782608695652174,0.7264957427978516,0.7264957427978516,0.7264957427978516,782.0,0.2005128264427185
local,local,,,2,65,data_3900_4_2.0_chordal,val_epoch_task,val,cycle6,,6,,,,,,,,,3900,534.0,703.0,2646.0,17.0,0.4316895715440582,0.969147005444646,0.5973154306411743,0.5973154306411743,0.5973154306411743,551.0,0.14128205180168152
local,local,,,2,65,data_3900_4_2.0_chordal,train_epoch,train,,,7,0.2097216286414709,,,,,,,,3900,,,,,,,,,,,
