run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
local,local,,,1,482,data_4000_3_10_chordal,train_epoch,train,,,1,0.8498457334041596,,,,,,,,4000,,,,,,,,,,,
local,local,,,1,482,data_4000_3_10_chordal,val_epoch,val,,,1,,0.6998668875694275,0.74525,0.6554999947547913,0.35742212132677514,0.35517269372940063,0.35517269372940063,0.35517269372940063,4000,,,,,,,,,,,
local,local,,,1,482,data_4000_3_10_chordal,val_epoch_task,val,cycle2,,1,,,,,,,,,4000,233.0,986.0,2781.0,0.0,0.1911402789171452,1.0,0.3209366500377655,0.3209366500377655,0.3209366500377655,233.0,0.05824999883770943
local,local,,,1,482,data_4000_3_10_chordal,val_epoch_task,val,cycle3,,1,,,,,,,,,4000,272.0,1027.0,2698.0,3.0,0.20939183987682833,0.9890909090909091,0.34561628103256226,0.34561628103256226,0.34561628103256226,275.0,0.06875000149011612
local,local,,,1,482,data_4000_3_10_chordal,val_epoch_task,val,cycle4,,1,,,,,,,,,4000,236.0,1035.0,2723.0,6.0,0.18568056648308418,0.9752066115702479,0.31196296215057373,0.31196296215057373,0.31196296215057373,242.0,0.060499999672174454
local,local,,,1,482,data_4000_3_10_chordal,val_epoch_task,val,cycle5,,1,,,,,,,,,4000,321.0,1019.0,2641.0,19.0,0.23955223880597015,0.9441176470588235,0.3821428716182709,0.3821428716182709,0.3821428716182709,340.0,0.08500000089406967
local,local,,,1,482,data_4000_3_10_chordal,val_epoch_task,val,cycle6,,1,,,,,,,,,4000,355.0,970.0,2645.0,30.0,0.2679245283018868,0.922077922077922,0.41520464420318604,0.41520464420318604,0.41520464420318604,385.0,0.09624999761581421
local,local,,,1,482,data_4000_3_10_chordal,train_epoch,train,,,2,0.6033880100250244,,,,,,,,4000,,,,,,,,,,,
local,local,,,1,482,data_4000_3_10_chordal,val_epoch,val,,,2,,0.485106924533844,0.89105,0.7664999961853027,0.5524748408297392,0.5737501382827759,0.5737501382827759,0.5737501382827759,4000,,,,,,,,,,,
local,local,,,1,482,data_4000_3_10_chordal,val_epoch_task,val,cycle2,,2,,,,,,,,,4000,232.0,229.0,3538.0,1.0,0.5032537960954447,0.9957081545064378,0.6685879230499268,0.6685879230499268,0.6685879230499268,233.0,0.05824999883770943
