run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
local,local,,,2,159,data_4000_4_11_chordal_rep03,train_epoch,train,,,1,0.8268400940895081,,,,,,,,4000,,,,,,,,,,,
local,local,,,2,159,data_4000_4_11_chordal_rep03,val_epoch,val,,,1,,0.6378668458461761,0.76625,0.5099999904632568,0.5834447117526508,0.5700465440750122,0.5700465440750122,0.5700465440750122,4000,,,,,,,,,,,
local,local,,,2,159,data_4000_4_11_chordal_rep03,val_epoch_task,val,cycle2,,1,,,,,,,,,4000,373.0,913.0,2694.0,20.0,0.2900466562986003,0.9491094147582697,0.44431209564208984,0.44431209564208984,0.44431209564208984,393.0,0.09825000166893005
local,local,,,2,159,data_4000_4_11_chordal_rep03,val_epoch_task,val,cycle3,,1,,,,,,,,,4000,518.0,867.0,2598.0,17.0,0.3740072202166065,0.9682242990654205,0.5395833849906921,0.5395833849906921,0.5395833849906921,535.0,0.13375000655651093
local,local,,,2,159,data_4000_4_11_chordal_rep03,val_epoch_task,val,cycle4,,1,,,,,,,,,4000,660.0,896.0,2418.0,26.0,0.4241645244215938,0.9620991253644315,0.5887600779533386,0.5887600779533386,0.5887600779533386,686.0,0.17149999737739563
local,local,,,2,159,data_4000_4_11_chordal_rep03,val_epoch_task,val,cycle5,,1,,,,,,,,,4000,777.0,826.0,2242.0,155.0,0.4847161572052402,0.8336909871244635,0.613017737865448,0.613017737865448,0.613017737865448,932.0,0.2329999953508377
local,local,,,2,159,data_4000_4_11_chordal_rep03,val_epoch_task,val,cycle6,,1,,,,,,,,,4000,946.0,704.0,2099.0,251.0,0.5733333333333334,0.7903091060985797,0.6645591855049133,0.6645591855049133,0.6645591855049133,1197.0,0.2992500066757202
local,local,,,2,159,data_4000_4_11_chordal_rep03,train_epoch,train,,,2,0.453818644285202,,,,,,,,4000,,,,,,,,,,,
local,local,,,2,159,data_4000_4_11_chordal_rep03,val_epoch,val,,,2,,0.36571507596969605,0.88625,0.6262500286102295,0.7513389441469014,0.7726097106933594,0.7726097106933594,0.7726097106933594,4000,,,,,,,,,,,
local,local,,,2,159,data_4000_4_11_chordal_rep03,val_epoch_task,val,cycle2,,2,,,,,,,,,4000,390.0,155.0,3452.0,3.0,0.7155963302752294,0.9923664122137404,0.8315565586090088,0.8315565586090088,0.8315565586090088,393.0,0.09825000166893005
