round,client_id,phase,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,test_num_nodes,task,tp,fp,tn,fn,precision,recall,f1,pos_cnt,pos_rate
1,5,global_val_client,0.6935570240020752,0.48257142305374146,0.0006666666595265269,0.31323473644292754,0.22295334627062172,1500.0,,,,,,,,,,
1,5,global_val_client_task,,,,,,,cycle2,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,global_val_client_task,,,,,,,cycle3,92.0,916.0,476.0,16.0,0.09126984126984126,0.8518518518518519,0.16487455197132614,108.0,0.07199999690055847
1,5,global_val_client_task,,,,,,,cycle4,341.0,1159.0,0.0,0.0,0.22733333333333333,1.0,0.3704508419337316,341.0,0.22733333706855774
1,5,global_val_client_task,,,,,,,cycle5,3.0,1.0,768.0,728.0,0.75,0.004103967168262654,0.008163265306122448,731.0,0.4873333275318146
1,5,global_val_client_task,,,,,,,cycle6,24.0,0.0,438.0,1038.0,1.0,0.022598870056497175,0.04419889502762431,1062.0,0.7080000042915344
1,5,global_val_client_task,,,,,,,scatter_gather,531.0,969.0,0.0,0.0,0.354,1.0,0.5228951255539143,531.0,0.3540000021457672
1,5,global_val_client_task,,,,,,,biclique,248.0,516.0,646.0,90.0,0.32460732984293195,0.7337278106508875,0.4500907441016334,338.0,0.2253333330154419
1,6,global_val_client,0.6912318468093872,0.5855000019073486,0.0,0.14042364094208268,0.09443039132865973,2000.0,,,,,,,,,,
1,6,global_val_client_task,,,,,,,cycle2,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,global_val_client_task,,,,,,,cycle3,40.0,823.0,1129.0,8.0,0.046349942062572425,0.8333333333333334,0.08781558726673985,48.0,0.024000000208616257
1,6,global_val_client_task,,,,,,,cycle4,122.0,1878.0,0.0,0.0,0.061,1.0,0.11498586239396796,122.0,0.061000000685453415
1,6,global_val_client_task,,,,,,,cycle5,1.0,0.0,1755.0,244.0,1.0,0.004081632653061225,0.008130081300813009,245.0,0.12250000238418579
1,6,global_val_client_task,,,,,,,cycle6,11.0,0.0,1495.0,494.0,1.0,0.02178217821782178,0.04263565891472868,505.0,0.2524999976158142
1,6,global_val_client_task,,,,,,,scatter_gather,225.0,1775.0,0.0,0.0,0.1125,1.0,0.20224719101123595,225.0,0.11249999701976776
1,6,global_val_client_task,,,,,,,biclique,75.0,536.0,1344.0,45.0,0.12274959083469722,0.625,0.2051983584131327,120.0,0.05999999865889549
1,9,global_val_client,0.6906675100326538,0.5925714373588562,0.0,0.1611764705882353,0.11178831088890533,1000.0,,,,,,,,,,
1,9,global_val_client_task,,,,,,,cycle2,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,global_val_client_task,,,,,,,cycle3,20.0,427.0,548.0,5.0,0.0447427293064877,0.8,0.08474576271186442,25.0,0.02500000037252903
1,9,global_val_client_task,,,,,,,cycle4,73.0,927.0,0.0,0.0,0.073,1.0,0.13606710158434296,73.0,0.0729999989271164
1,9,global_val_client_task,,,,,,,cycle5,1.0,0.0,867.0,132.0,1.0,0.007518796992481203,0.014925373134328356,133.0,0.13300000131130219
1,9,global_val_client_task,,,,,,,cycle6,5.0,0.0,767.0,228.0,1.0,0.02145922746781116,0.04201680672268908,233.0,0.2329999953508377
1,9,global_val_client_task,,,,,,,scatter_gather,124.0,876.0,0.0,0.0,0.124,1.0,0.22064056939501778,124.0,0.12399999797344208
1,9,global_val_client_task,,,,,,,biclique,51.0,236.0,692.0,21.0,0.17770034843205576,0.7083333333333334,0.28412256267409475,72.0,0.07199999690055847
1,10,global_val_client,0.693896472454071,0.48428571224212646,0.0005000000237487257,0.2960218408736349,0.20844259971112072,2000.0,,,,,,,,,,
1,10,global_val_client_task,,,,,,,cycle2,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10,global_val_client_task,,,,,,,cycle3,101.0,1246.0,638.0,15.0,0.07498144023756496,0.8706896551724138,0.13807245386192757,116.0,0.057999998331069946
1,10,global_val_client_task,,,,,,,cycle4,409.0,1591.0,0.0,0.0,0.2045,1.0,0.33955998339559984,409.0,0.2045000046491623
1,10,global_val_client_task,,,,,,,cycle5,4.0,0.0,1099.0,897.0,1.0,0.004439511653718091,0.00883977900552486,901.0,0.4505000114440918
1,10,global_val_client_task,,,,,,,cycle6,31.0,0.0,632.0,1337.0,1.0,0.02266081871345029,0.04431736954967834,1368.0,0.6840000152587891
1,10,global_val_client_task,,,,,,,scatter_gather,676.0,1324.0,0.0,0.0,0.338,1.0,0.5052316890881914,676.0,0.33799999952316284
1,10,global_val_client_task,,,,,,,biclique,297.0,697.0,893.0,113.0,0.2987927565392354,0.724390243902439,0.4230769230769231,410.0,0.20499999821186066
1,14,global_val_client,0.6885173916816711,0.5725714564323425,0.004999999888241291,0.4935680433310765,0.31064067243914834,1000.0,,,,,,,,,,
1,14,global_val_client_task,,,,,,,cycle2,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14,global_val_client_task,,,,,,,cycle3,338.0,556.0,82.0,24.0,0.378076062639821,0.9337016574585635,0.5382165605095541,362.0,0.3619999885559082
1,14,global_val_client_task,,,,,,,cycle4,306.0,694.0,0.0,0.0,0.306,1.0,0.46860643185298617,306.0,0.3059999942779541
1,14,global_val_client_task,,,,,,,cycle5,0.0,0.0,699.0,301.0,0.0,0.0,0.0,301.0,0.3009999990463257
1,14,global_val_client_task,,,,,,,cycle6,0.0,0.0,621.0,379.0,0.0,0.0,0.0,379.0,0.3790000081062317
1,14,global_val_client_task,,,,,,,scatter_gather,576.0,424.0,0.0,0.0,0.576,1.0,0.730964467005076,576.0,0.5759999752044678
1,14,global_val_client_task,,,,,,,biclique,238.0,578.0,148.0,36.0,0.2916666666666667,0.8686131386861314,0.4366972477064221,274.0,0.27399998903274536
2,5,global_val_client,0.6888759732246399,0.5548571348190308,0.020666666328907013,0.36373536618567925,0.28591598684096836,1500.0,,,,,,,,,,
2,5,global_val_client_task,,,,,,,cycle2,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,global_val_client_task,,,,,,,cycle3,85.0,504.0,888.0,23.0,0.14431239388794567,0.7870370370370371,0.24390243902439024,108.0,0.07199999690055847
2,5,global_val_client_task,,,,,,,cycle4,341.0,1159.0,0.0,0.0,0.22733333333333333,1.0,0.3704508419337316,341.0,0.22733333706855774
2,5,global_val_client_task,,,,,,,cycle5,77.0,3.0,766.0,654.0,0.9625,0.10533515731874145,0.18988902589395806,731.0,0.4873333275318146
2,5,global_val_client_task,,,,,,,cycle6,100.0,0.0,438.0,962.0,1.0,0.09416195856873823,0.1721170395869191,1062.0,0.7080000042915344
2,5,global_val_client_task,,,,,,,scatter_gather,530.0,965.0,4.0,1.0,0.35451505016722407,0.9981167608286252,0.5231984205330701,531.0,0.3540000021457672
2,5,global_val_client_task,,,,,,,biclique,203.0,268.0,894.0,135.0,0.4309978768577495,0.6005917159763313,0.5018541409147096,338.0,0.2253333330154419
2,6,global_val_client,0.6870201826095581,0.6410714387893677,0.006500000134110451,0.17419884963023827,0.16848357938064867,2000.0,,,,,,,,,,
2,6,global_val_client_task,,,,,,,cycle2,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,global_val_client_task,,,,,,,cycle3,36.0,380.0,1572.0,12.0,0.08653846153846154,0.75,0.15517241379310343,48.0,0.024000000208616257
2,6,global_val_client_task,,,,,,,cycle4,122.0,1878.0,0.0,0.0,0.061,1.0,0.11498586239396796,122.0,0.061000000685453415
2,6,global_val_client_task,,,,,,,cycle5,37.0,9.0,1746.0,208.0,0.8043478260869565,0.1510204081632653,0.2542955326460481,245.0,0.12250000238418579
2,6,global_val_client_task,,,,,,,cycle6,54.0,0.0,1495.0,451.0,1.0,0.10693069306930693,0.19320214669051877,505.0,0.2524999976158142
2,6,global_val_client_task,,,,,,,scatter_gather,225.0,1766.0,9.0,0.0,0.11300853842290307,1.0,0.20306859205776173,225.0,0.11249999701976776
2,6,global_val_client_task,,,,,,,biclique,56.0,257.0,1623.0,64.0,0.17891373801916932,0.4666666666666667,0.25866050808314084,120.0,0.05999999865889549
2,9,global_val_client,0.6864021420478821,0.6507142782211304,0.006000000052154064,0.2001962708537782,0.1984719960797989,1000.0,,,,,,,,,,
2,9,global_val_client_task,,,,,,,cycle2,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9,global_val_client_task,,,,,,,cycle3,19.0,174.0,801.0,6.0,0.09844559585492228,0.76,0.17431192660550457,25.0,0.02500000037252903
2,9,global_val_client_task,,,,,,,cycle4,73.0,927.0,0.0,0.0,0.073,1.0,0.13606710158434296,73.0,0.0729999989271164
2,9,global_val_client_task,,,,,,,cycle5,23.0,5.0,862.0,110.0,0.8214285714285714,0.17293233082706766,0.28571428571428575,133.0,0.13300000131130219
2,9,global_val_client_task,,,,,,,cycle6,27.0,0.0,767.0,206.0,1.0,0.11587982832618025,0.2076923076923077,233.0,0.2329999953508377
2,9,global_val_client_task,,,,,,,scatter_gather,123.0,874.0,2.0,1.0,0.12337011033099297,0.9919354838709677,0.21944692239072255,124.0,0.12399999797344208
2,9,global_val_client_task,,,,,,,biclique,41.0,111.0,817.0,31.0,0.26973684210526316,0.5694444444444444,0.3660714285714286,72.0,0.07199999690055847
2,10,global_val_client,0.689235508441925,0.5561428666114807,0.01899999938905239,0.3411789652247668,0.26345539318586103,2000.0,,,,,,,,,,
2,10,global_val_client_task,,,,,,,cycle2,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10,global_val_client_task,,,,,,,cycle3,89.0,684.0,1200.0,27.0,0.11513583441138421,0.7672413793103449,0.20022497187851518,116.0,0.057999998331069946
2,10,global_val_client_task,,,,,,,cycle4,409.0,1591.0,0.0,0.0,0.2045,1.0,0.33955998339559984,409.0,0.2045000046491623
2,10,global_val_client_task,,,,,,,cycle5,82.0,4.0,1095.0,819.0,0.9534883720930233,0.09100998890122086,0.16616008105369806,901.0,0.4505000114440918
2,10,global_val_client_task,,,,,,,cycle6,121.0,0.0,632.0,1247.0,1.0,0.08845029239766082,0.16252518468770988,1368.0,0.6840000152587891
2,10,global_val_client_task,,,,,,,scatter_gather,676.0,1317.0,7.0,0.0,0.3391871550426493,1.0,0.5065567628325216,676.0,0.33799999952316284
2,10,global_val_client_task,,,,,,,biclique,232.0,347.0,1243.0,178.0,0.4006908462867012,0.5658536585365853,0.46916076845298277,410.0,0.20499999821186066
2,14,global_val_client,0.6868932843208313,0.6014285683631897,0.007000000216066837,0.4848596750369276,0.30415063121659863,1000.0,,,,,,,,,,
2,14,global_val_client_task,,,,,,,cycle2,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,14,global_val_client_task,,,,,,,cycle3,252.0,368.0,270.0,110.0,0.4064516129032258,0.6961325966850829,0.5132382892057026,362.0,0.3619999885559082
2,14,global_val_client_task,,,,,,,cycle4,306.0,694.0,0.0,0.0,0.306,1.0,0.46860643185298617,306.0,0.3059999942779541
2,14,global_val_client_task,,,,,,,cycle5,1.0,2.0,697.0,300.0,0.3333333333333333,0.0033222591362126247,0.006578947368421052,301.0,0.3009999990463257
