run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,train_epoch,train,,1,1.0,1.0153690402507782,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,train_epoch,train,,1,2.0,0.6758248801231385,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,train_epoch,train,,1,3.0,0.6085953178405762,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,val_epoch,val,,1,,,0.7214708709716797,0.7893,0.7020000219345093,0.3950617283950617,0.39124491810798645,0.39124491810798645,0.39124491810798645,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,val_epoch_task,val,cycle2,1,,,,,,,,,,2000,82.0,468.0,1450.0,0.0,0.14909090909090908,1.0,0.2594936788082123,0.2594936788082123,0.2594936788082123,82.0,0.04100000113248825
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,val_epoch_task,val,cycle3,1,,,,,,,,,,2000,126.0,424.0,1448.0,2.0,0.2290909090909091,0.984375,0.37168142199516296,0.37168142199516296,0.37168142199516296,128.0,0.06400000303983688
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,val_epoch_task,val,cycle4,1,,,,,,,,,,2000,152.0,404.0,1439.0,5.0,0.2733812949640288,0.9681528662420382,0.4263674318790436,0.4263674318790436,0.4263674318790436,157.0,0.07850000262260437
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,val_epoch_task,val,cycle5,1,,,,,,,,,,2000,167.0,374.0,1439.0,20.0,0.30868761552680224,0.893048128342246,0.45879122614860535,0.45879122614860535,0.45879122614860535,187.0,0.09350000321865082
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,val_epoch_task,val,cycle6,1,,,,,,,,,,2000,161.0,388.0,1429.0,22.0,0.29326047358834245,0.8797814207650273,0.4398907423019409,0.4398907423019409,0.4398907423019409,183.0,0.09149999916553497
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,train_epoch,train,,1,1.0,0.8974337482452392,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,train_epoch,train,,1,2.0,0.6691192498207092,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,train_epoch,train,,1,3.0,0.5667857761383057,,,,,,,,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,val_epoch,val,,1,,,0.7045859742164612,0.8536,0.5845000147819519,0.7226222053808261,0.621406614780426,0.621406614780426,0.621406614780426,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,val_epoch_task,val,cycle2,1,,,,,,,,,,2000,821.0,197.0,941.0,41.0,0.806483300589391,0.9524361948955916,0.873404324054718,0.873404324054718,0.873404324054718,862.0,0.4309999942779541
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,val_epoch_task,val,cycle3,1,,,,,,,,,,2000,557.0,126.0,1183.0,134.0,0.8155197657393851,0.8060781476121563,0.8107714653015137,0.8107714653015137,0.8107714653015137,691.0,0.34549999237060547
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,val_epoch_task,val,cycle4,1,,,,,,,,,,2000,304.0,274.0,1335.0,87.0,0.5259515570934256,0.7774936061381074,0.6274510025978088,0.6274510025978088,0.6274510025978088,391.0,0.19550000131130219
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,val_epoch_task,val,cycle5,1,,,,,,,,,,2000,169.0,262.0,1502.0,67.0,0.39211136890951276,0.7161016949152542,0.5067465901374817,0.5067465901374817,0.5067465901374817,236.0,0.11800000071525574
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,val_epoch_task,val,cycle6,1,,,,,,,,,,2000,56.0,204.0,1668.0,72.0,0.2153846153846154,0.4375,0.28865981101989746,0.28865981101989746,0.28865981101989746,128.0,0.06400000303983688
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,global_val_client,val,,1,,,2.243489559173584,0.9263,0.762499988079071,0.0,0.0,0.0,0.0,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,global_val_client_task,val,cycle2,1,,,,,,,,,,2000,0.0,0.0,1918.0,82.0,0.0,0.0,0.0,0.0,0.0,82.0,0.04100000113248825
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,global_val_client_task,val,cycle3,1,,,,,,,,,,2000,0.0,0.0,1872.0,128.0,0.0,0.0,0.0,0.0,0.0,128.0,0.06400000303983688
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,global_val_client_task,val,cycle4,1,,,,,,,,,,2000,0.0,0.0,1843.0,157.0,0.0,0.0,0.0,0.0,0.0,157.0,0.07850000262260437
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,global_val_client_task,val,cycle5,1,,,,,,,,,,2000,0.0,0.0,1813.0,187.0,0.0,0.0,0.0,0.0,0.0,187.0,0.09350000321865082
fedavg,fedavg,504|859,504|859,1,504,data_2000_3_11_chordal,global_val_client_task,val,cycle6,1,,,,,,,,,,2000,0.0,0.0,1817.0,183.0,0.0,0.0,0.0,0.0,0.0,183.0,0.09149999916553497
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client,val,,1,,,1.4022219076156617,0.7692,0.390500009059906,0.0,0.0,0.0,0.0,2000,,,,,,,,,,,
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle2,1,,,,,,,,,,2000,0.0,0.0,1138.0,862.0,0.0,0.0,0.0,0.0,0.0,862.0,0.4309999942779541
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle3,1,,,,,,,,,,2000,0.0,0.0,1309.0,691.0,0.0,0.0,0.0,0.0,0.0,691.0,0.34549999237060547
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle4,1,,,,,,,,,,2000,0.0,0.0,1609.0,391.0,0.0,0.0,0.0,0.0,0.0,391.0,0.19550000131130219
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle5,1,,,,,,,,,,2000,0.0,0.0,1764.0,236.0,0.0,0.0,0.0,0.0,0.0,236.0,0.11800000071525574
fedavg,fedavg,504|859,504|859,1,859,data_2000_4_1.5_chordal,global_val_client_task,val,cycle6,1,,,,,,,,,,2000,0.0,0.0,1872.0,128.0,0.0,0.0,0.0,0.0,0.0,128.0,0.06400000303983688
