run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,178,data_4200_4_3.5_chordal_rep02,train_epoch,train,,1,1.0,0.6355752686659495,,,,,,,,4200,,,,,,,,,,,
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,178,data_4200_4_3.5_chordal_rep02,val_epoch,val,,1,,,0.4682144520963941,0.8391904761904762,0.5595238208770752,0.764947449015104,0.7791925072669983,0.7791925072669983,0.7791925072669983,4200,,,,,,,,,,,
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,178,data_4200_4_3.5_chordal_rep02,val_epoch_task,val,cycle2,1,,,,,,,,,,4200,1036.0,70.0,3091.0,3.0,0.9367088607594937,0.9971126082771896,0.9659674167633057,0.9659674167633057,0.9659674167633057,1039.0,0.24738095700740814
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,178,data_4200_4_3.5_chordal_rep02,val_epoch_task,val,cycle3,1,,,,,,,,,,4200,1100.0,494.0,2578.0,28.0,0.6900878293601004,0.975177304964539,0.8082293272018433,0.8082293272018433,0.8082293272018433,1128.0,0.2685714364051819
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,178,data_4200_4_3.5_chordal_rep02,val_epoch_task,val,cycle4,1,,,,,,,,,,4200,1158.0,698.0,2239.0,105.0,0.6239224137931034,0.9168646080760094,0.7425457835197449,0.7425457835197449,0.7425457835197449,1263.0,0.30071428418159485
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,178,data_4200_4_3.5_chordal_rep02,val_epoch_task,val,cycle5,1,,,,,,,,,,4200,1161.0,799.0,2146.0,94.0,0.5923469387755103,0.9250996015936255,0.7222395539283752,0.7222395539283752,0.7222395539283752,1255.0,0.2988095283508301
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,178,data_4200_4_3.5_chordal_rep02,val_epoch_task,val,cycle6,1,,,,,,,,,,4200,1040.0,949.0,2074.0,137.0,0.5228758169934641,0.8836023789294817,0.6569804549217224,0.6569804549217224,0.6569804549217224,1177.0,0.2802380919456482
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,96,data_4000_4_3.5_chordal_rep00,train_epoch,train,,1,1.0,0.6696005089282989,,,,,,,,4000,,,,,,,,,,,
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,96,data_4000_4_3.5_chordal_rep00,val_epoch,val,,1,,,0.4456967029571533,0.84455,0.5830000042915344,0.7634482233888763,0.7755734920501709,0.7755734920501709,0.7755734920501709,4000,,,,,,,,,,,
fedprox,fedprox,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,2,96,data_4000_4_3.5_chordal_rep00,val_epoch_task,val,cycle2,1,,,,,,,,,,4000,957.0,54.0,2979.0,10.0,0.9465875370919882,0.9896587383660806,0.9676440954208374,0.9676440954208374,0.9676440954208374,967.0,0.24175000190734863
