subset_id,subset_clients,seed,round,cluster_id,members,member_indices,cluster_size,selected_members,selected_member_indices,selected_size,full_participation,born_round,cluster_age,mean_update_norm,max_update_norm,eps1,eps2,split_status,split_triggered,split_applied,cut_status,split_rejected_reason,cut_value,left_child_id,right_child_id,child_cluster_ids,left_size,right_size,smaller_child_size,larger_child_size,child_balance_ratio,left_members,right_members,singleton_side,singleton_graph_id,singleton_dataset_id,dtw_dist_mean,dtw_dist_max,all_dtw_n,all_dtw_min,all_dtw_mean,all_dtw_median,all_dtw_max,all_dtw_std,all_aff_n,all_aff_min,all_aff_mean,all_aff_median,all_aff_max,all_aff_std,left_dtw_n,left_dtw_min,left_dtw_mean,left_dtw_median,left_dtw_max,left_dtw_std,right_dtw_n,right_dtw_min,right_dtw_mean,right_dtw_median,right_dtw_max,right_dtw_std,cross_dtw_n,cross_dtw_min,cross_dtw_mean,cross_dtw_median,cross_dtw_max,cross_dtw_std,left_aff_n,left_aff_min,left_aff_mean,left_aff_median,left_aff_max,left_aff_std,right_aff_n,right_aff_min,right_aff_mean,right_aff_median,right_aff_max,right_aff_std,cross_aff_n,cross_aff_min,cross_aff_mean,cross_aff_median,cross_aff_max,cross_aff_std,selected_delta_norm_n,selected_delta_norm_min,selected_delta_norm_mean,selected_delta_norm_median,selected_delta_norm_max,selected_delta_norm_std,member_mean_dtw_text,member_mean_aff_text,member_sum_aff_text,member_max_dtw_text,member_max_dtw_partner_text,member_min_aff_partner_text,global_max_pair_dtw,global_max_pair_dtw_graph_i,global_max_pair_dtw_graph_j,global_max_pair_dtw_member_idx_i,global_max_pair_dtw_member_idx_j,global_min_pair_aff,global_min_pair_aff_graph_i,global_min_pair_aff_graph_j,global_min_pair_aff_member_idx_i,global_min_pair_aff_member_idx_j,peeled_sum_aff,peeled_max_dtw,peeled_max_dtw_partner_graph_id,peeled_in_global_max_pair,selected_grad_tails_text,applied_split_event_idx,pairwise_n_members,pairwise_logged_for_applied_split,pairwise_member_order_json,pairwise_histories_json,pairwise_dtw_json,pairwise_affinity_json,gate_cluster_size_ok,gate_can_form_two_children,gate_full_participation_ok,gate_warmup_ok,gate_history_ok,gate_mean_below_eps1,gate_max_above_eps2,history_len_prev_mean,history_len_prev_max,min_cluster_size,min_child_size
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,2,1,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,1,155.01611328125,163.46826171875,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.3103790283203,155.86786804199218,156.10488891601562,163.46826171875,6.116354683534901,,,,,,,,,,,,,,,,,,,,,178:163.4683|96:156.1066|17:148.3788|18:148.4655|171:163.0473|169:162.9035|91:155.6990|11:148.5752|192:163.1188|33:148.7147|111:156.1947|196:163.1983|2:148.3685|162:162.9913|82:156.2048|3:148.5882|153:155.9545|68:148.3104|219:162.9659|159:156.1032,,,0,,,,,1,1,1,0,0,,,0,0,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,2,2,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,2,154.87017822265625,163.5609588623047,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,147.7602081298828,155.65862121582032,155.73358154296875,163.5609588623047,6.175290243109443,,,,,,,,,,,,,,,,,,,,,"178:163.4683,163.0075|96:156.1066,155.7468|17:148.3788,148.5496|18:148.4655,148.3353|171:163.0473,162.5256|169:162.9035,163.3105|91:155.6990,155.5243|11:148.5752,148.4008|192:163.1188,163.0089|33:148.7147,148.0506|111:156.1947,155.4516|196:163.1983,162.8962|2:148.3685,148.0431|162:162.9913,163.5610|82:156.2048,156.0081|3:148.5882,147.7602|153:155.9545,155.7203|68:148.3104,148.4351|219:162.9659,162.4486|159:156.1032,156.3884",,,0,,,,,1,1,1,0,0,,,1,1,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,2,3,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,3,157.46206665039062,169.85133361816406,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.6614227294922,158.72696990966796,157.94135284423828,169.85133361816406,6.540523681337193,,,,,,,,,,,,,,,,,,,,,"178:163.4683,163.0075,166.3472|96:156.1066,155.7468,157.5091|17:148.3788,148.5496,150.8244|18:148.4655,148.3353,148.6614|171:163.0473,162.5256,164.9955|169:162.9035,163.3105,166.1822|91:155.6990,155.5243,159.6107|11:148.5752,148.4008,152.4837|192:163.1188,163.0089,165.0285|33:148.7147,148.0506,151.2369|111:156.1947,155.4516,157.2538|196:163.1983,162.8962,169.8513|2:148.3685,148.0431,149.3773|162:162.9913,163.5610,166.1213|82:156.2048,156.0081,157.9099|3:148.5882,147.7602,150.0950|153:155.9545,155.7203,157.9728|68:148.3104,148.4351,157.2302|219:162.9659,162.4486,166.1316|159:156.1032,156.3884,159.7165",,,0,,,,,1,1,1,0,0,,,2,2,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,2,4,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,4,160.77529907226562,183.6512451171875,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,150.08834838867188,163.37882232666016,162.40113067626953,183.6512451171875,8.854432604479113,,,,,,,,,,,,,,,,,,,,,"178:163.4683,163.0075,166.3472,171.3043|96:156.1066,155.7468,157.5091,160.1702|17:148.3788,148.5496,150.8244,152.6703|18:148.4655,148.3353,148.6614,157.1257|171:163.0473,162.5256,164.9955,166.6102|169:162.9035,163.3105,166.1822,170.2651|91:155.6990,155.5243,159.6107,158.6079|11:148.5752,148.4008,152.4837,151.6703|192:163.1188,163.0089,165.0285,173.1416|33:148.7147,148.0506,151.2369,159.3076|111:156.1947,155.4516,157.2538,170.4206|196:163.1983,162.8962,169.8513,175.2891|2:148.3685,148.0431,149.3773,150.0883|162:162.9913,163.5610,166.1213,166.1986|82:156.2048,156.0081,157.9099,157.8988|3:148.5882,147.7602,150.0950,153.0751|153:155.9545,155.7203,157.9728,169.2788|68:148.3104,148.4351,157.2302,156.1704|219:162.9659,162.4486,166.1316,183.6512|159:156.1032,156.3884,159.7165,164.6321",,,0,,,,,1,1,1,0,0,,,3,3,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,2,5,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,5,162.21389770507812,185.27610778808594,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,150.77096557617188,166.31915435791015,166.9450454711914,185.27610778808594,9.799091764676428,,,,,,,,,,,,,,,,,,,,,"178:163.4683,163.0075,166.3472,171.3043,175.1410|96:156.1066,155.7468,157.5091,160.1702,160.8446|17:148.3788,148.5496,150.8244,152.6703,152.4337|18:148.4655,148.3353,148.6614,157.1257,155.9655|171:163.0473,162.5256,164.9955,166.6102,168.6046|169:162.9035,163.3105,166.1822,170.2651,175.0255|91:155.6990,155.5243,159.6107,158.6079,162.1268|11:148.5752,148.4008,152.4837,151.6703,157.6904|192:163.1188,163.0089,165.0285,173.1416,185.2761|33:148.7147,148.0506,151.2369,159.3076,158.1197|111:156.1947,155.4516,157.2538,170.4206,169.1778|196:163.1983,162.8962,169.8513,175.2891,180.5751|2:148.3685,148.0431,149.3773,150.0883,150.7710|162:162.9913,163.5610,166.1213,166.1986,170.7004|82:156.2048,156.0081,157.9099,157.8988,160.0932|3:148.5882,147.7602,150.0950,153.0751,154.3972|153:155.9545,155.7203,157.9728,169.2788,171.3575|68:148.3104,148.4351,157.2302,156.1704,165.2855|219:162.9659,162.4486,166.1316,183.6512,180.2783|159:156.1032,156.3884,159.7165,164.6321,172.5191",,,0,,,,,1,1,1,0,0,,,4,4,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,2,6,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,6,164.3112335205078,195.98915100097656,155.01611328125,180.89126281738282,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,154.23220825195312,171.80753479003906,168.83485412597656,195.98915100097656,10.960678275012668,,,,,,,,,,,,,,,,,,,,,"178:163.0075,166.3472,171.3043,175.1410,187.8436|96:155.7468,157.5091,160.1702,160.8446,165.6098|17:148.5496,150.8244,152.6703,152.4337,154.5567|18:148.3353,148.6614,157.1257,155.9655,167.5463|171:162.5256,164.9955,166.6102,168.6046,168.4486|169:163.3105,166.1822,170.2651,175.0255,170.9606|91:155.5243,159.6107,158.6079,162.1268,165.5742|11:148.4008,152.4837,151.6703,157.6904,154.2322|192:163.0089,165.0285,173.1416,185.2761,180.2328|33:148.0506,151.2369,159.3076,158.1197,167.4717|111:155.4516,157.2538,170.4206,169.1778,173.5319|196:162.8962,169.8513,175.2891,180.5751,188.9920|2:148.0431,149.3773,150.0883,150.7710,159.1962|162:163.5610,166.1213,166.1986,170.7004,169.2211|82:156.0081,157.9099,157.8988,160.0932,165.0148|3:147.7602,150.0950,153.0751,154.3972,167.1081|153:155.7203,157.9728,169.2788,171.3575,184.1133|68:148.4351,157.2302,156.1704,165.2855,195.9892|219:162.4486,166.1316,183.6512,180.2783,180.2392|159:156.3884,159.7165,164.6321,172.5191,170.2686",,,0,,,,,1,1,1,1,1,False,True,5,5,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,2,7,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,7,167.9531707763672,211.34002685546875,155.62760162353516,184.46367645263672,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,156.49598693847656,178.46581497192383,171.9031982421875,211.34002685546875,18.106560895228665,,,,,,,,,,,,,,,,,,,,,"178:166.3472,171.3043,175.1410,187.8436,188.2401|96:157.5091,160.1702,160.8446,165.6098,170.6396|17:150.8244,152.6703,152.4337,154.5567,157.3630|18:148.6614,157.1257,155.9655,167.5463,159.9056|171:164.9955,166.6102,168.6046,168.4486,171.4033|169:166.1822,170.2651,175.0255,170.9606,172.4031|91:159.6107,158.6079,162.1268,165.5742,166.2273|11:152.4837,151.6703,157.6904,154.2322,156.4960|192:165.0285,173.1416,185.2761,180.2328,205.0340|33:151.2369,159.3076,158.1197,167.4717,195.1045|111:157.2538,170.4206,169.1778,173.5319,177.5022|196:169.8513,175.2891,180.5751,188.9920,198.8296|2:149.3773,150.0883,150.7710,159.1962,156.6466|162:166.1213,166.1986,170.7004,169.2211,167.9949|82:157.9099,157.8988,160.0932,165.0148,165.4224|3:150.0950,153.0751,154.3972,167.1081,157.0207|153:157.9728,169.2788,171.3575,184.1133,202.5794|68:157.2302,156.1704,165.2855,195.9892,187.6700|219:166.1316,183.6512,180.2783,180.2392,211.3400|159:159.7165,164.6321,172.5191,170.2686,201.4940",,,0,,,,,1,1,1,1,1,False,True,6,6,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,2,8,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,8,171.9456024169922,244.0217742919922,156.2390899658203,187.41871643066406,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,157.1578826904297,189.65588836669923,183.84371948242188,244.0217742919922,25.31821031835322,,,,,,,,,,,,,,,,,,,,,"178:171.3043,175.1410,187.8436,188.2401,184.7592|96:160.1702,160.8446,165.6098,170.6396,168.9779|17:152.6703,152.4337,154.5567,157.3630,190.6223|18:157.1257,155.9655,167.5463,159.9056,177.7113|171:166.6102,168.6046,168.4486,171.4033,184.2230|169:170.2651,175.0255,170.9606,172.4031,189.0866|91:158.6079,162.1268,165.5742,166.2273,179.7408|11:151.6703,157.6904,154.2322,156.4960,157.1579|192:173.1416,185.2761,180.2328,205.0340,215.3243|33:159.3076,158.1197,167.4717,195.1045,181.8927|111:170.4206,169.1778,173.5319,177.5022,183.4645|196:175.2891,180.5751,188.9920,198.8296,232.3189|2:150.0883,150.7710,159.1962,156.6466,160.5808|162:166.1986,170.7004,169.2211,167.9949,171.5730|82:157.8988,160.0932,165.0148,165.4224,165.9393|3:153.0751,154.3972,167.1081,157.0207,157.7365|153:169.2788,171.3575,184.1133,202.5794,244.0218|68:156.1704,165.2855,195.9892,187.6700,229.8351|219:183.6512,180.2783,180.2392,211.3400,222.9547|159:164.6321,172.5191,170.2686,201.4940,195.1973",,,0,,,,,1,1,1,1,1,False,True,7,7,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,2,9,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,9,169.55128479003906,290.20416259765625,156.85057830810547,194.9178466796875,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,165.96029663085938,198.69485168457032,185.0949935913086,290.20416259765625,32.184982647505485,,,,,,,,,,,,,,,,,,,,,"178:175.1410,187.8436,188.2401,184.7592,181.4440|96:160.8446,165.6098,170.6396,168.9779,169.8387|17:152.4337,154.5567,157.3630,190.6223,194.8700|18:155.9655,167.5463,159.9056,177.7113,175.7961|171:168.6046,168.4486,171.4033,184.2230,176.1235|169:175.0255,170.9606,172.4031,189.0866,171.5730|91:162.1268,165.5742,166.2273,179.7408,165.9603|11:157.6904,154.2322,156.4960,157.1579,171.8336|192:185.2761,180.2328,205.0340,215.3243,226.3527|33:158.1197,167.4717,195.1045,181.8927,227.3252|111:169.1778,173.5319,177.5022,183.4645,225.4760|196:180.5751,188.9920,198.8296,232.3189,199.2725|2:150.7710,159.1962,156.6466,160.5808,173.3907|162:170.7004,169.2211,167.9949,171.5730,181.6350|82:160.0932,165.0148,165.4224,165.9393,188.5550|3:154.3972,167.1081,157.0207,157.7365,167.5506|153:171.3575,184.1133,202.5794,244.0218,241.9886|68:165.2855,195.9892,187.6700,229.8351,290.2042|219:180.2783,180.2392,211.3400,222.9547,235.3142|159:172.5191,170.2686,201.4940,195.1973,209.3932",,,0,,,,,1,1,1,1,1,False,True,8,8,2,1
178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,2,10,0,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,10,163.6400146484375,266.1277160644531,157.46206665039062,205.19967651367188,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,161.4356231689453,191.87901916503907,181.65282440185547,266.1277160644531,27.781732612898473,,,,,,,,,,,,,,,,,,,,,"178:187.8436,188.2401,184.7592,181.4440,177.1803|96:165.6098,170.6396,168.9779,169.8387,170.8044|17:154.5567,157.3630,190.6223,194.8700,182.8725|18:167.5463,159.9056,177.7113,175.7961,176.3401|171:168.4486,171.4033,184.2230,176.1235,174.2559|169:170.9606,172.4031,189.0866,171.5730,172.3246|91:165.5742,166.2273,179.7408,165.9603,169.0912|11:154.2322,156.4960,157.1579,171.8336,161.4356|192:180.2328,205.0340,215.3243,226.3527,185.0188|33:167.4717,195.1045,181.8927,227.3252,188.7975|111:173.5319,177.5022,183.4645,225.4760,188.6596|196:188.9920,198.8296,232.3189,199.2725,235.3625|2:159.1962,156.6466,160.5808,173.3907,178.3176|162:169.2211,167.9949,171.5730,181.6350,187.1964|82:165.0148,165.4224,165.9393,188.5550,180.4332|3:167.1081,157.0207,157.7365,167.5506,168.9258|153:184.1133,202.5794,244.0218,241.9886,242.3982|68:195.9892,187.6700,229.8351,290.2042,204.5583|219:180.2392,211.3400,222.9547,235.3142,227.4801|159:170.2686,201.4940,195.1973,209.3932,266.1277",,,0,,,,,1,1,1,1,1,False,True,9,9,2,1
