run_type,algorithm,subset_id,subset_clients,seed,graph_id,dataset_id,phase,split,task,round,local_epoch,train_loss,eval_loss,pair_acc,subset_acc,micro_f1,macro_f1,macro_pos_f1,macro_minority_f1,num_nodes,tp,fp,tn,fn,precision,recall,f1,positive_f1,minority_f1,pos_cnt,pos_rate,num_active_clusters,active_cluster_ids,num_split_triggered,num_split_applied,num_singleton_cut_candidates
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,178,data_4200_4_3.5_chordal_rep02,train_epoch,train,,1,1.0,0.6592832665784019,,,,,,,,4200,,,,,,,,,,,,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,178,data_4200_4_3.5_chordal_rep02,val_epoch,val,,1,,,0.6139265457789104,0.8443333333333334,0.5540476441383362,0.7565715987787623,0.7643736004829407,0.7643736004829407,0.7643736004829407,4200,,,,,,,,,,,,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,178,data_4200_4_3.5_chordal_rep02,val_epoch_task,val,cycle2,1,,,,,,,,,,4200,1029.0,185.0,2976.0,10.0,0.8476112026359144,0.9903753609239654,0.9134487509727478,0.9134487509727478,0.9134487509727478,1039.0,0.24738095700740814,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,178,data_4200_4_3.5_chordal_rep02,val_epoch_task,val,cycle3,1,,,,,,,,,,4200,1003.0,434.0,2638.0,125.0,0.697981906750174,0.8891843971631206,0.782066285610199,0.782066285610199,0.782066285610199,1128.0,0.2685714364051819,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,178,data_4200_4_3.5_chordal_rep02,val_epoch_task,val,cycle4,1,,,,,,,,,,4200,1084.0,440.0,2497.0,179.0,0.7112860892388452,0.8582739509105305,0.777897298336029,0.777897298336029,0.777897298336029,1263.0,0.30071428418159485,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,178,data_4200_4_3.5_chordal_rep02,val_epoch_task,val,cycle5,1,,,,,,,,,,4200,1020.0,674.0,2271.0,235.0,0.602125147579693,0.8127490039840638,0.6917599439620972,0.6917599439620972,0.6917599439620972,1255.0,0.2988095283508301,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,178,data_4200_4_3.5_chordal_rep02,val_epoch_task,val,cycle6,1,,,,,,,,,,4200,944.0,754.0,2269.0,233.0,0.5559481743227326,0.8020390824129142,0.6566956639289856,0.6566956639289856,0.6566956639289856,1177.0,0.2802380919456482,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,96,data_4000_4_3.5_chordal_rep00,train_epoch,train,,1,1.0,0.7131200046539307,,,,,,,,4000,,,,,,,,,,,,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,96,data_4000_4_3.5_chordal_rep00,val_epoch,val,,1,,,0.6501049418449402,0.68035,0.43299999833106995,0.6211106501511291,0.620599627494812,0.620599627494812,0.620599627494812,4000,,,,,,,,,,,,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,96,data_4000_4_3.5_chordal_rep00,val_epoch_task,val,cycle2,1,,,,,,,,,,4000,956.0,1285.0,1748.0,11.0,0.42659526996876396,0.9886246122026887,0.5960099697113037,0.5960099697113037,0.5960099697113037,967.0,0.24175000190734863,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,96,data_4000_4_3.5_chordal_rep00,val_epoch_task,val,cycle3,1,,,,,,,,,,4000,1113.0,1251.0,1629.0,7.0,0.47081218274111675,0.99375,0.6389207243919373,0.6389207243919373,0.6389207243919373,1120.0,0.2800000011920929,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,96,data_4000_4_3.5_chordal_rep00,val_epoch_task,val,cycle4,1,,,,,,,,,,4000,1103.0,1163.0,1716.0,18.0,0.48676081200353044,0.983942908117752,0.6513139009475708,0.6513139009475708,0.6513139009475708,1121.0,0.28025001287460327,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,96,data_4000_4_3.5_chordal_rep00,val_epoch_task,val,cycle5,1,,,,,,,,,,4000,1091.0,1262.0,1636.0,11.0,0.46366340841478965,0.9900181488203267,0.6315484642982483,0.6315484642982483,0.6315484642982483,1102.0,0.27549999952316284,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,96,data_4000_4_3.5_chordal_rep00,val_epoch_task,val,cycle6,1,,,,,,,,,,4000,977.0,1375.0,1638.0,10.0,0.415391156462585,0.9898682877406282,0.5852051973342896,0.5852051973342896,0.5852051973342896,987.0,0.24674999713897705,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,19,data_3800_4_3.5_chordal_rep03,train_epoch,train,,1,1.0,0.7136203683050055,,,,,,,,3800,,,,,,,,,,,,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,19,data_3800_4_3.5_chordal_rep03,val_epoch,val,,1,,,0.5900010679897509,0.7392105263157894,0.464473694562912,0.6412280066613568,0.6413055658340454,0.6413055658340454,0.6413055658340454,3800,,,,,,,,,,,,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,19,data_3800_4_3.5_chordal_rep03,val_epoch_task,val,cycle2,1,,,,,,,,,,3800,920.0,847.0,2009.0,24.0,0.5206564799094511,0.9745762711864406,0.6787163019180298,0.6787163019180298,0.6787163019180298,944.0,0.2484210580587387,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,19,data_3800_4_3.5_chordal_rep03,val_epoch_task,val,cycle3,1,,,,,,,,,,3800,936.0,877.0,1929.0,58.0,0.5162713734142306,0.9416498993963782,0.6669041514396667,0.6669041514396667,0.6669041514396667,994.0,0.2615789473056793,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,19,data_3800_4_3.5_chordal_rep03,val_epoch_task,val,cycle4,1,,,,,,,,,,3800,919.0,820.0,1947.0,114.0,0.5284646348476135,0.8896418199419167,0.6630591154098511,0.6630591154098511,0.6630591154098511,1033.0,0.2718420922756195,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,19,data_3800_4_3.5_chordal_rep03,val_epoch_task,val,cycle5,1,,,,,,,,,,3800,844.0,927.0,1903.0,126.0,0.47656691134952006,0.8701030927835052,0.6158336400985718,0.6158336400985718,0.6158336400985718,970.0,0.25526314973831177,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,19,data_3800_4_3.5_chordal_rep03,val_epoch_task,val,cycle6,1,,,,,,,,,,3800,809.0,1062.0,1829.0,100.0,0.4323890967397114,0.88998899889989,0.5820143818855286,0.5820143818855286,0.5820143818855286,909.0,0.23921053111553192,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,176,data_4200_4_3.5_chordal_rep00,train_epoch,train,,1,1.0,0.6751435722623552,,,,,,,,4200,,,,,,,,,,,,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,176,data_4200_4_3.5_chordal_rep00,val_epoch,val,,1,,,0.5344496859822955,0.7945714285714286,0.5061904788017273,0.7117851416354891,0.7123066782951355,0.7123066782951355,0.7123066782951355,4200,,,,,,,,,,,,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,176,data_4200_4_3.5_chordal_rep00,val_epoch_task,val,cycle2,1,,,,,,,,,,4200,954.0,763.0,2478.0,5.0,0.5556202679091439,0.9947862356621481,0.7130045294761658,0.7130045294761658,0.7130045294761658,959.0,0.22833333909511566,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,176,data_4200_4_3.5_chordal_rep00,val_epoch_task,val,cycle3,1,,,,,,,,,,4200,1167.0,636.0,2369.0,28.0,0.6472545757071547,0.9765690376569037,0.7785189747810364,0.7785189747810364,0.7785189747810364,1195.0,0.2845238149166107,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,176,data_4200_4_3.5_chordal_rep00,val_epoch_task,val,cycle4,1,,,,,,,,,,4200,1163.0,694.0,2273.0,70.0,0.626278944534195,0.943227899432279,0.7527507543563843,0.7527507543563843,0.7527507543563843,1233.0,0.29357144236564636,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,176,data_4200_4_3.5_chordal_rep00,val_epoch_task,val,cycle5,1,,,,,,,,,,4200,1047.0,809.0,2149.0,195.0,0.5641163793103449,0.8429951690821256,0.6759199500083923,0.6759199500083923,0.6759199500083923,1242.0,0.29571428894996643,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,176,data_4200_4_3.5_chordal_rep00,val_epoch_task,val,cycle6,1,,,,,,,,,,4200,996.0,923.0,2090.0,191.0,0.5190203230849401,0.8390901432181971,0.6413393616676331,0.6413393616676331,0.6413393616676331,1187.0,0.28261905908584595,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,171,data_4200_4_2.5_chordal_rep03,train_epoch,train,,1,1.0,0.6892662605785188,,,,,,,,4200,,,,,,,,,,,,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,171,data_4200_4_2.5_chordal_rep03,val_epoch,val,,1,,,0.5902949405851818,0.7479047619047619,0.4692857265472412,0.6771951219512196,0.6743481159210205,0.6743481159210205,0.6743481159210205,4200,,,,,,,,,,,,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,171,data_4200_4_2.5_chordal_rep03,val_epoch_task,val,cycle2,1,,,,,,,,,,4200,1247.0,995.0,1857.0,101.0,0.556199821587868,0.9250741839762612,0.6947075724601746,0.6947075724601746,0.6947075724601746,1348.0,0.3209523856639862,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,171,data_4200_4_2.5_chordal_rep03,val_epoch_task,val,cycle3,1,,,,,,,,,,4200,1237.0,923.0,1985.0,55.0,0.5726851851851852,0.9574303405572755,0.716685950756073,0.716685950756073,0.716685950756073,1292.0,0.30761903524398804,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,171,data_4200_4_2.5_chordal_rep03,val_epoch_task,val,cycle4,1,,,,,,,,,,4200,1179.0,959.0,2013.0,49.0,0.5514499532273153,0.9600977198697068,0.7005347609519958,0.7005347609519958,0.7005347609519958,1228.0,0.2923809587955475,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,171,data_4200_4_2.5_chordal_rep03,val_epoch_task,val,cycle5,1,,,,,,,,,,4200,1023.0,952.0,2148.0,77.0,0.5179746835443038,0.93,0.6653658747673035,0.6653658747673035,0.6653658747673035,1100.0,0.261904776096344,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,171,data_4200_4_2.5_chordal_rep03,val_epoch_task,val,cycle6,1,,,,,,,,,,4200,867.0,1133.0,2150.0,50.0,0.4335,0.945474372955289,0.5944463014602661,0.5944463014602661,0.5944463014602661,917.0,0.21833333373069763,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,89,data_4000_4_2.5_chordal_rep01,train_epoch,train,,1,1.0,0.6761346735954284,,,,,,,,4000,,,,,,,,,,,,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,89,data_4000_4_2.5_chordal_rep01,val_epoch,val,,1,,,0.5049353766441346,0.8246,0.5440000295639038,0.7546166759932849,0.7514950037002563,0.7514950037002563,0.7514950037002563,4000,,,,,,,,,,,,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,89,data_4000_4_2.5_chordal_rep01,val_epoch_task,val,cycle2,1,,,,,,,,,,4000,1317.0,81.0,2589.0,13.0,0.9420600858369099,0.9902255639097745,0.9655424952507019,0.9655424952507019,0.9655424952507019,1330.0,0.33250001072883606,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,89,data_4000_4_2.5_chordal_rep01,val_epoch_task,val,cycle3,1,,,,,,,,,,4000,1280.0,609.0,2069.0,42.0,0.6776071995764955,0.9682299546142209,0.7972594499588013,0.7972594499588013,0.7972594499588013,1322.0,0.3305000066757202,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,89,data_4000_4_2.5_chordal_rep01,val_epoch_task,val,cycle4,1,,,,,,,,,,4000,1149.0,684.0,2071.0,96.0,0.6268412438625205,0.9228915662650602,0.7465886473655701,0.7465886473655701,0.7465886473655701,1245.0,0.3112500011920929,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,89,data_4000_4_2.5_chordal_rep01,val_epoch_task,val,cycle5,1,,,,,,,,,,4000,887.0,697.0,2228.0,188.0,0.5599747474747475,0.8251162790697675,0.6671680808067322,0.6671680808067322,0.6671680808067322,1075.0,0.26875001192092896,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,89,data_4000_4_2.5_chordal_rep01,val_epoch_task,val,cycle6,1,,,,,,,,,,4000,761.0,967.0,2141.0,131.0,0.44039351851851855,0.8531390134529148,0.5809159874916077,0.5809159874916077,0.5809159874916077,892.0,0.22300000488758087,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,90,data_4000_4_2.5_chordal_rep02,train_epoch,train,,1,1.0,0.6389087283611298,,,,,,,,4000,,,,,,,,,,,,,,,,
gcfl_plus,gcfl_plus,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,1,90,data_4000_4_2.5_chordal_rep02,val_epoch,val,,1,,,0.5187316236495971,0.84485,0.5792499780654907,0.7593267664624216,0.7521361708641052,0.7521361708641052,0.7521361708641052,4000,,,,,,,,,,,,,,,,
