subset_id,subset_clients,seed,round,cluster_id,members,member_indices,cluster_size,selected_members,selected_member_indices,selected_size,full_participation,born_round,cluster_age,mean_update_norm,max_update_norm,eps1,eps2,split_status,split_triggered,split_applied,cut_status,split_rejected_reason,cut_value,left_child_id,right_child_id,child_cluster_ids,left_size,right_size,smaller_child_size,larger_child_size,child_balance_ratio,left_members,right_members,singleton_side,singleton_graph_id,singleton_dataset_id,dtw_dist_mean,dtw_dist_max,all_dtw_n,all_dtw_min,all_dtw_mean,all_dtw_median,all_dtw_max,all_dtw_std,all_aff_n,all_aff_min,all_aff_mean,all_aff_median,all_aff_max,all_aff_std,left_dtw_n,left_dtw_min,left_dtw_mean,left_dtw_median,left_dtw_max,left_dtw_std,right_dtw_n,right_dtw_min,right_dtw_mean,right_dtw_median,right_dtw_max,right_dtw_std,cross_dtw_n,cross_dtw_min,cross_dtw_mean,cross_dtw_median,cross_dtw_max,cross_dtw_std,left_aff_n,left_aff_min,left_aff_mean,left_aff_median,left_aff_max,left_aff_std,right_aff_n,right_aff_min,right_aff_mean,right_aff_median,right_aff_max,right_aff_std,cross_aff_n,cross_aff_min,cross_aff_mean,cross_aff_median,cross_aff_max,cross_aff_std,selected_delta_norm_n,selected_delta_norm_min,selected_delta_norm_mean,selected_delta_norm_median,selected_delta_norm_max,selected_delta_norm_std,member_mean_dtw_text,member_mean_aff_text,selected_grad_tails_text,gate_cluster_size_ok,gate_can_form_two_children,gate_full_participation_ok,gate_warmup_ok,gate_history_ok,gate_mean_below_eps1,gate_max_above_eps2,history_len_prev_mean,history_len_prev_max,min_cluster_size,min_child_size
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,1,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,1,158.05947875976562,164.98118591308594,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.4777374267578,159.1190383911133,160.82373046875,164.98118591308594,5.411963691993544,,,87:160.7764|157:163.2286|149:164.9812|109:163.5481|143:164.0543|114:161.6516|117:156.1275|2:149.2701|88:148.4777|145:162.9173|166:160.8344|141:160.4950|65:150.9448|6:163.0183|131:160.8130|119:155.8312|96:163.0368|162:148.5124|107:163.2695|0:160.5924,1,1,1,0,0,,,0,0,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,2,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,2,158.21292114257812,165.59152221679688,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,148.51492309570312,159.3025230407715,161.24021911621094,165.59152221679688,5.532943745764255,,,"87:160.7764,161.1059|157:163.2286,164.2410|149:164.9812,163.5668|109:163.5481,165.5915|143:164.0543,163.7378|114:161.6516,162.2859|117:156.1275,157.3725|2:149.2701,148.7551|88:148.4777,148.9686|145:162.9173,162.9247|166:160.8344,160.7641|141:160.4950,161.3745|65:150.9448,150.4458|6:163.0183,162.7164|131:160.8130,160.1742|119:155.8312,155.8838|96:163.0368,163.5791|162:148.5124,148.5149|107:163.2695,163.6033|0:160.5924,160.4446",1,1,1,0,0,,,1,1,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,3,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,3,159.91575622558594,167.3302764892578,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,149.10516357421875,161.3036766052246,163.1014633178711,167.3302764892578,5.979574037240956,,,"87:160.7764,161.1059,164.9666|157:163.2286,164.2410,166.1808|149:164.9812,163.5668,164.7400|109:163.5481,165.5915,167.3303|143:164.0543,163.7378,166.5645|114:161.6516,162.2859,162.3150|117:156.1275,157.3725,156.8242|2:149.2701,148.7551,151.5170|88:148.4777,148.9686,149.1052|145:162.9173,162.9247,166.8677|166:160.8344,160.7641,162.7059|141:160.4950,161.3745,161.9903|65:150.9448,150.4458,152.1198|6:163.0183,162.7164,167.2212|131:160.8130,160.1742,163.1189|119:155.8312,155.8838,157.4607|96:163.0368,163.5791,166.2931|162:148.5124,148.5149,150.3019|107:163.2695,163.6033,165.3664|0:160.5924,160.4446,163.0840",1,1,1,0,0,,,2,2,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,4,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,4,165.68939208984375,180.6812286376953,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,155.52732849121094,168.71051635742188,169.32713317871094,180.6812286376953,7.676642575140906,,,"87:160.7764,161.1059,164.9666,166.3277|157:163.2286,164.2410,166.1808,173.2372|149:164.9812,163.5668,164.7400,180.6812|109:163.5481,165.5915,167.3303,178.5502|143:164.0543,163.7378,166.5645,172.6478|114:161.6516,162.2859,162.3150,166.0484|117:156.1275,157.3725,156.8242,166.1992|2:149.2701,148.7551,151.5170,155.5273|88:148.4777,148.9686,149.1052,158.5296|145:162.9173,162.9247,166.8677,170.1790|166:160.8344,160.7641,162.7059,168.4753|141:160.4950,161.3745,161.9903,171.0223|65:150.9448,150.4458,152.1198,157.1750|6:163.0183,162.7164,167.2212,170.3431|131:160.8130,160.1742,163.1189,163.7620|119:155.8312,155.8838,157.4607,161.4952|96:163.0368,163.5791,166.2931,180.5853|162:148.5124,148.5149,150.3019,159.6249|107:163.2695,163.6033,165.3664,173.1272|0:160.5924,160.4446,163.0840,180.6724",1,1,1,0,0,,,3,3,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,5,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,5,172.12925720214844,198.46055603027344,,,warmup,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,158.8565216064453,177.91398849487305,179.97162628173828,198.46055603027344,11.008506221810949,,,"87:160.7764,161.1059,164.9666,166.3277,187.1038|157:163.2286,164.2410,166.1808,173.2372,184.4462|149:164.9812,163.5668,164.7400,180.6812,183.1559|109:163.5481,165.5915,167.3303,178.5502,193.0721|143:164.0543,163.7378,166.5645,172.6478,179.0894|114:161.6516,162.2859,162.3150,166.0484,171.6908|117:156.1275,157.3725,156.8242,166.1992,170.0369|2:149.2701,148.7551,151.5170,155.5273,160.9222|88:148.4777,148.9686,149.1052,158.5296,168.5648|145:162.9173,162.9247,166.8677,170.1790,187.5281|166:160.8344,160.7641,162.7059,168.4753,174.5975|141:160.4950,161.3745,161.9903,171.0223,184.0299|65:150.9448,150.4458,152.1198,157.1750,158.8565|6:163.0183,162.7164,167.2212,170.3431,180.8539|131:160.8130,160.1742,163.1189,163.7620,169.0941|119:155.8312,155.8838,157.4607,161.4952,161.4768|96:163.0368,163.5791,166.2931,180.5853,198.4606|162:148.5124,148.5149,150.3019,159.6249,170.8655|107:163.2695,163.6033,165.3664,173.1272,192.4853|0:160.5924,160.4446,163.0840,180.6724,181.9494",1,1,1,0,0,,,4,4,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,6,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,6,179.98870849609375,245.95962524414062,158.89405517578126,172.6706573486328,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,158.04949951171875,191.5765037536621,188.36746215820312,245.95962524414062,21.90997470551639,,,"87:161.1059,164.9666,166.3277,187.1038,216.4670|157:164.2410,166.1808,173.2372,184.4462,228.2971|149:163.5668,164.7400,180.6812,183.1559,207.5793|109:165.5915,167.3303,178.5502,193.0721,245.9596|143:163.7378,166.5645,172.6478,179.0894,182.2036|114:162.2859,162.3150,166.0484,171.6908,184.2668|117:157.3725,156.8242,166.1992,170.0369,179.1668|2:148.7551,151.5170,155.5273,160.9222,193.4820|88:148.9686,149.1052,158.5296,168.5648,165.4484|145:162.9247,166.8677,170.1790,187.5281,187.4566|166:160.7641,162.7059,168.4753,174.5975,193.5250|141:161.3745,161.9903,171.0223,184.0299,182.8984|65:150.4458,152.1198,157.1750,158.8565,158.0495|6:162.7164,167.2212,170.3431,180.8539,169.8231|131:160.1742,163.1189,163.7620,169.0941,169.6757|119:155.8838,157.4607,161.4952,161.4768,165.1255|96:163.5791,166.2931,180.5853,198.4606,198.2062|162:148.5149,150.3019,159.6249,170.8655,189.2783|107:163.6033,165.3664,173.1272,192.4853,210.5349|0:160.4446,163.0840,180.6724,181.9494,204.0862",1,1,1,1,1,False,True,5,5,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,7,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,7,178.9629364013672,231.42665100097656,159.49004745483398,180.6812286376953,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,164.5970458984375,194.59402389526366,196.67190551757812,231.42665100097656,19.409720192782626,,,"87:164.9666,166.3277,187.1038,216.4670,231.4267|157:166.1808,173.2372,184.4462,228.2971,221.5402|149:164.7400,180.6812,183.1559,207.5793,214.2863|109:167.3303,178.5502,193.0721,245.9596,206.1474|143:166.5645,172.6478,179.0894,182.2036,179.9145|114:162.3150,166.0484,171.6908,184.2668,177.7513|117:156.8242,166.1992,170.0369,179.1668,186.5862|2:151.5170,155.5273,160.9222,193.4820,170.5312|88:149.1052,158.5296,168.5648,165.4484,173.8055|145:166.8677,170.1790,187.5281,187.4566,204.6607|166:162.7059,168.4753,174.5975,193.5250,196.4532|141:161.9903,171.0223,184.0299,182.8984,204.2175|65:152.1198,157.1750,158.8565,158.0495,164.5970|6:167.2212,170.3431,180.8539,169.8231,179.3351|131:163.1189,163.7620,169.0941,169.6757,175.7121|119:157.4607,161.4952,161.4768,165.1255,170.3187|96:166.2931,180.5853,198.4606,198.2062,215.6721|162:150.3019,159.6249,170.8655,189.2783,196.8907|107:165.3664,173.1272,192.4853,210.5349,217.7773|0:163.0840,180.6724,181.9494,204.0862,204.2569",1,1,1,1,1,False,True,6,6,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,8,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,8,184.40359497070312,336.568603515625,160.4931198120117,191.34882507324218,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,169.40969848632812,212.79333038330077,202.57872772216797,336.568603515625,35.932115102398065,,,"87:166.3277,187.1038,216.4670,231.4267,224.8716|157:173.2372,184.4462,228.2971,221.5402,252.4033|149:180.6812,183.1559,207.5793,214.2863,245.8207|109:178.5502,193.0721,245.9596,206.1474,336.5686|143:172.6478,179.0894,182.2036,179.9145,199.5940|114:166.0484,171.6908,184.2668,177.7513,189.1584|117:166.1992,170.0369,179.1668,186.5862,186.7522|2:155.5273,160.9222,193.4820,170.5312,196.4398|88:158.5296,168.5648,165.4484,173.8055,187.2993|145:170.1790,187.5281,187.4566,204.6607,215.6670|166:168.4753,174.5975,193.5250,196.4532,186.4715|141:171.0223,184.0299,182.8984,204.2175,205.5635|65:157.1750,158.8565,158.0495,164.5970,194.3504|6:170.3431,180.8539,169.8231,179.3351,184.9026|131:163.7620,169.0941,169.6757,175.7121,182.1863|119:161.4952,161.4768,165.1255,170.3187,169.4097|96:180.5853,198.4606,198.2062,215.6721,221.9323|162:159.6249,170.8655,189.2783,196.8907,216.9546|107:173.1272,192.4853,210.5349,217.7773,230.4989|0:180.6724,181.9494,204.0862,204.2569,229.0219",1,1,1,1,1,False,True,7,7,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,9,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,9,177.5371551513672,275.7276916503906,162.51389236450194,205.05377502441408,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,167.14088439941406,210.71373443603517,213.4203338623047,275.7276916503906,27.59244685327714,,,"87:187.1038,216.4670,231.4267,224.8716,238.1021|157:184.4462,228.2971,221.5402,252.4033,275.7277|149:183.1559,207.5793,214.2863,245.8207,241.4521|109:193.0721,245.9596,206.1474,336.5686,238.5529|143:179.0894,182.2036,179.9145,199.5940,184.6306|114:171.6908,184.2668,177.7513,189.1584,193.2054|117:170.0369,179.1668,186.5862,186.7522,236.0405|2:160.9222,193.4820,170.5312,196.4398,167.1409|88:168.5648,165.4484,173.8055,187.2993,204.4842|145:187.5281,187.4566,204.6607,215.6670,220.2703|166:174.5975,193.5250,196.4532,186.4715,209.5732|141:184.0299,182.8984,204.2175,205.5635,217.2675|65:158.8565,158.0495,164.5970,194.3504,172.7065|6:180.8539,169.8231,179.3351,184.9026,178.8129|131:169.0941,169.6757,175.7121,182.1863,187.1974|119:161.4768,165.1255,170.3187,169.4097,173.5844|96:198.4606,198.2062,215.6721,221.9323,218.3198|162:170.8655,189.2783,196.8907,216.9546,226.5820|107:192.4853,210.5349,217.7773,230.4989,221.7542|0:181.9494,204.0862,204.2569,229.0219,208.8703",1,1,1,1,1,False,True,8,8,2,1
87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0,10,0,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,87|157|149|109|143|114|117|2|88|145|166|141|65|6|131|119|96|162|107|0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19,20,1,1,10,172.57464599609375,291.5613098144531,164.5346649169922,224.83343200683592,eligible,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,20,172.94329833984375,215.10242385864257,205.75328826904297,291.5613098144531,30.716096710182924,,,"87:216.4670,231.4267,224.8716,238.1021,266.2946|157:228.2971,221.5402,252.4033,275.7277,254.2138|149:207.5793,214.2863,245.8207,241.4521,248.2697|109:245.9596,206.1474,336.5686,238.5529,291.5613|143:182.2036,179.9145,199.5940,184.6306,194.0279|114:184.2668,177.7513,189.1584,193.2054,209.9513|117:179.1668,186.5862,186.7522,236.0405,196.1200|2:193.4820,170.5312,196.4398,167.1409,237.8282|88:165.4484,173.8055,187.2993,204.4842,189.6567|145:187.4566,204.6607,215.6670,220.2703,201.5552|166:193.5250,196.4532,186.4715,209.5732,196.5359|141:182.8984,204.2175,205.5635,217.2675,188.4237|65:158.0495,164.5970,194.3504,172.7065,172.9433|6:169.8231,179.3351,184.9026,178.8129,186.2366|131:169.6757,175.7121,182.1863,187.1974,185.0316|119:165.1255,170.3187,169.4097,173.5844,194.6008|96:198.2062,215.6721,221.9323,218.3198,216.5222|162:189.2783,196.8907,216.9546,226.5820,222.9510|107:210.5349,217.7773,230.4989,221.7542,211.3083|0:204.0862,204.2569,229.0219,208.8703,238.0163",1,1,1,1,1,False,True,9,9,2,1
