split_type,client_id,num_nodes,num_edges
louvain_imbalance,0,25,0
louvain_imbalance,1,208,608
louvain_imbalance,2,568,1615
louvain_imbalance,3,516,1453
louvain_imbalance,4,596,1800
louvain_imbalance,5,122,334
louvain_imbalance,6,172,501
louvain_imbalance,7,176,491
louvain_imbalance,8,209,576
louvain_imbalance,9,126,361
louvain_imbalance,10,152,430
louvain_imbalance,11,253,824
louvain_imbalance,12,126,357
louvain_imbalance,13,204,604
louvain_imbalance,14,226,636
louvain_imbalance,15,523,1560
louvain_imbalance,16,252,737
louvain_imbalance,17,207,624
louvain_imbalance,18,199,575
louvain_imbalance,19,218,642
louvain_imbalance,20,259,717
louvain_imbalance,21,294,931
louvain_imbalance,22,288,914
louvain_imbalance,23,324,995
louvain_imbalance,24,224,653
louvain_imbalance,25,200,580
louvain_imbalance,26,227,672
louvain_imbalance,27,295,840
louvain_imbalance,28,217,674
louvain_imbalance,29,292,830
louvain_imbalance,30,271,812
louvain_imbalance,31,223,660
metis_imbalance,0,254,710
metis_imbalance,1,261,784
metis_imbalance,2,260,780
metis_imbalance,3,262,754
metis_imbalance,4,249,745
metis_imbalance,5,254,738
metis_imbalance,6,254,759
metis_imbalance,7,249,730
metis_imbalance,8,250,767
metis_imbalance,9,257,744
metis_imbalance,10,254,740
metis_imbalance,11,261,773
metis_imbalance,12,258,726
metis_imbalance,13,263,751
metis_imbalance,14,254,739
metis_imbalance,15,254,713
metis_imbalance,16,254,715
metis_imbalance,17,248,666
metis_imbalance,18,262,754
metis_imbalance,19,255,726
metis_imbalance,20,261,730
metis_imbalance,21,249,720
metis_imbalance,22,250,741
metis_imbalance,23,255,803
metis_imbalance,24,257,742
metis_imbalance,25,252,774
metis_imbalance,26,251,716
metis_imbalance,27,263,801
metis_imbalance,28,260,776
metis_imbalance,29,261,784
metis_imbalance,30,262,784
metis_imbalance,31,258,754
louvain_equal,0,324,995
louvain_equal,1,323,969
louvain_equal,2,305,854
louvain_equal,3,295,840
louvain_equal,4,294,859
louvain_equal,5,294,931
louvain_equal,6,292,830
louvain_equal,7,291,880
louvain_equal,8,288,914
louvain_equal,9,271,812
louvain_equal,10,263,761
louvain_equal,11,259,717
louvain_equal,12,253,824
louvain_equal,13,252,737
louvain_equal,14,227,672
louvain_equal,15,226,636
louvain_equal,16,224,653
louvain_equal,17,223,660
louvain_equal,18,222,594
louvain_equal,19,218,642
louvain_equal,20,217,674
louvain_equal,21,209,576
louvain_equal,22,208,608
louvain_equal,23,207,624
louvain_equal,24,207,604
louvain_equal,25,207,580
louvain_equal,26,207,591
louvain_equal,27,207,575
louvain_equal,28,298,825
louvain_equal,29,298,862
louvain_equal,30,291,834
louvain_equal,31,292,862
metis_equal,0,263,801
metis_equal,1,263,751
metis_equal,2,262,754
metis_equal,3,262,784
metis_equal,4,262,754
metis_equal,5,261,773
metis_equal,6,261,784
metis_equal,7,261,730
metis_equal,8,261,784
metis_equal,9,260,776
metis_equal,10,260,780
metis_equal,11,258,726
metis_equal,12,258,754
metis_equal,13,257,742
metis_equal,14,257,744
metis_equal,15,255,803
metis_equal,16,255,726
metis_equal,17,254,740
metis_equal,18,254,715
metis_equal,19,254,759
metis_equal,20,254,710
metis_equal,21,254,713
metis_equal,22,254,738
metis_equal,23,254,739
metis_equal,24,252,774
metis_equal,25,251,716
metis_equal,26,250,741
metis_equal,27,250,767
metis_equal,28,249,730
