Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 6, 'neighbors_per_hop': [15, 15, 10, 10, 5, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (10694, 2) (dtype=torch.int64) | rev edge_attr: (10716, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 0] Epoch 001 | train 0.4085 | val 0.2858 | val macro-minF1 83.02%
[seed 0] Epoch 002 | train 0.2258 | val 0.1891 | val macro-minF1 87.82%
[seed 0] Epoch 003 | train 0.1937 | val 0.1851 | val macro-minF1 87.51%
[seed 0] Epoch 004 | train 0.1737 | val 0.1611 | val macro-minF1 89.05%
[seed 0] Epoch 005 | train 0.1523 | val 0.1400 | val macro-minF1 90.88%
[seed 0] Epoch 006 | train 0.1400 | val 0.1323 | val macro-minF1 90.55%
[seed 0] Epoch 007 | train 0.1323 | val 0.1229 | val macro-minF1 91.41%
[seed 0] Epoch 008 | train 0.1185 | val 0.1062 | val macro-minF1 92.75%
[seed 0] Epoch 009 | train 0.1027 | val 0.0904 | val macro-minF1 92.83%
[seed 0] Epoch 010 | train 0.0977 | val 0.0919 | val macro-minF1 92.08%
[seed 0] Epoch 011 | train 0.0949 | val 0.0848 | val macro-minF1 93.02%
[seed 0] Epoch 012 | train 0.0878 | val 0.0766 | val macro-minF1 93.47%
[seed 0] Epoch 013 | train 0.0877 | val 0.0907 | val macro-minF1 93.03%
[seed 0] Epoch 014 | train 0.0850 | val 0.0711 | val macro-minF1 94.23%
[seed 0] Epoch 015 | train 0.0813 | val 0.0851 | val macro-minF1 93.60%
[seed 0] Epoch 016 | train 0.0777 | val 0.0746 | val macro-minF1 92.91%
[seed 0] Epoch 017 | train 0.0796 | val 0.0727 | val macro-minF1 93.23%
[seed 0] Epoch 018 | train 0.0770 | val 0.0799 | val macro-minF1 93.63%
[seed 0] Epoch 019 | train 0.0777 | val 0.0713 | val macro-minF1 93.56%
[seed 0] Epoch 020 | train 0.0759 | val 0.0814 | val macro-minF1 93.78%
[seed 0] Epoch 021 | train 0.0779 | val 0.0800 | val macro-minF1 93.35%
[seed 0] Epoch 022 | train 0.0786 | val 0.0695 | val macro-minF1 94.21%
[seed 0] Epoch 023 | train 0.0751 | val 0.0702 | val macro-minF1 93.89%
[seed 0] Epoch 024 | train 0.0751 | val 0.0752 | val macro-minF1 94.03%
[seed 0] Epoch 025 | train 0.0725 | val 0.0686 | val macro-minF1 94.03%
[seed 0] Epoch 026 | train 0.0710 | val 0.0693 | val macro-minF1 93.37%
[seed 0] Epoch 027 | train 0.0714 | val 0.0714 | val macro-minF1 93.21%
[seed 0] Epoch 028 | train 0.0681 | val 0.0705 | val macro-minF1 93.58%
[seed 0] Epoch 029 | train 0.0757 | val 0.0711 | val macro-minF1 93.30%
[seed 0] Epoch 030 | train 0.0723 | val 0.0653 | val macro-minF1 94.14%
[seed 0] Epoch 031 | train 0.0705 | val 0.0695 | val macro-minF1 94.43%
[seed 0] Epoch 032 | train 0.0687 | val 0.0652 | val macro-minF1 94.22%
[seed 0] Epoch 033 | train 0.0705 | val 0.0650 | val macro-minF1 94.24%
[seed 0] Epoch 034 | train 0.0713 | val 0.0742 | val macro-minF1 94.01%
[seed 0] Epoch 035 | train 0.0675 | val 0.0822 | val macro-minF1 93.23%
[seed 0] Epoch 036 | train 0.0690 | val 0.0610 | val macro-minF1 94.35%
[seed 0] Epoch 037 | train 0.0682 | val 0.0677 | val macro-minF1 94.29%
[seed 0] Epoch 038 | train 0.0694 | val 0.0619 | val macro-minF1 94.51%
[seed 0] Epoch 039 | train 0.0673 | val 0.0623 | val macro-minF1 94.18%
[seed 0] Epoch 040 | train 0.0653 | val 0.0702 | val macro-minF1 93.59%
[seed 0] Epoch 041 | train 0.0666 | val 0.0639 | val macro-minF1 93.78%
[seed 0] Epoch 042 | train 0.0690 | val 0.0619 | val macro-minF1 94.61%
[seed 0] Epoch 043 | train 0.0668 | val 0.0619 | val macro-minF1 94.71%
[seed 0] Epoch 044 | train 0.0665 | val 0.0997 | val macro-minF1 92.02%
[seed 0] Epoch 045 | train 0.0673 | val 0.0633 | val macro-minF1 94.41%
[seed 0] Epoch 046 | train 0.0680 | val 0.0659 | val macro-minF1 94.46%
[seed 0] Epoch 047 | train 0.0662 | val 0.0620 | val macro-minF1 94.27%
[seed 0] Epoch 048 | train 0.0637 | val 0.0595 | val macro-minF1 94.17%
[seed 0] Epoch 049 | train 0.0641 | val 0.0633 | val macro-minF1 94.25%
[seed 0] Epoch 050 | train 0.0667 | val 0.0622 | val macro-minF1 94.56%
[seed 0] Epoch 051 | train 0.0642 | val 0.0670 | val macro-minF1 93.88%
[seed 0] Epoch 052 | train 0.0653 | val 0.0648 | val macro-minF1 93.79%
[seed 0] Epoch 053 | train 0.0692 | val 0.0622 | val macro-minF1 94.35%
[seed 0] Epoch 054 | train 0.0656 | val 0.0618 | val macro-minF1 94.48%
[seed 0] Epoch 055 | train 0.0633 | val 0.0617 | val macro-minF1 94.39%
[seed 0] Epoch 056 | train 0.0642 | val 0.0650 | val macro-minF1 94.30%
[seed 0] Epoch 057 | train 0.0637 | val 0.0609 | val macro-minF1 94.04%
[seed 0] Epoch 058 | train 0.0644 | val 0.0615 | val macro-minF1 94.00%
[seed 0] Epoch 059 | train 0.0610 | val 0.0621 | val macro-minF1 94.75%
[seed 0] Epoch 060 | train 0.0616 | val 0.0625 | val macro-minF1 93.80%
[seed 0] Epoch 061 | train 0.0615 | val 0.0634 | val macro-minF1 94.27%
[seed 0] Epoch 062 | train 0.0631 | val 0.0671 | val macro-minF1 94.16%
[seed 0] Epoch 063 | train 0.0604 | val 0.0615 | val macro-minF1 94.86%
[seed 0] Epoch 064 | train 0.0633 | val 0.0633 | val macro-minF1 94.52%
[seed 0] Epoch 065 | train 0.0660 | val 0.0592 | val macro-minF1 94.49%
[seed 0] Epoch 066 | train 0.0624 | val 0.0596 | val macro-minF1 93.80%
[seed 0] Epoch 067 | train 0.0613 | val 0.0596 | val macro-minF1 94.88%
[seed 0] Epoch 068 | train 0.0603 | val 0.0633 | val macro-minF1 94.64%
[seed 0] Epoch 069 | train 0.0632 | val 0.0653 | val macro-minF1 94.42%
[seed 0] Epoch 070 | train 0.0615 | val 0.0611 | val macro-minF1 94.82%
[seed 0] Epoch 071 | train 0.0605 | val 0.0616 | val macro-minF1 94.43%
[seed 0] Epoch 072 | train 0.0618 | val 0.0617 | val macro-minF1 94.37%
