Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 6, 'neighbors_per_hop': [15, 15, 10, 10, 5, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (10694, 2) (dtype=torch.int64) | rev edge_attr: (10716, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 0] Epoch 001 | train 0.4125 | val 0.2587 | val macro-minF1 84.32%
[seed 0] Epoch 002 | train 0.2365 | val 0.2093 | val macro-minF1 87.15%
[seed 0] Epoch 003 | train 0.1957 | val 0.1852 | val macro-minF1 87.50%
[seed 0] Epoch 004 | train 0.1763 | val 0.1496 | val macro-minF1 89.52%
[seed 0] Epoch 005 | train 0.1488 | val 0.1464 | val macro-minF1 90.75%
[seed 0] Epoch 006 | train 0.1418 | val 0.1339 | val macro-minF1 90.60%
[seed 0] Epoch 007 | train 0.1371 | val 0.1290 | val macro-minF1 90.70%
[seed 0] Epoch 008 | train 0.1340 | val 0.1237 | val macro-minF1 91.51%
[seed 0] Epoch 009 | train 0.1276 | val 0.1270 | val macro-minF1 90.60%
[seed 0] Epoch 010 | train 0.1273 | val 0.1189 | val macro-minF1 90.84%
[seed 0] Epoch 011 | train 0.1137 | val 0.1063 | val macro-minF1 91.93%
[seed 0] Epoch 012 | train 0.0967 | val 0.0792 | val macro-minF1 93.70%
[seed 0] Epoch 013 | train 0.0863 | val 0.0918 | val macro-minF1 93.02%
[seed 0] Epoch 014 | train 0.0887 | val 0.0755 | val macro-minF1 93.94%
[seed 0] Epoch 015 | train 0.0836 | val 0.0755 | val macro-minF1 93.45%
[seed 0] Epoch 016 | train 0.0831 | val 0.0772 | val macro-minF1 92.86%
[seed 0] Epoch 017 | train 0.0810 | val 0.0676 | val macro-minF1 93.90%
[seed 0] Epoch 018 | train 0.0780 | val 0.0834 | val macro-minF1 93.37%
[seed 0] Epoch 019 | train 0.0788 | val 0.0746 | val macro-minF1 93.80%
[seed 0] Epoch 020 | train 0.0758 | val 0.0756 | val macro-minF1 94.04%
[seed 0] Epoch 021 | train 0.0774 | val 0.0724 | val macro-minF1 94.19%
[seed 0] Epoch 022 | train 0.0775 | val 0.0730 | val macro-minF1 93.95%
[seed 0] Epoch 023 | train 0.0773 | val 0.0706 | val macro-minF1 93.84%
[seed 0] Epoch 024 | train 0.0767 | val 0.0724 | val macro-minF1 94.06%
[seed 0] Epoch 025 | train 0.0739 | val 0.0719 | val macro-minF1 93.92%
[seed 0] Epoch 026 | train 0.0731 | val 0.0698 | val macro-minF1 92.98%
[seed 0] Epoch 027 | train 0.0756 | val 0.0749 | val macro-minF1 93.26%
[seed 0] Epoch 028 | train 0.0707 | val 0.0696 | val macro-minF1 94.06%
[seed 0] Epoch 029 | train 0.0727 | val 0.0658 | val macro-minF1 93.56%
[seed 0] Epoch 030 | train 0.0719 | val 0.0671 | val macro-minF1 94.58%
[seed 0] Epoch 031 | train 0.0698 | val 0.0651 | val macro-minF1 94.57%
[seed 0] Epoch 032 | train 0.0709 | val 0.0646 | val macro-minF1 94.28%
[seed 0] Epoch 033 | train 0.0714 | val 0.0746 | val macro-minF1 94.06%
[seed 0] Epoch 034 | train 0.0728 | val 0.0671 | val macro-minF1 94.29%
[seed 0] Epoch 035 | train 0.0711 | val 0.0699 | val macro-minF1 93.70%
[seed 0] Epoch 036 | train 0.0702 | val 0.0653 | val macro-minF1 94.11%
[seed 0] Epoch 037 | train 0.0693 | val 0.0663 | val macro-minF1 94.02%
[seed 0] Epoch 038 | train 0.0689 | val 0.0681 | val macro-minF1 94.25%
[seed 0] Epoch 039 | train 0.0696 | val 0.0700 | val macro-minF1 93.86%
[seed 0] Epoch 040 | train 0.0690 | val 0.0678 | val macro-minF1 93.35%
[seed 0] Epoch 041 | train 0.0684 | val 0.0630 | val macro-minF1 93.79%
[seed 0] Epoch 042 | train 0.0679 | val 0.0685 | val macro-minF1 94.46%
[seed 0] Epoch 043 | train 0.0682 | val 0.0654 | val macro-minF1 94.50%
[seed 0] Epoch 044 | train 0.0687 | val 0.0672 | val macro-minF1 94.05%
[seed 0] Epoch 045 | train 0.0674 | val 0.0650 | val macro-minF1 94.35%
[seed 0] Epoch 046 | train 0.0683 | val 0.0825 | val macro-minF1 93.78%
[seed 0] Epoch 047 | train 0.0694 | val 0.0673 | val macro-minF1 94.31%
[seed 0] Epoch 048 | train 0.0658 | val 0.0636 | val macro-minF1 93.69%
[seed 0] Epoch 049 | train 0.0650 | val 0.0668 | val macro-minF1 93.70%
[seed 0] Epoch 050 | train 0.0683 | val 0.0666 | val macro-minF1 94.22%
[seed 0] Epoch 051 | train 0.0671 | val 0.0639 | val macro-minF1 94.05%
[seed 0] Epoch 052 | train 0.0665 | val 0.0613 | val macro-minF1 93.94%
[seed 0] Epoch 053 | train 0.0658 | val 0.0616 | val macro-minF1 94.48%
[seed 0] Epoch 054 | train 0.0652 | val 0.0634 | val macro-minF1 94.39%
[seed 0] Epoch 055 | train 0.0642 | val 0.0628 | val macro-minF1 94.39%
[seed 0] Epoch 056 | train 0.0645 | val 0.0634 | val macro-minF1 93.77%
[seed 0] Epoch 057 | train 0.0669 | val 0.0621 | val macro-minF1 94.37%
[seed 0] Epoch 058 | train 0.0660 | val 0.0608 | val macro-minF1 94.25%
[seed 0] Epoch 059 | train 0.0643 | val 0.0647 | val macro-minF1 94.39%
