Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 2, 'neighbors_per_hop': [15, 10], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (695, 2) (dtype=torch.int64) | rev edge_attr: (737, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 0] Epoch 001 | train 0.4136 | val 0.3567 | val macro-minF1 78.50%
[seed 0] Epoch 002 | train 0.3529 | val 0.3580 | val macro-minF1 78.47%
[seed 0] Epoch 003 | train 0.3435 | val 0.3367 | val macro-minF1 78.58%
[seed 0] Epoch 004 | train 0.3080 | val 0.2815 | val macro-minF1 82.51%
[seed 0] Epoch 005 | train 0.2727 | val 0.2654 | val macro-minF1 83.23%
[seed 0] Epoch 006 | train 0.2681 | val 0.2632 | val macro-minF1 83.20%
[seed 0] Epoch 007 | train 0.2646 | val 0.2609 | val macro-minF1 83.48%
[seed 0] Epoch 008 | train 0.2629 | val 0.2603 | val macro-minF1 83.44%
[seed 0] Epoch 009 | train 0.2596 | val 0.2557 | val macro-minF1 83.84%
[seed 0] Epoch 010 | train 0.2607 | val 0.2562 | val macro-minF1 83.86%
[seed 0] Epoch 011 | train 0.2598 | val 0.2603 | val macro-minF1 83.13%
[seed 0] Epoch 012 | train 0.2580 | val 0.2753 | val macro-minF1 81.38%
[seed 0] Epoch 013 | train 0.2572 | val 0.2620 | val macro-minF1 83.70%
[seed 0] Epoch 014 | train 0.2564 | val 0.2558 | val macro-minF1 83.96%
[seed 0] Epoch 015 | train 0.2551 | val 0.2640 | val macro-minF1 83.16%
