Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 2, 'neighbors_per_hop': [15, 10], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': None}
Using unweighted BCEWithLogitsLoss.
[PORT] fwd edge_attr: (695, 2) (dtype=torch.int64) | rev edge_attr: (737, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 0] Epoch 001 | train 0.3205 | val 0.2834 | val macro-minF1 71.28%
[seed 0] Epoch 002 | train 0.2723 | val 0.2635 | val macro-minF1 73.70%
[seed 0] Epoch 003 | train 0.2641 | val 0.2682 | val macro-minF1 75.05%
[seed 0] Epoch 004 | train 0.2624 | val 0.2790 | val macro-minF1 69.47%
[seed 0] Epoch 005 | train 0.2606 | val 0.2585 | val macro-minF1 75.60%
[seed 0] Epoch 006 | train 0.2585 | val 0.2578 | val macro-minF1 76.38%
[seed 0] Epoch 007 | train 0.2578 | val 0.2556 | val macro-minF1 78.62%
[seed 0] Epoch 008 | train 0.2556 | val 0.2546 | val macro-minF1 75.68%
[seed 0] Epoch 009 | train 0.2546 | val 0.2558 | val macro-minF1 74.05%
[seed 0] Epoch 010 | train 0.2546 | val 0.2535 | val macro-minF1 76.00%
[seed 0] Epoch 011 | train 0.2542 | val 0.2549 | val macro-minF1 76.50%
[seed 0] Epoch 012 | train 0.2526 | val 0.2890 | val macro-minF1 71.36%
[seed 0] Epoch 013 | train 0.2516 | val 0.2546 | val macro-minF1 76.36%
[seed 0] Epoch 014 | train 0.2521 | val 0.2550 | val macro-minF1 74.70%
[seed 0] Epoch 015 | train 0.2511 | val 0.2511 | val macro-minF1 75.16%
[seed 0] Epoch 016 | train 0.2510 | val 0.2566 | val macro-minF1 76.51%
[seed 0] Epoch 017 | train 0.2502 | val 0.2548 | val macro-minF1 77.65%
[seed 0] Epoch 018 | train 0.2502 | val 0.2516 | val macro-minF1 76.40%
[seed 0] Epoch 019 | train 0.2490 | val 0.2630 | val macro-minF1 74.53%
[seed 0] Epoch 020 | train 0.2501 | val 0.2533 | val macro-minF1 74.33%
[seed 0] Epoch 021 | train 0.2491 | val 0.2592 | val macro-minF1 73.55%
[seed 0] Epoch 022 | train 0.2492 | val 0.2514 | val macro-minF1 76.75%
[seed 0] Epoch 023 | train 0.2487 | val 0.2541 | val macro-minF1 75.86%
[seed 0] Epoch 024 | train 0.2475 | val 0.2506 | val macro-minF1 75.03%
[seed 0] Epoch 025 | train 0.2475 | val 0.2502 | val macro-minF1 76.17%
[seed 0] Epoch 026 | train 0.2474 | val 0.2528 | val macro-minF1 76.97%
[seed 0] Epoch 027 | train 0.2471 | val 0.2534 | val macro-minF1 75.20%
[seed 0] Epoch 028 | train 0.2470 | val 0.2530 | val macro-minF1 76.43%
[seed 0] Epoch 029 | train 0.2467 | val 0.2492 | val macro-minF1 76.35%
[seed 0] Epoch 030 | train 0.2463 | val 0.2528 | val macro-minF1 73.76%
[seed 0] Epoch 031 | train 0.2465 | val 0.2480 | val macro-minF1 76.74%
[seed 0] Epoch 032 | train 0.2468 | val 0.2637 | val macro-minF1 73.36%
[seed 0] Epoch 033 | train 0.2457 | val 0.2528 | val macro-minF1 76.80%
[seed 0] Epoch 034 | train 0.2463 | val 0.2533 | val macro-minF1 75.43%
[seed 0] Epoch 035 | train 0.2454 | val 0.2490 | val macro-minF1 77.01%
[seed 0] Epoch 036 | train 0.2456 | val 0.2567 | val macro-minF1 72.64%
[seed 0] Epoch 037 | train 0.2447 | val 0.2511 | val macro-minF1 77.76%
[seed 0] Epoch 038 | train 0.2442 | val 0.2494 | val macro-minF1 75.10%
[seed 0] Epoch 039 | train 0.2443 | val 0.2500 | val macro-minF1 74.96%
[seed 0] Epoch 040 | train 0.2441 | val 0.2501 | val macro-minF1 77.24%
[seed 0] Epoch 041 | train 0.2444 | val 0.2518 | val macro-minF1 75.00%
[seed 0] Epoch 042 | train 0.2440 | val 0.2540 | val macro-minF1 78.25%
[seed 0] Epoch 043 | train 0.2439 | val 0.2526 | val macro-minF1 76.60%
[seed 0] Epoch 044 | train 0.2441 | val 0.2492 | val macro-minF1 76.32%
[seed 0] Epoch 045 | train 0.2430 | val 0.2489 | val macro-minF1 77.29%
[seed 0] Epoch 046 | train 0.2428 | val 0.2518 | val macro-minF1 75.31%
[seed 0] Epoch 047 | train 0.2425 | val 0.2498 | val macro-minF1 76.45%
[seed 0] Epoch 048 | train 0.2417 | val 0.2497 | val macro-minF1 76.07%
[seed 0] Epoch 049 | train 0.2414 | val 0.2504 | val macro-minF1 77.59%
[seed 0] Epoch 050 | train 0.2422 | val 0.2516 | val macro-minF1 77.21%
[seed 0] Epoch 051 | train 0.2421 | val 0.2499 | val macro-minF1 75.52%
[seed 0] Epoch 052 | train 0.2414 | val 0.2516 | val macro-minF1 78.02%
[seed 0] Epoch 053 | train 0.2410 | val 0.2610 | val macro-minF1 78.26%
[seed 0] Epoch 054 | train 0.2412 | val 0.2496 | val macro-minF1 77.63%
[seed 0] Epoch 055 | train 0.2411 | val 0.2506 | val macro-minF1 76.05%
[seed 0] Epoch 056 | train 0.2403 | val 0.2525 | val macro-minF1 77.24%
[seed 0] Epoch 057 | train 0.2392 | val 0.2510 | val macro-minF1 76.20%
[seed 0] Epoch 058 | train 0.2399 | val 0.2525 | val macro-minF1 77.11%
[seed 0] Epoch 059 | train 0.2390 | val 0.2531 | val macro-minF1 76.14%
[seed 0] Epoch 060 | train 0.2394 | val 0.2508 | val macro-minF1 76.39%
[seed 0] Epoch 061 | train 0.2387 | val 0.2591 | val macro-minF1 78.93%
[seed 0] Epoch 062 | train 0.2388 | val 0.2510 | val macro-minF1 76.50%
[seed 0] Epoch 063 | train 0.2386 | val 0.2549 | val macro-minF1 76.96%
[seed 0] Epoch 064 | train 0.2386 | val 0.2505 | val macro-minF1 76.19%
[seed 0] Epoch 065 | train 0.2378 | val 0.2540 | val macro-minF1 77.00%
[seed 0] Epoch 066 | train 0.2372 | val 0.2523 | val macro-minF1 76.85%
[seed 0] Epoch 067 | train 0.2373 | val 0.2527 | val macro-minF1 76.81%
[seed 0] Epoch 068 | train 0.2367 | val 0.2616 | val macro-minF1 75.34%
[seed 0] Epoch 069 | train 0.2368 | val 0.2519 | val macro-minF1 76.55%
[seed 0] Epoch 070 | train 0.2359 | val 0.2549 | val macro-minF1 76.07%
[seed 0] Epoch 071 | train 0.2361 | val 0.2549 | val macro-minF1 76.45%
[seed 0] Epoch 072 | train 0.2361 | val 0.2520 | val macro-minF1 76.99%
[seed 0] Epoch 073 | train 0.2361 | val 0.2533 | val macro-minF1 76.14%
[seed 0] Epoch 074 | train 0.2360 | val 0.2533 | val macro-minF1 75.93%
[seed 0] Epoch 075 | train 0.2354 | val 0.2579 | val macro-minF1 77.48%
[seed 0] Epoch 076 | train 0.2347 | val 0.2580 | val macro-minF1 77.50%
[seed 0] Epoch 077 | train 0.2348 | val 0.2571 | val macro-minF1 75.51%
[seed 0] Epoch 078 | train 0.2337 | val 0.2564 | val macro-minF1 76.14%
[seed 0] Epoch 079 | train 0.2331 | val 0.2532 | val macro-minF1 76.69%
[seed 0] Epoch 080 | train 0.2332 | val 0.2548 | val macro-minF1 75.94%
[seed 0] Epoch 081 | train 0.2325 | val 0.2593 | val macro-minF1 75.99%
[seed 0] Epoch 082 | train 0.2321 | val 0.2572 | val macro-minF1 76.82%
[seed 0] Epoch 083 | train 0.2324 | val 0.2560 | val macro-minF1 76.46%
[seed 0] Epoch 084 | train 0.2319 | val 0.2572 | val macro-minF1 77.05%
[seed 0] Epoch 085 | train 0.2316 | val 0.2543 | val macro-minF1 76.47%
[seed 0] Epoch 086 | train 0.2315 | val 0.2555 | val macro-minF1 76.44%
[seed 0] Epoch 087 | train 0.2294 | val 0.2553 | val macro-minF1 77.35%
[seed 0] Epoch 088 | train 0.2298 | val 0.2581 | val macro-minF1 77.43%
[seed 0] Epoch 089 | train 0.2291 | val 0.2513 | val macro-minF1 79.06%
[seed 0] Epoch 090 | train 0.2149 | val 0.2300 | val macro-minF1 82.50%
[seed 0] Epoch 091 | train 0.2071 | val 0.2225 | val macro-minF1 82.60%
[seed 0] Epoch 092 | train 0.2053 | val 0.2259 | val macro-minF1 82.64%
[seed 0] Epoch 093 | train 0.2057 | val 0.2250 | val macro-minF1 81.54%
