Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 3, 'neighbors_per_hop': [15, 10, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (2675, 2) (dtype=torch.int64) | rev edge_attr: (2736, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 0] Epoch 001 | train 0.4166 | val 0.3495 | val macro-minF1 78.63%
[seed 0] Epoch 002 | train 0.3493 | val 0.3569 | val macro-minF1 78.27%
[seed 0] Epoch 003 | train 0.3416 | val 0.3432 | val macro-minF1 78.16%
[seed 0] Epoch 004 | train 0.2943 | val 0.2258 | val macro-minF1 85.56%
[seed 0] Epoch 005 | train 0.2243 | val 0.2319 | val macro-minF1 85.18%
[seed 0] Epoch 006 | train 0.2153 | val 0.2088 | val macro-minF1 86.70%
[seed 0] Epoch 007 | train 0.2117 | val 0.2222 | val macro-minF1 86.26%
[seed 0] Epoch 008 | train 0.2103 | val 0.2128 | val macro-minF1 86.29%
[seed 0] Epoch 009 | train 0.2101 | val 0.2029 | val macro-minF1 86.65%
[seed 0] Epoch 010 | train 0.2071 | val 0.2035 | val macro-minF1 87.39%
[seed 0] Epoch 011 | train 0.2079 | val 0.2293 | val macro-minF1 85.54%
[seed 0] Epoch 012 | train 0.2048 | val 0.2065 | val macro-minF1 86.53%
[seed 0] Epoch 013 | train 0.2032 | val 0.2033 | val macro-minF1 86.57%
[seed 0] Epoch 014 | train 0.2029 | val 0.2145 | val macro-minF1 86.18%
[seed 0] Epoch 015 | train 0.2021 | val 0.2237 | val macro-minF1 86.04%
[seed 0] Epoch 016 | train 0.2021 | val 0.2115 | val macro-minF1 86.56%
[seed 0] Epoch 017 | train 0.2005 | val 0.2038 | val macro-minF1 86.91%
[seed 0] Epoch 018 | train 0.2032 | val 0.2030 | val macro-minF1 86.74%
[seed 0] Epoch 019 | train 0.1983 | val 0.2004 | val macro-minF1 87.47%
[seed 0] Epoch 020 | train 0.1988 | val 0.1993 | val macro-minF1 87.05%
[seed 0] Epoch 021 | train 0.1995 | val 0.2006 | val macro-minF1 86.53%
[seed 0] Epoch 022 | train 0.1962 | val 0.1995 | val macro-minF1 86.64%
[seed 0] Epoch 023 | train 0.1976 | val 0.2032 | val macro-minF1 86.70%
[seed 0] Epoch 024 | train 0.1972 | val 0.1972 | val macro-minF1 87.03%
[seed 0] Epoch 025 | train 0.1962 | val 0.1971 | val macro-minF1 87.39%
[seed 0] Epoch 026 | train 0.1958 | val 0.2009 | val macro-minF1 86.41%
[seed 0] Epoch 027 | train 0.1952 | val 0.2008 | val macro-minF1 86.88%
[seed 0] Epoch 028 | train 0.1967 | val 0.2140 | val macro-minF1 85.73%
[seed 0] Epoch 029 | train 0.1951 | val 0.1988 | val macro-minF1 87.07%
[seed 0] Epoch 030 | train 0.1948 | val 0.1992 | val macro-minF1 87.40%
[seed 0] Epoch 031 | train 0.1932 | val 0.2033 | val macro-minF1 87.10%
[seed 0] Epoch 032 | train 0.1925 | val 0.1958 | val macro-minF1 87.25%
[seed 0] Epoch 033 | train 0.1929 | val 0.1983 | val macro-minF1 87.51%
[seed 0] Epoch 034 | train 0.1924 | val 0.2078 | val macro-minF1 86.76%
[seed 0] Epoch 035 | train 0.1916 | val 0.1973 | val macro-minF1 87.02%
[seed 0] Epoch 036 | train 0.1904 | val 0.1946 | val macro-minF1 87.56%
[seed 0] Epoch 037 | train 0.1911 | val 0.2021 | val macro-minF1 87.11%
[seed 0] Epoch 038 | train 0.1902 | val 0.1985 | val macro-minF1 87.14%
[seed 0] Epoch 039 | train 0.1903 | val 0.1990 | val macro-minF1 87.21%
[seed 0] Epoch 040 | train 0.1928 | val 0.1959 | val macro-minF1 86.96%
[seed 0] Epoch 041 | train 0.1905 | val 0.1976 | val macro-minF1 87.43%
[seed 0] Epoch 042 | train 0.1892 | val 0.2016 | val macro-minF1 86.70%
[seed 0] Epoch 043 | train 0.1902 | val 0.2068 | val macro-minF1 86.87%
[seed 0] Epoch 044 | train 0.1905 | val 0.1963 | val macro-minF1 87.10%
[seed 0] Epoch 045 | train 0.1878 | val 0.1992 | val macro-minF1 86.94%
[seed 0] Epoch 046 | train 0.1878 | val 0.1945 | val macro-minF1 87.58%
[seed 0] Epoch 047 | train 0.1861 | val 0.2416 | val macro-minF1 85.21%
[seed 0] Epoch 048 | train 0.1904 | val 0.1965 | val macro-minF1 87.03%
[seed 0] Epoch 049 | train 0.1878 | val 0.2061 | val macro-minF1 86.82%
[seed 0] Epoch 050 | train 0.1863 | val 0.1967 | val macro-minF1 87.30%
[seed 0] Epoch 051 | train 0.1882 | val 0.1974 | val macro-minF1 87.19%
[seed 0] Epoch 052 | train 0.1861 | val 0.1987 | val macro-minF1 86.99%
[seed 0] Epoch 053 | train 0.1881 | val 0.2054 | val macro-minF1 86.82%
[seed 0] Epoch 054 | train 0.1844 | val 0.2046 | val macro-minF1 86.92%
[seed 0] Epoch 055 | train 0.1866 | val 0.1974 | val macro-minF1 87.03%
[seed 0] Epoch 056 | train 0.1864 | val 0.2110 | val macro-minF1 86.73%
[seed 0] Epoch 057 | train 0.1831 | val 0.2082 | val macro-minF1 86.33%
[seed 0] Epoch 058 | train 0.1843 | val 0.2014 | val macro-minF1 86.50%
[seed 0] Epoch 059 | train 0.1864 | val 0.2010 | val macro-minF1 87.41%
[seed 0] Epoch 060 | train 0.1840 | val 0.2035 | val macro-minF1 87.26%
[seed 0] Epoch 061 | train 0.1817 | val 0.2094 | val macro-minF1 86.68%
[seed 0] Epoch 062 | train 0.1843 | val 0.2032 | val macro-minF1 87.18%
[seed 0] Epoch 063 | train 0.1829 | val 0.2143 | val macro-minF1 86.70%
[seed 0] Epoch 064 | train 0.1804 | val 0.2090 | val macro-minF1 85.76%
[seed 0] Epoch 065 | train 0.1835 | val 0.2035 | val macro-minF1 86.88%
[seed 0] Epoch 066 | train 0.1810 | val 0.1974 | val macro-minF1 87.29%
[seed 0] Epoch 067 | train 0.1806 | val 0.1998 | val macro-minF1 87.18%
[seed 0] Epoch 068 | train 0.1819 | val 0.2026 | val macro-minF1 87.13%
[seed 0] Epoch 069 | train 0.1812 | val 0.1967 | val macro-minF1 87.29%
[seed 0] Epoch 070 | train 0.1794 | val 0.2083 | val macro-minF1 86.69%
[seed 0] Epoch 071 | train 0.1775 | val 0.2024 | val macro-minF1 87.23%
[seed 0] Epoch 072 | train 0.1797 | val 0.2146 | val macro-minF1 86.64%
[seed 0] Epoch 073 | train 0.1782 | val 0.1970 | val macro-minF1 87.27%
[seed 0] Epoch 074 | train 0.1775 | val 0.2000 | val macro-minF1 87.15%
[seed 0] Epoch 075 | train 0.1784 | val 0.2073 | val macro-minF1 87.12%
[seed 0] Epoch 076 | train 0.1771 | val 0.2045 | val macro-minF1 86.98%
[seed 0] Epoch 077 | train 0.1743 | val 0.2003 | val macro-minF1 86.68%
[seed 0] Epoch 078 | train 0.1730 | val 0.1912 | val macro-minF1 87.46%
[seed 0] Epoch 079 | train 0.1714 | val 0.1911 | val macro-minF1 87.35%
[seed 0] Epoch 080 | train 0.1706 | val 0.1913 | val macro-minF1 87.62%
[seed 0] Epoch 081 | train 0.1676 | val 0.2012 | val macro-minF1 87.22%
[seed 0] Epoch 082 | train 0.1657 | val 0.1908 | val macro-minF1 87.29%
[seed 0] Epoch 083 | train 0.1666 | val 0.1941 | val macro-minF1 88.07%
[seed 0] Epoch 084 | train 0.1665 | val 0.1916 | val macro-minF1 87.62%
[seed 0] Epoch 085 | train 0.1665 | val 0.1913 | val macro-minF1 87.89%
[seed 0] Epoch 086 | train 0.1639 | val 0.2027 | val macro-minF1 87.30%
[seed 0] Epoch 087 | train 0.1653 | val 0.2016 | val macro-minF1 87.23%
[seed 0] Epoch 088 | train 0.1629 | val 0.1916 | val macro-minF1 87.67%
[seed 0] Epoch 089 | train 0.1620 | val 0.1947 | val macro-minF1 87.56%
[seed 0] Epoch 090 | train 0.1609 | val 0.1963 | val macro-minF1 87.68%
[seed 0] Epoch 091 | train 0.1617 | val 0.1923 | val macro-minF1 87.92%
[seed 0] Epoch 092 | train 0.1636 | val 0.1976 | val macro-minF1 87.42%
[seed 0] Epoch 093 | train 0.1607 | val 0.1977 | val macro-minF1 87.75%
[seed 0] Epoch 094 | train 0.1627 | val 0.1935 | val macro-minF1 87.33%
[seed 0] Epoch 095 | train 0.1602 | val 0.1960 | val macro-minF1 87.50%
[seed 0] Epoch 096 | train 0.1605 | val 0.1910 | val macro-minF1 87.67%
[seed 0] Epoch 097 | train 0.1600 | val 0.1971 | val macro-minF1 87.57%
[seed 0] Epoch 098 | train 0.1590 | val 0.1999 | val macro-minF1 86.76%
[seed 0] Epoch 099 | train 0.1578 | val 0.1957 | val macro-minF1 87.35%
[seed 0] Epoch 100 | train 0.1579 | val 0.1968 | val macro-minF1 87.37%
Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 3, 'neighbors_per_hop': [15, 10, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (2707, 2) (dtype=torch.int64) | rev edge_attr: (2661, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 1] Epoch 001 | train 0.4111 | val 0.3617 | val macro-minF1 77.81%
[seed 1] Epoch 002 | train 0.3499 | val 0.3437 | val macro-minF1 78.77%
[seed 1] Epoch 003 | train 0.2938 | val 0.2233 | val macro-minF1 85.33%
[seed 1] Epoch 004 | train 0.2261 | val 0.2082 | val macro-minF1 86.87%
[seed 1] Epoch 005 | train 0.2175 | val 0.2107 | val macro-minF1 86.60%
[seed 1] Epoch 006 | train 0.2132 | val 0.2102 | val macro-minF1 86.91%
[seed 1] Epoch 007 | train 0.2116 | val 0.2141 | val macro-minF1 86.21%
[seed 1] Epoch 008 | train 0.2092 | val 0.2050 | val macro-minF1 86.93%
[seed 1] Epoch 009 | train 0.2036 | val 0.2019 | val macro-minF1 87.03%
[seed 1] Epoch 010 | train 0.1984 | val 0.2051 | val macro-minF1 86.97%
[seed 1] Epoch 011 | train 0.1956 | val 0.1942 | val macro-minF1 87.19%
[seed 1] Epoch 012 | train 0.1963 | val 0.1902 | val macro-minF1 87.69%
[seed 1] Epoch 013 | train 0.1943 | val 0.1960 | val macro-minF1 86.47%
[seed 1] Epoch 014 | train 0.1925 | val 0.1871 | val macro-minF1 87.21%
[seed 1] Epoch 015 | train 0.1918 | val 0.1926 | val macro-minF1 87.37%
[seed 1] Epoch 016 | train 0.1905 | val 0.2063 | val macro-minF1 86.25%
[seed 1] Epoch 017 | train 0.1899 | val 0.1925 | val macro-minF1 87.26%
[seed 1] Epoch 018 | train 0.1897 | val 0.1973 | val macro-minF1 86.44%
[seed 1] Epoch 019 | train 0.1856 | val 0.1914 | val macro-minF1 87.38%
[seed 1] Epoch 020 | train 0.1852 | val 0.1938 | val macro-minF1 86.96%
[seed 1] Epoch 021 | train 0.1866 | val 0.1906 | val macro-minF1 87.68%
[seed 1] Epoch 022 | train 0.1849 | val 0.1891 | val macro-minF1 87.67%
[seed 1] Epoch 023 | train 0.1842 | val 0.1844 | val macro-minF1 87.63%
[seed 1] Epoch 024 | train 0.1840 | val 0.1891 | val macro-minF1 87.20%
[seed 1] Epoch 025 | train 0.1846 | val 0.1842 | val macro-minF1 87.74%
[seed 1] Epoch 026 | train 0.1865 | val 0.1996 | val macro-minF1 86.95%
[seed 1] Epoch 027 | train 0.1853 | val 0.1907 | val macro-minF1 87.61%
[seed 1] Epoch 028 | train 0.1824 | val 0.1842 | val macro-minF1 87.60%
[seed 1] Epoch 029 | train 0.1814 | val 0.1852 | val macro-minF1 87.67%
[seed 1] Epoch 030 | train 0.1814 | val 0.1851 | val macro-minF1 87.72%
[seed 1] Epoch 031 | train 0.1819 | val 0.1850 | val macro-minF1 87.64%
[seed 1] Epoch 032 | train 0.1805 | val 0.1860 | val macro-minF1 87.78%
[seed 1] Epoch 033 | train 0.1809 | val 0.1820 | val macro-minF1 87.83%
[seed 1] Epoch 034 | train 0.1803 | val 0.1882 | val macro-minF1 87.85%
