Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 3, 'neighbors_per_hop': [15, 10, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': None}
Using unweighted BCEWithLogitsLoss.
[PORT] fwd edge_attr: (2675, 2) (dtype=torch.int64) | rev edge_attr: (2736, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 0] Epoch 001 | train 0.3202 | val 0.2678 | val macro-minF1 76.67%
[seed 0] Epoch 002 | train 0.2666 | val 0.2785 | val macro-minF1 77.01%
[seed 0] Epoch 003 | train 0.2614 | val 0.2632 | val macro-minF1 78.38%
[seed 0] Epoch 004 | train 0.2555 | val 0.2530 | val macro-minF1 77.75%
[seed 0] Epoch 005 | train 0.2535 | val 0.2597 | val macro-minF1 75.75%
[seed 0] Epoch 006 | train 0.2510 | val 0.2589 | val macro-minF1 73.61%
[seed 0] Epoch 007 | train 0.2491 | val 0.2608 | val macro-minF1 75.22%
[seed 0] Epoch 008 | train 0.2488 | val 0.2496 | val macro-minF1 75.48%
[seed 0] Epoch 009 | train 0.2482 | val 0.2497 | val macro-minF1 75.40%
[seed 0] Epoch 010 | train 0.2475 | val 0.2584 | val macro-minF1 73.03%
[seed 0] Epoch 011 | train 0.2464 | val 0.2471 | val macro-minF1 74.86%
[seed 0] Epoch 012 | train 0.2449 | val 0.2533 | val macro-minF1 77.33%
[seed 0] Epoch 013 | train 0.2450 | val 0.2444 | val macro-minF1 78.50%
[seed 0] Epoch 014 | train 0.2436 | val 0.2684 | val macro-minF1 78.26%
[seed 0] Epoch 015 | train 0.2438 | val 0.2446 | val macro-minF1 77.67%
[seed 0] Epoch 016 | train 0.2426 | val 0.2473 | val macro-minF1 77.48%
[seed 0] Epoch 017 | train 0.2413 | val 0.2525 | val macro-minF1 79.36%
